"id";"x";"y";"label";"color";"count"
"BE";2020;0,23854148918044;"BE";"lightblue";14
"MY";2020;0,23854148918044;"MY";"lightblue";14
"CA";2004;1,25847047434656;"CA";"lightgrey";13
"RU";2006;0,72992700729927;"RU";"lightblue";13
"IE";2017;0,28303940779447;"IE";"lightblue";13
"IL";2007;0,649026460309536;"IL";"grey";13
"SG";2013;0,309892729439809;"SG";"lightblue";13
"SG";2008;0,641025641025641;"SG";"lightblue";13
"CA";2005;0,92002830856334;"CA";"lightgrey";13
"IT";2009;0,565217391304348;"IT";"lightblue";13
"FI";2015;0,317227916056613;"FI";"lightblue";13
"CA";2021;0,444596443228454;"CA";"lightgrey";13
"IT";2006;0,72992700729927;"IT";"lightblue";13
"FI";2018;0,269709543568465;"FI";"lightblue";13
"SE";2014;0,282118055555556;"SE";"lightorange";13
"IT";2020;0,204464133583234;"IT";"lightblue";12
"SE";2011;0,357568533969011;"SE";"lightorange";12
"IL";2018;0,24896265560166;"IL";"grey";12
"IT";2008;0,591715976331361;"IT";"lightblue";12
"SG";2010;0,482315112540193;"SG";"lightblue";12
"FI";2016;0,266075388026608;"FI";"lightblue";12
"SE";2008;0,591715976331361;"SE";"lightorange";12
"IT";2007;0,599101347978033;"IT";"lightblue";12
"SG";2011;0,357568533969011;"SG";"lightblue";12
"FI";2012;0,287494010541447;"FI";"lightblue";12
"IL";2019;0,221729490022173;"IL";"grey";12
"ES";2020;0,204464133583234;"ES";"lightblue";12
"FI";2009;0,478260869565217;"FI";"lightblue";11
"FI";2010;0,442122186495177;"FI";"lightblue";11
"SG";2016;0,24390243902439;"SG";"lightblue";11
"SE";2020;0,187425455784631;"SE";"lightorange";11
"MY";2012;0,26353617632966;"MY";"lightblue";11
"BE";2019;0,203252032520325;"BE";"lightblue";11
"FI";2011;0,32777115613826;"FI";"lightblue";11
"RU";2014;0,238715277777778;"RU";"lightblue";11
"FI";2014;0,238715277777778;"FI";"lightblue";11
"SE";2016;0,24390243902439;"SE";"lightorange";11
"AT";2006;0,561482313307131;"AT";"lightblue";10
"IT";2011;0,297973778307509;"IT";"lightblue";10
"BE";2008;0,493096646942801;"BE";"lightblue";10
"HK";2009;0,434782608695652;"HK";"lightblue";10
"CH";2021;0,341997264021888;"CH";"lightblue";10
"IE";2016;0,221729490022173;"IE";"lightblue";10
"TW";2006;0,561482313307131;"TW";"lightblue";10
"IT";2012;0,239578342117873;"IT";"lightblue";10
"AU";2014;0,217013888888889;"AU";"lightblue";10
"FI";2019;0,184774575018477;"FI";"lightblue";10
"RU";2013;0,238379022646007;"RU";"lightblue";10
"IL";2006;0,505334081976418;"IL";"grey";9
"HK";2005;0,636942675159236;"HK";"lightblue";9
"IT";2010;0,361736334405145;"IT";"lightblue";9
"BE";2014;0,1953125;"BE";"lightblue";9
"MY";2014;0,1953125;"MY";"lightblue";9
"RU";2015;0,219619326500732;"RU";"lightblue";9
"SE";2017;0,195950359242325;"SE";"lightorange";9
"IN";2006;0,505334081976418;"IN";"lightblue";9
"IL";2013;0,214541120381406;"IL";"grey";9
"HK";2020;0,153348100187425;"HK";"lightblue";9
"ES";2007;0,449326010983525;"ES";"lightblue";9
"RU";2007;0,449326010983525;"RU";"lightblue";9
"SE";2010;0,361736334405145;"SE";"lightorange";9
