"priority";"fua_name";"app_name";"count";"ctry"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Advanced Micro Devices Inc";8;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Rovi Guides Inc";8;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Zume Inc";8;"US"
"Computer-aided design [CAD]";"San Jose-San Francisco-Oakland - Ca";"X Development Llc";7;"US"
"Computer-aided design [CAD]";"San Jose-San Francisco-Oakland - Ca";"Altera Corporation";7;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Lam Research Corporation";7;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Ebay Inc";7;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Verb Surgical Inc";7;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Tangible Play Inc";7;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Heliotrope Technologies Inc";7;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Alphonso Inc";7;"US"
"Optical Components";"San Jose-San Francisco-Oakland - Ca";"Synaptics Incorporated";7;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Greeneden Us Holdings Ii Llc";7;"US"
"Head-up displays";"San Jose-San Francisco-Oakland - Ca";"Avegant Corp";6;"US"
"Head-up displays";"San Jose-San Francisco-Oakland - Ca";"Tectus Corporation";6;"US"
"Computer-aided design [CAD]";"San Jose-San Francisco-Oakland - Ca";"The Regents Of The University Of California";6;"US"
"Computer-aided design [CAD]";"San Jose-San Francisco-Oakland - Ca";"Svxr Inc";6;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Silicon Light Machines Corporation";6;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Inscopix Inc";6;"US"
