Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Grant - Scailyte,https://www.crunchbase.com/funding_round/scailyte-ag-grant--30d933aa,Scailyte,https://www.crunchbase.com/organization/scailyte-ag,Grant,10000,CHF,10260,2017-06-20,,,,,No,True precision medicine through single-cell science,,"Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics, Medical, Precision Medicine","Basel, Basel-Stadt, Switzerland, Europe",http://www.scailyte.com,$1M to $10M,15548200,USD,15548200,Early Stage Venture,9,Venture Kick,Venture Kick,1,,"386,064"
Grant - dātma,https://www.crunchbase.com/funding_round/datma-grant--d8e89e97,dātma,https://www.crunchbase.com/organization/datma,Grant,3250,USD,3250,2017-10-02,,,,,No,"dātma, formerly Omics Data Automation, develops automated infrastructure for aggregating and analyzing multidimensional big data.",,"Analytics, Artificial Intelligence (AI), Big Data, Bioinformatics, Data Integration, Life Science, Medical","Beaverton, Oregon, United States, North America",http://www.datma.com,$1M to $10M,2719738,USD,2719738,,7,Business Oregon,Business Oregon,1,,"402,459"
Angel Round - Z2P,https://www.crunchbase.com/funding_round/z2p-angel--fc537c96,Z2P,https://www.crunchbase.com/organization/z2p,Angel,15500,USD,15500,2017-05-08,Seed,,,,Yes,Credit-analysis and micro-loans to people based on proprietory credit algorithms based on machine learning.,,"Apps, Financial Services, FinTech, Lending, Machine Learning, Micro Lending, Personal Finance","Mumbai, Maharashtra, India, Asia",https://z2p.today,,90200,USD,90200,M&A,2,,,,,"403,117"
Grant - Syngli,https://www.crunchbase.com/funding_round/syngli-grant--74c57011,Syngli,https://www.crunchbase.com/organization/syngli,Grant,23040,CAD,18100,2017-12-22,,,,,No,Syngli is building an interactive tutoring system to enhance teaching and learning.,,"Big Data, E-Learning, Language Learning, Natural Language Processing, Neuroscience, Speech Recognition, Test and Measurement, Tutoring","Kitchener, Ontario, Canada, North America",https://syngli.com/,$10M to $50M,619659,USD,619659,Seed,25,,National Research Council of Canada Industrial Research Assistance Program,1,,"349,543"
Grant - SweepTEQ,https://www.crunchbase.com/funding_round/sweepteq-grant--00abed6e,SweepTEQ,https://www.crunchbase.com/organization/sweepteq,Grant,50000,AED,13613,2017-12-19,,,,,No,SweepTEQ autonomously detects and collects debris at and around airport airfields via smart rovers with AI-enabled cameras.,,"Aerospace, Artificial Intelligence (AI)","London, England, United Kingdom, Europe",https://www.sweepteq.com/,,30432,USD,30432,Seed,4,Intelak Hub,Intelak Hub,1,,"426,547"
Grant - KITRO,https://www.crunchbase.com/funding_round/kitro-grant--75301013,KITRO,https://www.crunchbase.com/organization/kitro,Grant,10000,CHF,10276,2017-10-03,,,,,No,KITRO is simplifying food waste management for commercial kitchens.,,"Artificial Intelligence (AI), Food and Beverage, Hardware, Information Technology, SaaS, Software, Waste Management","Renens, Vaud, Switzerland, Europe",http://www.kitro.ch,Less than $1M,3583534,USD,3583534,Seed,5,Venture Kick,Venture Kick,1,,"302,946"
Grant - Rezi,https://www.crunchbase.com/funding_round/rezi-grant--23c8d099,Rezi,https://www.crunchbase.com/organization/rezi,Grant,6000000,KRW,5348,2017-06-01,,,,,No,Rezi is a software company that develops resume-building applications.,,"Artificial Intelligence (AI), Employment, Software","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://rezi.io,,193000000,KRW,168031,Seed,9,Seoul Global Startup Center,Seoul Global Startup Center,1,,"299,990"
Pre Seed Round - FLOEWS: Flood Early Warning System,https://www.crunchbase.com/funding_round/floews-flood-early-warning-system-pre-seed--c5bc5011,FLOEWS: Flood Early Warning System,https://www.crunchbase.com/organization/floews-flood-early-warning-system,Pre-Seed,15000,USD,15000,2017-05-01,Seed,,,,Yes,"Sustainability, Resilience, Geospatial, AI, Machine Learning, IoT, Smart City, ICT, SaaS, Mobile App, Web App, Analytics.",,"Apps, Information Services, Information Technology, Machine Learning, Professional Services, Software","Gombe, Gombe, Nigeria, Africa",https://smartfloews.com,,20500,USD,20500,Seed,3,Allied Terawa,Allied Terawa,1,,"260,466"
Grant - LexX Technologies,https://www.crunchbase.com/funding_round/lexx-technologies-grant--3ae2b2d8,LexX Technologies,https://www.crunchbase.com/organization/lexx-technologies,Grant,22000,AUD,17282,2017-08-14,,,,,No,LexX Technologies is an intelligent platform that uses NLP and machine learning for maintenance of complex industrial assets and equipment,,"Artificial Intelligence (AI), Asset Management, Cloud Data Services, Enterprise Applications, Information Technology, Machine Learning, Natural Language Processing, Semantic Search, Software","Melbourne, Victoria, Australia, Oceania",http://https//www.lexxtechnologies.com/,$1M to $10M,3525735,USD,3525735,Seed,14,,Accelerating Commercialisation - AusIndustry,1,,"134,641"
Angel Round - The AI Labs,https://www.crunchbase.com/funding_round/the-ai-labs-angel--7d6a67a5,The AI Labs,https://www.crunchbase.com/organization/the-ai-labs,Angel,20000000,KRW,17670,2017-04-27,Seed,,,,Yes,"The AI Labs provide AI, Coding, Digital Education through interactive content.",,"Artificial Intelligence (AI), Education, Training","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",http://www.theailab.co/en/,,20000000,KRW,17670,Seed,2,,Lotte Ventures,1,,"642,961"
Debt Financing - Klowdx,https://www.crunchbase.com/funding_round/klowdx-debt-financing--fffe842f,Klowdx,https://www.crunchbase.com/organization/klowdx,Debt Financing,1000,USD,1000,2017-12-15,,,,,No,We are an Indian startup company focusing on consumer electronics and Artificial intelligence.,,"Artificial Intelligence (AI), Consumer Electronics, Information Technology, Machine Learning, Mobile, Mobile Devices","Bengaluru, Karnataka, India, Asia",https://www.klowdx.io,$1M to $10M,1000,USD,1000,,1,,,,,"437,948"
Seed Round - TalentAdore,https://www.crunchbase.com/funding_round/talentadore-seed--b361b907,TalentAdore,https://www.crunchbase.com/organization/talentadore,Seed,5000,EUR,5910,2017-07-31,Seed,,,,Yes,Hire the Right Talent with AI-based Recruitment Software. Engage job candidates throughout the entire job application journey.,,"Artificial Intelligence (AI), Big Data, Enterprise Software, Human Resources, Information Technology, Machine Learning, SaaS, Software","Kerava, Southern Finland, Finland, Europe",http://talentadore.com/,,567778,USD,567778,Seed,9,,,,,"493,957"
Grant - Mycroft,https://www.crunchbase.com/funding_round/mycroft-ai-inc-grant--40115a08,Mycroft,https://www.crunchbase.com/organization/mycroft-ai-inc,Grant,15000,EUR,17413,2017-10-27,,,,,No,Mycroft is a developer of an open source voice assistant platform designed to handle operating systems.,Women Founded,"Artificial Intelligence (AI), Consumer Electronics, Internet of Things, Machine Learning, Open Source, Software","Kansas City, Missouri, United States, North America",http://mycroft.ai,$1M to $10M,5089485,USD,5089485,,17,Hello Tomorrow,Hello Tomorrow,1,,"579,986"
