Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Jeeliz,https://www.crunchbase.com/funding_round/jeeliz-pre-seed--2905697b,Jeeliz,https://www.crunchbase.com/organization/jeeliz,Pre-Seed,100000,USD,100000,2016-06-02,Seed,,,,Yes,"We run deep learning neural networks inside the web browser using webgl. We do real-time face detection and tracking, glasses VTO, webAR.","Augmented Reality, Computer Vision, Machine Learning, Software, Video, Web Apps",,"Palaiseau, Ile-de-France, France, Europe",https://jeeliz.com,,100000,USD,100000,Seed,1,,,,,"573,002"
Angel Round - Heliex,https://www.crunchbase.com/funding_round/heliex-angel--8b3b4d98,Heliex,https://www.crunchbase.com/organization/heliex,Angel,20000,AUD,14064,2016-02-02,Seed,,,,Yes,"A cloud-based retail ecosystem using AI, machine learning & deep learning to prescribe the best course of action to optimize outcomes","Analytics, Artificial Intelligence (AI), Education, Information Technology, Internet, Machine Learning, Retail Technology, Shipping, Software",,"Melbourne, Victoria, Australia, Oceania",http://heliex.io/,,190000,AUD,146084,Seed,3,,Anthony Mariniello,1,,"485,490"
Angel Round - Fabulyst,https://www.crunchbase.com/funding_round/fabulyst-angel--0a3c05cd,Fabulyst,https://www.crunchbase.com/organization/fabulyst,Angel,20000,USD,20000,2016-07-01,Seed,,,,Yes,"Fabulyst is an AI engine that works as a virtual personal stylist, solving modern women's style aspirations.","Artificial Intelligence (AI), E-Commerce, Fashion, Lifestyle, Machine Learning, Online Portals, Shopping",,"Hyderabad, Andhra Pradesh, India, Asia",http://www.fabulyst.com,$1M to $10M,680534,USD,680534,M&A,6,,,,,"199,275"
Seed Round - HistoWiz,https://www.crunchbase.com/funding_round/histowiz-seed--ee02e9ad,HistoWiz,https://www.crunchbase.com/organization/histowiz,Seed,120000,USD,120000,2016-03-22,Seed,,,,Yes,HistoWiz provides automated histopathology for biomedical researchers.,"Artificial Intelligence (AI), Biotechnology, Database, Government, Health Care, Hospital, Life Science, Medical, Pharmaceutical, Veterinary",Women Founded,"Brooklyn, New York, United States, North America",https://home.histowiz.com,$1M to $10M,36765000,USD,36765000,Early Stage Venture,6,Y Combinator,"Evan Cheng, Y Combinator",2,,"485,993"
Pre Seed Round - KNOT,https://www.crunchbase.com/funding_round/samocat-pre-seed--648e46d4,KNOT,https://www.crunchbase.com/organization/samocat,Pre-Seed,60000,USD,60000,2016-06-08,Seed,,,,Yes,Universal docking solution for bike & scooter sharing,"Artificial Intelligence (AI), Hardware, Infrastructure, Internet of Things, Last Mile Transportation, Public Transportation, Ride Sharing, Service Industry, Sharing Economy, Software",,"Strasbourg, Alsace, France, Europe",https://www.knotcity.com,$1M to $10M,660539,USD,660539,Seed,3,SOSV,"SOSV, URBAN-X",2,1,"311,141"
Seed Round - Boundless Mind,https://www.crunchbase.com/funding_round/dopaminelabs-seed--5f637959,Boundless Mind,https://www.crunchbase.com/organization/dopaminelabs,Seed,100000,USD,100000,2016-09-06,Seed,,,,Yes,Boundless Mind is an artificial intelligence platform for behavior design.,"Artificial Intelligence (AI), Machine Learning, Neuroscience, SaaS",,"Venice, California, United States, North America",http://www.boundless.ai,$1M to $10M,1300000,USD,1300000,M&A,5,,Social Starts,1,1,"467,578"
Angel Round - Squelo,https://www.crunchbase.com/funding_round/squelo-angel--30099214,Squelo,https://www.crunchbase.com/organization/squelo,Angel,100000,EUR,108582,2016-01-01,Seed,,,,Yes,Squelo leverages the power of artificial intelligence to match talent with companies based on personality and organizational culture.,"Artificial Intelligence (AI), Professional Networking, Social Media",,"London, England, United Kingdom, Europe",http://squelo.com,Less than $1M,100000,EUR,108582,Seed,1,,,,,"311,806"
Angel Round - Hafta,https://www.crunchbase.com/funding_round/hafta-angel--ab696fe5,Hafta,https://www.crunchbase.com/organization/hafta,Angel,40000,SGD,29783,2016-08-11,Seed,,,,Yes,Hafta is creating the world’s largest repository of psychometric data.,"Angel Investment, Big Data, Credit, Predictive Analytics, Psychology, Venture Capital",,"Singapore, Central Region, Singapore, Asia",https://www.hafta.co/,,40000,SGD,29783,Seed,1,muru-D,muru-D,1,,"578,264"
Seed Round - Morpheos,https://www.crunchbase.com/funding_round/morpheos-seed--85df530b,Morpheos,https://www.crunchbase.com/organization/morpheos,Seed,100000,EUR,108904,2016-02-01,Seed,,,,Yes,Morpheos creates innovative technology in high quality products and services that are easy to use and affordable.,"Artificial Intelligence (AI), Information Technology, Internet of Things, Smart Home, Software",,"Catania, Sicilia, Italy, Europe",http://www.morpheos.eu,Less than $1M,762000,EUR,837952,Seed,4,,Digital Magics,1,,"235,573"
Seed Round - UrbanStat,https://www.crunchbase.com/funding_round/urbanstat-seed--48389dc5,UrbanStat,https://www.crunchbase.com/organization/urbanstat,Seed,100000,USD,100000,2016-02-01,Seed,4000000,USD,4000000,Yes,UrbanStat helps P&C insurance carriers to improve their loss ratio by up to 7% with geostatistics and machine learning.,"Finance, Insurance, InsurTech, Location Based Services, Machine Learning",Women Founded,"Chicago, Illinois, United States, North America",http://www.urbanstat.com/,$1M to $10M,600000,USD,600000,Seed,2,,,,,"237,277"
Angel Round - iDro,https://www.crunchbase.com/funding_round/idro-angel--b2bcaff5,iDro,https://www.crunchbase.com/organization/idro,Angel,20000,USD,20000,2016-03-01,Seed,,,,Yes,iDro develops affordable IoT indoor gardening appliances that make it effortless for anyone to grow anything successfully year-round.,"Artificial Intelligence (AI), Hardware, Home and Garden, Hydroponics, Internet of Things",,"Denver, Colorado, United States, North America",https://www.idro.me,$1M to $10M,210000,USD,210000,Seed,2,,CanopyBoulder,1,,"276,105"
Seed Round - Shopnostic.com,https://www.crunchbase.com/funding_round/shopnostic-com-seed--de5c74b2,Shopnostic.com,https://www.crunchbase.com/organization/shopnostic-com,Seed,30000,USD,30000,2016-03-05,Seed,,,,Yes,Shopnostic delivers 30% savings on marketing dollars by using AI and Machine Learning.,"Artificial Intelligence (AI), Machine Learning, Marketing, Software",,"New York, New York, United States, North America",http://www.ShopNostic.com,,30000,USD,30000,Seed,1,,,,,"318,057"
Seed Round - SHORTOUCH,https://www.crunchbase.com/funding_round/shortouch-seed--a1d6dcb9,SHORTOUCH,https://www.crunchbase.com/organization/shortouch,Seed,75000,EUR,83747,2016-08-01,Seed,675000,EUR,753727,Yes,"ShorTouch finds the strongest path of connection to any person/key-word you want to reach, by analyzing social info and emails.","Analytics, Predictive Analytics, Text Analytics",,"Paris, Ile-de-France, France, Europe",http://www.shortouch.com,Less than $1M,75000,EUR,83747,Seed,1,,,,,"318,561"
Angel Round - Meya.ai,https://www.crunchbase.com/funding_round/meya-ai-angel--e7738036,Meya.ai,https://www.crunchbase.com/organization/meya-ai,Angel,21500,USD,21500,2016-02-22,Seed,1500000,USD,1500000,Yes,"Meya.ai is a platform to build, train and deploy bots.","Artificial Intelligence (AI), Internet, Messaging",,"Kitchener, Ontario, Canada, North America",https://meya.ai/,$1M to $10M,1014500,USD,1014500,Seed,3,,,,,"278,094"
Angel Round - SoAmpli,https://www.crunchbase.com/funding_round/soampli-angel--61982e0c,SoAmpli,https://www.crunchbase.com/organization/soampli,Angel,95000,GBP,119624,2016-12-01,Seed,2400000,GBP,3022080,Yes,SoAmpli enables sales teams to sell more.,"Artificial Intelligence (AI), Information Technology, SaaS, Social Media, Social Media Management",,"London, England, United Kingdom, Europe",http://www.soampli.com,,175000,GBP,225082,M&A,3,,,,,"319,325"
Pre Seed Round - Invision AI,https://www.crunchbase.com/funding_round/invision-ai-pre-seed--00b67f81,Invision AI,https://www.crunchbase.com/organization/invision-ai,Pre-Seed,120000,USD,120000,2016-07-29,Seed,,,,Yes,"Invision AI software enables mainstream processors to run accurate real-time object detection, classification and tracking.","Artificial Intelligence (AI), Autonomous Vehicles, Computer Vision, Enterprise Software, Facial Recognition, Internet of Things, Machine Learning, Software",,"Toronto, Ontario, Canada, North America",https://invision.ai/,$1M to $10M,1220000,USD,1220000,Seed,3,Techstars,"Right Side Capital Management, Techstars",2,1,"188,572"
Angel Round - Travisy,https://www.crunchbase.com/funding_round/traveely-2-angel--2f555bc5,Travisy,https://www.crunchbase.com/organization/traveely-2,Angel,35000,USD,35000,2016-01-01,Seed,,,,Yes,"Travisy is an app for easy trip planning, by type of trip and budget in less than ten seconds.","Artificial Intelligence (AI), Business Travel, Travel, Travel Accommodations, Travel Agency",,"Barcelona, Catalonia, Spain, Europe",https://www.travisy.com,,35000,USD,35000,Seed,1,,,,,"147,120"
Pre Seed Round - Chillwall AI,https://www.crunchbase.com/funding_round/chillwall-pre-seed--b6b1843f,Chillwall AI,https://www.crunchbase.com/organization/chillwall,Pre-Seed,50000,CAD,37394,2016-12-20,Seed,,,,Yes,Human 2.0 Personal AI machine learning startup. Creators of world’s first Experience AI assistant platform powered by emotions.,"Artificial Intelligence (AI), Enterprise Software, Hospitality, Local, Machine Learning, Natural Language Processing, Predictive Analytics, SaaS, Semantic Web, Tourism",,"Waterloo, Ontario, Canada, North America",https://www.chillwall.ai/,Less than $1M,80000,CAD,60385,Seed,2,Communitech,Communitech,1,,"564,541"
Pre Seed Round - Greengame,https://www.crunchbase.com/funding_round/greengame-pre-seed--8cc4b6c0,Greengame,https://www.crunchbase.com/organization/greengame,Pre-Seed,50000,GBP,66346,2016-09-09,Seed,714282,GBP,947789,Yes,"Working with organisations to incentivise sustainable behaviour using automated activity detection, gamification and behavioural economics","CleanTech, GreenTech, Information Services, Information Technology, Natural Language Processing, Smart Cities, Sustainability",,"London, England, United Kingdom, Europe",http://www.greenga.me,Less than $1M,120000,GBP,153783,Seed,2,Collider,Collider,1,,"199,763"
Angel Round - Blue Matador,https://www.crunchbase.com/funding_round/blue-matador-inc-angel--faaff977,Blue Matador,https://www.crunchbase.com/organization/blue-matador-inc,Angel,100000,USD,100000,2016-08-31,Seed,,,,Yes,"Automated Monitoring for AWS, Kubernetes, and more","Analytics, B2B, Cloud Computing, Cloud Infrastructure, Enterprise Software, IT Infrastructure, Machine Learning",,"South Jordan, Utah, United States, North America",https://www.bluematador.com,$1M to $10M,3150000,USD,3150000,Seed,5,,,,,"565,036"
Pre Seed Round - eatOS - Restaurants Made Simple,https://www.crunchbase.com/funding_round/eatos-pre-seed--2fae3b9e,eatOS - Restaurants Made Simple,https://www.crunchbase.com/organization/eatos,Pre-Seed,20000,USD,20000,2016-08-10,Seed,,,,Yes,"SaaS, Restaurant Technology, AI Enabled Point of Sale, Payments, Online Ordering, Restaurant Technology Cloud","Artificial Intelligence (AI), Hospitality, Information Technology, Machine Learning, Mobile Apps, Payments, Predictive Analytics, Retail Technology, SaaS, Software",Southeast Asian Founded,"Miami, Florida, United States, North America",https://www.eatOS.com,,4170000,USD,4170000,,7,,ideaTree Inc.,1,,"374,027"
Seed Round - Sparrosense,https://www.crunchbase.com/funding_round/silversparro-technologies-pvt-ltd-seed--bcd21317,Sparrosense,https://www.crunchbase.com/organization/silversparro-technologies-pvt-ltd,Seed,65000,USD,65000,2016-12-06,Seed,,,,Yes,Sparrosense AI Supervisor is a SaaS tool which provides new data & insights for manual shop-floor leveraging AI-powered Video Analytics.,"Artificial Intelligence (AI), Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Real Time, SaaS, Software, Speech Recognition",,"Gurgaon, Haryana, India, Asia",http://www.sparrosense.com,$1M to $10M,365000,USD,365000,M&A,2,"GSF, Rajesh Sawhney","Anand Chandrasekaran, Ashish Toshniwal, GSF, Hiro Mashita, Rajesh Sawhney, SATYAM SINGH, Sri Peddu, Sumesh Menon",8,1,"340,318"
Angel Round - Vyrill,https://www.crunchbase.com/funding_round/vyrill-angel--956c613d,Vyrill,https://www.crunchbase.com/organization/vyrill,Angel,50000,USD,50000,2016-11-01,Seed,,,,Yes,Vyrill In-Video Search allows you to deliver a relevant shopping experience to boost conversions.,"Analytics, Artificial Intelligence (AI), Computer Vision, Content Marketing, Digital Marketing, Personalization, SaaS, Video, Video Advertising","Hispanic / Latine Founded, LGBTQ+ Founded, LGBTQ+ Led, Women Founded","San Francisco, California, United States, North America",http://www.vyrill.com/,Less than $1M,4800000,USD,4800000,Seed,12,,,,,"140,002"
Seed Round - Conatix,https://www.crunchbase.com/funding_round/conatix-seed--be0c2490,Conatix,https://www.crunchbase.com/organization/conatix,Seed,15000,GBP,19454,2016-09-26,Seed,,,,Yes,Where AI meets cybersecurity,"Business Intelligence, Cyber Security, Knowledge Management, Machine Learning, Search Engine",,"Arlington, Virginia, United States, North America",http://www.conatix.com,$1M to $10M,109991,USD,109991,Seed,4,,CyLon Ventures,1,,"140,648"
Pre Seed Round - CareSkore,https://www.crunchbase.com/funding_round/careskore-pre-seed--c69a1fc9,CareSkore,https://www.crunchbase.com/organization/careskore,Pre-Seed,120000,USD,120000,2016-03-22,Seed,,,,Yes,AI based Patient engagement 2.0,"Analytics, Big Data, Consulting, Health Care, Information Technology, mHealth, Mobile, Predictive Analytics, SaaS, Software",Women Founded,"Mountain View, California, United States, North America",http://www.careskore.com,$1M to $10M,4420000,USD,4420000,Seed,2,Y Combinator,Y Combinator,1,,"140,719"
Seed Round - IStyleYou - Fashion Tech Lab,https://www.crunchbase.com/funding_round/istyleyou-seed--a070ab75,IStyleYou - Fashion Tech Lab,https://www.crunchbase.com/organization/istyleyou,Seed,100000,USD,100000,2016-02-08,Seed,,,,Yes,"Data-driven personalization platform for apparel retailers , using machine learning and human expertise","Apps, E-Commerce, Fashion, Machine Learning, Retail Technology, Software",,"Gurgaon, Haryana, India, Asia",http://istyleyou.in/,$1M to $10M,100000,USD,100000,,2,,"GHV Accelerator, Greenhouse Ventures",2,,"458,806"
Pre Seed Round - TRAC,https://www.crunchbase.com/funding_round/trac-pre-seed--2ae20ec2,TRAC,https://www.crunchbase.com/organization/trac,Pre-Seed,120000,USD,120000,2016-03-22,Seed,,,,Yes,"TRAC provides on-demand race timing and analysis solution for road, cross country, and trail races.","Android, Predictive Analytics, Racing",,"Evanston, Illinois, United States, North America",https://www.tracchicago.com,Less than $1M,120000,USD,120000,Seed,1,Y Combinator,Y Combinator,1,,"477,069"
Pre Seed Round - LynxCare,https://www.crunchbase.com/funding_round/lynxcare-pre-seed--298d8504,LynxCare,https://www.crunchbase.com/organization/lynxcare,Pre-Seed,110000,EUR,119518,2016-03-01,Seed,,,,Yes,Big Data platform for hospitals and clinics,"Artificial Intelligence (AI), Health Care, Hospital",,"Leuven, Vlaams-Brabant, Belgium, Europe",https://lynx.care/,Less than $1M,24450000,EUR,26026625,Early Stage Venture,6,,"Caring Entrepreneurship Fund, iMinds Ventures",2,,"594,344"
Grant - Microptic,https://www.crunchbase.com/funding_round/microptic-grant--506959d4,Microptic,https://www.crunchbase.com/organization/microptic,Grant,50000,EUR,55832,2016-08-01,,,,,No,"Microptic specializes in research, development, distribution and installation of automatic diagnostic systems.","Biotechnology, Health Diagnostics, Intelligent Systems, Software",,"Barcelona, Catalonia, Spain, Europe",https://www.micropticsl.com/,,50000,EUR,55832,,1,,EASME - EU Executive Agency for SMEs,1,,"632,318"
Grant - Konetik,https://www.crunchbase.com/funding_round/iot-labs-ltd-grant--39ce8382,Konetik,https://www.crunchbase.com/organization/iot-labs-ltd,Grant,100000,EUR,110619,2016-07-07,,,,,No,Konetik helps companies to integrate electric vehicles with their automated AI driven vehicle and charging advisor.,"Artificial Intelligence (AI), Automotive, Internet of Things",,"Berlin, Berlin, Germany, Europe",http://www.konetik.com,Less than $1M,1192066,USD,1192066,M&A,5,Open Data Incubator for Europe (ODINE),Open Data Incubator for Europe (ODINE),1,,"496,491"
Pre Seed Round - DataDome,https://www.crunchbase.com/funding_round/datadome-pre-seed--036ab2ab,DataDome,https://www.crunchbase.com/organization/datadome,Pre-Seed,60000,EUR,66691,2016-05-27,Seed,,,,Yes,DataDome is a cybersecurity company that provides bot protection software to detect and prevent online fraud.,"Analytics, Cyber Security, Internet, Machine Learning, SaaS, Software",,"New York, New York, United States, North America",https://datadome.co,$10M to $50M,81246225,USD,81246225,Late Stage Venture,5,,WILCO,1,,"500,969"
Seed Round - Saleswhale,https://www.crunchbase.com/funding_round/saleswhale-seed--6a9b3873,Saleswhale,https://www.crunchbase.com/organization/saleswhale,Seed,120000,USD,120000,2016-08-22,Seed,,,,Yes,Saleswhale develops an AI-driven conversational marketing platform.,"Artificial Intelligence (AI), Assistive Technology, Marketing Automation, SaaS, Sales Automation",,"Singapore, Central Region, Singapore, Asia",http://saleswhale.com,$1M to $10M,6620000,USD,6620000,M&A,4,Y Combinator,Y Combinator,1,,"421,854"
Seed Round - Winimy,https://www.crunchbase.com/funding_round/see-chat-seed--bda33088,Winimy,https://www.crunchbase.com/organization/see-chat,Seed,40000,SGD,29345,2016-08-30,Seed,,,,Yes,Winimy builds and orchestrates AI-engineered bespoke customer engagement technologies.,"Artificial Intelligence (AI), B2B, CRM, Machine Learning, Messaging",,"Singapore, Central Region, Singapore, Asia",https://www.winimy.ai,,40000,SGD,29345,Seed,1,,"muru-D, RCL Accelerator",2,,"421,909"
Grant - Curiato Inc.,https://www.crunchbase.com/funding_round/curiato-inc-grant--98561768,Curiato Inc.,https://www.crunchbase.com/organization/curiato-inc,Grant,11000,CAD,8185,2016-03-01,,,,,No,"Curiato Inc. is an AI company that predict, prevent and protect patients from the occurrence of pressure injuries.","Artificial Intelligence (AI), Health Care, Information Technology, Internet of Things, Software",,"Kitchener, Ontario, Canada, North America",https://www.curiato.com/,Less than $1M,36000,CAD,26853,Seed,5,,,,,"317,922"
Pre Seed Round - SiteSee,https://www.crunchbase.com/funding_round/sitesee-pre-seed--ac3e9af9,SiteSee,https://www.crunchbase.com/organization/sitesee,Pre-Seed,45000,USD,45000,2016-09-22,Seed,1000000,USD,1000000,Yes,Artificial Intelligence Digital Twin for infrastructure analysis.,"Analytics, Artificial Intelligence (AI), Information Technology, Infrastructure, Machine Learning, SaaS, Telecommunications",,"Brisbane, Queensland, Australia, Oceania",http://www.sitesee.io,Less than $1M,1494874,USD,1494874,Early Stage Venture,5,,"muru-D, River City Labs",2,,"609,499"
Seed Round - PipeCandy,https://www.crunchbase.com/funding_round/pipecandy-seed--0fc950e4,PipeCandy,https://www.crunchbase.com/organization/pipecandy,Seed,50000,USD,50000,2016-02-16,Seed,1000000,USD,1000000,Yes,"Predictive Analytics Platform that tracks over 500K modern eCommerce companies and delivers insights to marketers, investors & analysts.","Analytics, E-Commerce, Machine Learning, Predictive Analytics",,"San Francisco, California, United States, North America",https://pipecandy.com,Less than $1M,1143224,USD,1143224,M&A,2,,,,,"422,577"
Pre Seed Round - Fabulyst,https://www.crunchbase.com/funding_round/fabulyst-pre-seed--5a2e1800,Fabulyst,https://www.crunchbase.com/organization/fabulyst,Pre-Seed,115000,USD,115000,2016-10-02,Seed,2400000,USD,2400000,Yes,"Fabulyst is an AI engine that works as a virtual personal stylist, solving modern women's style aspirations.","Artificial Intelligence (AI), E-Commerce, Fashion, Lifestyle, Machine Learning, Online Portals, Shopping",,"Hyderabad, Andhra Pradesh, India, Asia",http://www.fabulyst.com,$1M to $10M,680534,USD,680534,M&A,6,,"50K Ventures, Prem Boinpally, The IIIT-H Foundation",3,,"253,359"
Seed Round - Zettabyte Pte Ltd,https://www.crunchbase.com/funding_round/zettabyte-pte-ltd-seed--be614b5f,Zettabyte Pte Ltd,https://www.crunchbase.com/organization/zettabyte-pte-ltd,Seed,50000,USD,50000,2016-10-26,Seed,,,,Yes,"we are EdTech in our DNA. 200+ Higher Education Institutions, 20,000 Users and Students are served every day by our core plateforme in SAAS.","Artificial Intelligence (AI), Blockchain, EdTech, Higher Education, Internet of Things, Machine Learning, Mobile Apps, UX Design, Web Apps",,"Singapore, Central Region, Singapore, Asia",https://www.zettabyte.life,Less than $1M,300000,USD,300000,Seed,2,,,,,"193,973"
Grant - Datapole,https://www.crunchbase.com/funding_round/datapole-grant--703179e7,Datapole,https://www.crunchbase.com/organization/datapole,Grant,50000,USD,50000,2016-11-01,,,,,No,"DATAPOLE is a young innovative company that develops and offers solutions of analysis,  forecasting, resource planning and optimization.","Analytics, Computer, Predictive Analytics, Software",,"La Plaine-saint-denis, Ile-de-France, France, Europe",http://www.datapole.com/,$1M to $10M,1563121,USD,1563121,,2,,EASME - EU Executive Agency for SMEs,1,,"194,293"
Grant - Buffalo Automation,https://www.crunchbase.com/funding_round/buffalo-automation-group-grant--e95c8964,Buffalo Automation,https://www.crunchbase.com/organization/buffalo-automation-group,Grant,10000,USD,10000,2016-04-29,,,,,No,Buffalo Automation provides embedded software systems to improve maritime safety and enable autonomous navigation.,"Artificial Intelligence (AI), Assistive Technology, Autonomous Vehicles, Electric Vehicle, Navigation, Taxi Service, Water Transportation","South Asian Founded, South Asian Led","Buffalo, New York, United States, North America",https://www.buffaloautomation.ai,$1M to $10M,2557325,USD,2557325,,12,,,,,"170,121"
Convertible Note - Ursa Space Systems,https://www.crunchbase.com/funding_round/ursa-space-systems-convertible-note--fa54c2c9,Ursa Space Systems,https://www.crunchbase.com/organization/ursa-space-systems,Convertible Note,103850,USD,103850,2016-06-13,,,,,No,Ursa helps traders and analysts in the finance and energy industries make informed decisions.,"Analytics, Business Intelligence, Information Technology, Predictive Analytics",Women Founded,"Ithaca, New York, United States, North America",https://ursaspace.com,$1M to $10M,61207832,USD,61207832,,10,,,,,"170,219"
Seed Round - Fanbloom,https://www.crunchbase.com/funding_round/fanbloom-seed--ab928f4b,Fanbloom,https://www.crunchbase.com/organization/fanbloom,Seed,20000,USD,20000,2016-02-01,Seed,,,,Yes,"Sponsor the right influencers, at scale.","Marketing Automation, Predictive Analytics, SaaS, Social Media Marketing",,"Cincinnati, Ohio, United States, North America",http://fanbloom.com,,50000,USD,50000,Seed,3,,UpTech Accelerator,1,,"171,398"
Grant - Provenance,https://www.crunchbase.com/funding_round/provenance-grant--60914a12,Provenance,https://www.crunchbase.com/organization/provenance,Grant,95369,EUR,106841,2016-05-19,,,,,No,The leading sustainability communications and data platform for e-commerce. Powering sustainability claims you can trust.,"Artificial Intelligence (AI), Blockchain, Brand Marketing, Consumer Goods, E-Commerce Platforms, Retail Technology, SaaS, Sustainability",,"London, England, United Kingdom, Europe",https://www.provenance.org,Less than $1M,6549806,USD,6549806,,6,Open Data Incubator for Europe (ODINE),Open Data Incubator for Europe (ODINE),1,,"171,466"
Pre Seed Round - Motorleaf,https://www.crunchbase.com/funding_round/motorleaf-pre-seed--29096525,Motorleaf,https://www.crunchbase.com/organization/motorleaf,Pre-Seed,100000,CAD,76828,2016-05-27,Seed,,,,Yes,Greenhouse automation technology using artificial intelligence,"Agriculture, AgTech, Artificial Intelligence (AI), Big Data, Horticulture, Industrial Automation, Machine Learning",,"Montréal, Quebec, Canada, North America",http://www.motorleaf.com,$1M to $10M,3176828,USD,3176828,Seed,4,,"FounderFuel, Real Ventures",2,1,"321,682"
Pre Seed Round - The List,https://www.crunchbase.com/funding_round/thelist-pre-seed--552c103c,The List,https://www.crunchbase.com/organization/thelist,Pre-Seed,50000,USD,50000,2016-09-20,Seed,,,,Yes,The List is a retail marketplace connecting the world of fashion through intelligent software.,"Artificial Intelligence (AI), E-Commerce, Fashion, Machine Learning, Mobile, Mobile Apps, Personalization",,"Abu Dhabi, Abu Dhabi, United Arab Emirates, Asia",http://gothelist.com,,5950000,USD,5950000,Seed,4,TURN8,TURN8,1,,"213,565"
Seed Round - HEXANIKA,https://www.crunchbase.com/funding_round/hexanika-seed--56e58228,HEXANIKA,https://www.crunchbase.com/organization/hexanika,Seed,50000,USD,50000,2016-05-12,Seed,,,,Yes,HEXANIKA products reduce costs by delivering useable data and robust regulatory reporting at the speed of now,"Artificial Intelligence (AI), Banking, Big Data, Compliance, FinTech, Software","Hispanic / Latine Led, South Asian Founded","North Little Rock, Arkansas, United States, North America",http://www.hexanika.com,$1M to $10M,253234,USD,253234,,5,,The FIS FinTech Accelerator in Partnership with The Venture Center,1,,"626,618"
Seed Round - Abyss Solutions,https://www.crunchbase.com/funding_round/abyss-solutions-seed--9b7d446a,Abyss Solutions,https://www.crunchbase.com/organization/abyss-solutions,Seed,60000,USD,60000,2016-02-01,Seed,,,,Yes,Autonomous inspection systems that leverage machine learning and robotics to deliver comprehensive inspections on critical infrastructure,"Artificial Intelligence (AI), Computer Vision, Industrial Automation, Infrastructure, Machine Learning, Robotics",,"Sydney, New South Wales, Australia, Oceania",https://abysssolutions.co,$10M to $50M,13511693,USD,13511693,,5,,"Darren Patterson, muru-D, RCL Accelerator",3,,"628,560"
Grant - Rezi,https://www.crunchbase.com/funding_round/rezi-grant--3240bf89,Rezi,https://www.crunchbase.com/organization/rezi,Grant,10000000,KRW,9068,2016-09-23,,,,,No,Rezi is a software company that develops resume-building applications.,"Artificial Intelligence (AI), Employment, Software",,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://rezi.io,,193000000,KRW,168031,Seed,9,Seoul Metropolitan Government,Seoul Metropolitan Government,1,,"336,547"
Grant - Disrupted Logic,https://www.crunchbase.com/funding_round/disrupted-logic-grant--9d905573,Disrupted Logic,https://www.crunchbase.com/organization/disrupted-logic,Grant,10000,USD,10000,2016-10-01,,,,,No,Big Data and Artificial Intelligence for Interactive Media Experiences,"Ad Network, Ad Targeting, Advertising, Analytics, Artificial Intelligence (AI), Big Data, Mobile Advertising, Video Advertising",,"Surrey, British Columbia, Canada, North America",http://www.disruptedlogic.com,$1M to $10M,266965,USD,266965,Seed,4,,,,,"336,823"
Grant - Teamdev Italy,https://www.crunchbase.com/funding_round/teamdev-2-grant--4c28dff7,Teamdev Italy,https://www.crunchbase.com/organization/teamdev-2,Grant,50000,EUR,54327,2016-03-01,,,,,No,TeamDev puts man's expertise in technology and technology to enhance its operations and to make its understanding of information.,"Analytics, Artificial Intelligence (AI), Big Data, Consulting, Machine Learning, Mobile Apps, Software, Sustainability, Training, Web Apps",,"Perugia, Umbria, Italy, Europe",http://www.teamdev.it/,Less than $1M,50000,EUR,54327,Seed,2,EASME - EU Executive Agency for SMEs,EASME - EU Executive Agency for SMEs,1,,"551,597"
Angel Round - Particle.One,https://www.crunchbase.com/funding_round/particle-4-angel--78d7caa2,Particle.One,https://www.crunchbase.com/organization/particle-4,Angel,75000,USD,75000,2016-06-10,Seed,675000,USD,675000,Yes,AI-driven commodity market intelligence,"Analytics, Artificial Intelligence (AI), Big Data, Commercial, Data Mining, Mining Technology","Women Founded, Women Led","Santa Clara, California, United States, North America",http://particle.one,$10M to $50M,2575000,USD,2575000,Seed,3,,Winter Capital,1,,"177,731"
Seed Round - Drafter,https://www.crunchbase.com/funding_round/drafter-2-seed--b0f3cc62,Drafter,https://www.crunchbase.com/organization/drafter-2,Seed,10000,GBP,13304,2016-09-08,Seed,,,,Yes,Drafter is an inbox assistant for sales people.,"Artificial Intelligence (AI), Management Consulting, Sales, Service Industry",,"London, England, United Kingdom, Europe",http://drafterhq.com/,,10000,GBP,13304,Seed,1,,Entrepreneur First,1,,"654,370"
