"from";"to";"full";"share.from.full";"binary";"share.from.bin";"pc";"thmax";"thmaxpc";"expected";"untapped";"linkrca";"prio";"dutch.reg"
"NL21";"NL31";1;4,762;1;9,091;0,015263;10;0,00786602584776094;0,515382013545297;-0,484617986454703;1,9403083028083;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
"NL21";"NL13";1;4,762;1;9,091;0,015263;7;0,00550621809343266;0,360767409481708;-0,639232590518293;2,77186900401186;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
"NL22";"NL33";4;25;4;30,769;0,255754;18;0,155052114738565;2,42501507451116;-1,57498492548884;1,64947428246661;"Agro-tech/Smart farming - Vertical Farming";"east"
"NL22";"NL41";5;31,25;2;15,385;0,127877;112,5;0,969075717116031;15,1563442156947;13,1563442156947;0,131957942597329;"Agro-tech/Smart farming - Vertical Farming";"east"
"NL22";"BE23";2;12,5;2;15,385;0,127877;12,5;0,107675079679559;1,6840382461883;-0,315961753811698;1,18762148337596;"Agro-tech/Smart farming - Vertical Farming";"east"
"NL22";"BE10";2;12,5;2;15,385;0,127877;8;0,0689120509949177;1,07778447756051;-0,922215522439487;1,85565856777494;"Agro-tech/Smart farming - Vertical Farming";"east"
"NL22";"NL42";3;18,75;3;23,077;0,191816;9;0,0775260573692824;1,21250753725558;-1,78749246274442;2,47421142369991;"Agro-tech/Smart farming - Vertical Farming";"east"
"NL22";"CH01";7;2,652;3;3,614;0,081367;216,5;0,351712262005328;12,9676311001365;9,96763110013646;0,231345260891053;"Protein transition and food technology";"east"
"NL22";"NL42";1;0,379;1;1,205;0,027122;57,5;0,0934108778997986;3,44405906816557;2,44405906816557;0,290355066567611;"Protein transition and food technology";"east"
"NL22";"NL11";12;4,545;1;1,205;0,027122;49;0,0796023133406979;2,93493729287153;1,93493729287153;0,340722782196687;"Protein transition and food technology";"east"
"NL22";"BE32";6;2,273;2;2,41;0,054245;51,5;0,0836636558580804;3,08467899148743;1,08467899148743;0,648365682626705;"Protein transition and food technology";"east"
"NL22";"UKJ1";1;0,379;1;1,205;0,027122;60,5;0,0982844889206576;3,62374910650465;2,62374910650465;0,275957294671697;"Protein transition and food technology";"east"
"NL22";"NL41";17;6,439;6;7,229;0,162734;61;0,0990967574241341;3,65369744622783;-2,34630255377217;1,64217209780042;"Protein transition and food technology";"east"
"NL22";"NL22";152;57,576;36;43,373;0,976404;83;0,134836571577101;4,9714243940477;-31,0285756059523;7,24138539511994;"Protein transition and food technology";"east"
"NL22";"NL31";14;5,303;7;8,434;0,189856;92,5;0,150269673143154;5,5404428487881;-1,4595571512119;1,26343691128069;"Protein transition and food technology";"east"
"NL22";"NL33";16;6,061;7;8,434;0,189856;62;0,100721294431087;3,71359412567418;-3,28640587432582;1,88496635957199;"Protein transition and food technology";"east"
"NL22";"NL13";3;1,136;2;2,41;0,054245;45,5;0,0739164338163623;2,72529891480928;0,725298914809279;0,733864453962094;"Protein transition and food technology";"east"
"NL22";"NL21";8;3,03;4;4,819;0,108489;47;0,0763532393267919;2,81514393397882;-1,18485606602118;1,42088649596916;"Protein transition and food technology";"east"
"NL22";"DE30";1;0,379;1;1,205;0,027122;57,5;0,0934108778997986;3,44405906816557;2,44405906816557;0,290355066567611;"Protein transition and food technology";"east"
"NL22";"BE10";3;1,136;2;2,41;0,054245;54,5;0,0885372668789395;3,2643690298265;1,2643690298265;0,612675828537161;"Protein transition and food technology";"east"
"NL22";"FR82";8;3,03;1;1,205;0,027122;57,5;0,0934108778997986;3,44405906816557;2,44405906816557;0,290355066567611;"Protein transition and food technology";"east"
"NL22";"BE25";3;1,136;1;1,205;0,027122;44;0,0714796283059328;2,63545389563974;1,63545389563974;0,379441280173583;"Protein transition and food technology";"east"
