"domain","from","from_geo","to","to_geo","full","full_frac","binary","binary_frac","parent"
"Biobased Materials in Construction","Hanze University of Applied Sciences (NL) -- 180755707","Noord-Nederland (NL1)","University of Applied Sciences Utrecht (NL) -- 173063890","Utrecht (NL31)",3,0.333333333333333,3,0.333333333333333,"Industrial Loops"
"Biobased Materials in Construction","Martini Ziekenhuis (NL) -- 4210110920","Noord-Nederland (NL1)","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)",1,1,1,1,"Industrial Loops"
"Biobased Materials in Construction","Hanze University of Applied Sciences (NL) -- 180755707","Noord-Nederland (NL1)","The Hague University of Applied Sciences (NL) -- 930713850","Zuid-Holland (NL33)",3,0.5,3,0.5,"Industrial Loops"
"Biobased Materials in Construction","Hanze University of Applied Sciences (NL) -- 180755707","Noord-Nederland (NL1)","Utrecht University (NL) -- 193662353","Utrecht (NL31)",4,0.666666666666666,4,0.666666666666666,"Industrial Loops"
"Biobased Materials in Construction","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","Utrecht University (NL) -- 193662353","Utrecht (NL31)",2,0.4,2,0.4,"Industrial Loops"
"Biobased Materials in Construction","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Stuttgart (DE) -- 100066346","Stuttgart (DE11)",2,2,2,2,"Industrial Loops"
"Biobased Materials in Construction","Van Hall Larenstein University of Applied Sciences (NL) -- 2800435062","Noord-Nederland (NL1)","Wageningen University & Research (NL) -- 913481162","Gelderland (NL22)",1,1,1,1,"Industrial Loops"
"Biobased Materials in Construction","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Pavia (IT) -- 25217355","Lombardia (ITC4)",1,1,1,1,"Industrial Loops"
"Biobased Materials in Construction","Fryske Akademy (NL) -- 196758499","Noord-Nederland (NL1)","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)",1,1,1,1,"Industrial Loops"
"Biobased Materials in Construction","Hanze University of Applied Sciences (NL) -- 180755707","Noord-Nederland (NL1)","University of Leeds (GB) -- 130828816","West Yorkshire (UKE4)",1,1,1,1,"Industrial Loops"
"Biobased Materials in Construction","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Oxford (GB) -- 40120149","Berkshire, Buckinghamshire and Oxfordshire (UKJ1)",1,0.0222222222222222,1,0.0222222222222222,"Industrial Loops"
"Biobased Materials in Construction","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Lisbon (PT) -- 141596103","Lisboa (PT17)",1,1,1,1,"Industrial Loops"
"Biobased Materials in Construction","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Leeds (GB) -- 130828816","West Yorkshire (UKE4)",1,0.0222222222222222,1,0.0222222222222222,"Industrial Loops"
"Biobased Materials in Construction","Hanze University of Applied Sciences (NL) -- 180755707","Noord-Nederland (NL1)","Robert Gordon University (GB) -- 522815984","Scotland (UKM)",2,0.666666666666666,2,0.666666666666666,"Industrial Loops"
"Biobased Materials in Construction","Hanze University of Applied Sciences (NL) -- 180755707","Noord-Nederland (NL1)","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)",5,2.06666666666667,5,2.06666666666667,"Industrial Loops"
"Biobased Materials in Construction","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","Wageningen University & Research (NL) -- 913481162","Gelderland (NL22)",1,1,1,1,"Industrial Loops"
"By-Product Valorization","Martini Ziekenhuis (NL) -- 4210110920","Noord-Nederland (NL1)","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)",1,1,1,1,"Industrial Loops"
"By-Product Valorization","Stenden University of Applied Sciences (NL) -- 36523846","Noord-Nederland (NL1)","University of Twente (NL) -- 94624287","Overijssel (NL21)",2,2,2,2,"Industrial Loops"
"By-Product Valorization","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Salerno (IT) -- 131729948","Campania (ITF3)",1,0.1,1,0.1,"Industrial Loops"
"By-Product Valorization","Terra (NL) -- 4210103329","Noord-Nederland (NL1)","University of Ferrara (IT) -- 201324441","Emilia-Romagna (ITH5)",1,1,1,1,"Industrial Loops"
"By-Product Valorization","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Twente (NL) -- 94624287","Overijssel (NL21)",4,2.66666666666666,4,2.66666666666666,"Industrial Loops"
"By-Product Valorization","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","Van Hall Larenstein University of Applied Sciences (NL) -- 2800435062","Noord-Nederland (NL1)",1,1,1,1,"Industrial Loops"
"By-Product Valorization","University Medical Center Groningen (NL) -- 1334415907","Noord-Nederland (NL1)","University of Twente (NL) -- 94624287","Overijssel (NL21)",1,0.333333333333333,1,0.333333333333333,"Industrial Loops"
"By-Product Valorization","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Ioannina (GR) -- 194019607","Thessalia (EL14)",1,0.0128205128205128,1,0.0128205128205128,"Industrial Loops"
"By-Product Valorization","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Sheffield (GB) -- 91136226","South Yorkshire (UKE3)",1,0.166666666666667,1,0.166666666666667,"Industrial Loops"
"By-Product Valorization","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Surrey (GB) -- 28290843","Surrey, East and West Sussex (UKJ2)",1,0.166666666666667,1,0.166666666666667,"Industrial Loops"
