"Region";"Technology";"Relatedness.Density";"Complexity";"RCA";"CPC";"X.Label..CPC.";"Relatedness.Density..CPC.";"RCA..CPC."
"NL4";"Materials, metallurgy";26,58;6,06;0,2;"B22D";"casting of metals; casting of other substances by ";5,8;0,15
"NL4";"Materials, metallurgy";26,58;6,06;0,2;"B22F";"working metallic powder; manufacture of articles f";31,37;0,1
"NL4";"Materials, metallurgy";26,58;6,06;0,2;"C01B";"non-metallic elements; compounds thereof";14,6;0,14
"NL4";"Materials, metallurgy";26,58;6,06;0,2;"C01C";"ammonia; cyanogen; compounds thereof";13,6;1,18
"NL4";"Materials, metallurgy";26,58;6,06;0,2;"C01D";"compounds of alkali metals, i.e. lithium, sodium, ";15,11;0
"NL4";"Materials, metallurgy";26,58;6,06;0,2;"C01F";"compounds of the metals beryllium, magnesium, alum";12,78;0
"NL4";"Materials, metallurgy";26,58;6,06;0,2;"C01G";"compounds containing metals not covered by subclas";7,85;0,25
"NL4";"Materials, metallurgy";26,58;6,06;0,2;"C03C";"chemical composition of glasses, glazes, or vitreo";17,19;0,38
"NL4";"Materials, metallurgy";26,58;6,06;0,2;"C21B";"manufacture of iron or steel";2,07;0,3
"NL4";"Materials, metallurgy";26,58;6,06;0,2;"C21C";"processing of pig-iron, e.g. refining, manufacture";4,32;0
"NL4";"Materials, metallurgy";26,58;6,06;0,2;"C21D";"modifying the physical structure of ferrous metals";4,25;0,22
"NL4";"Materials, metallurgy";26,58;6,06;0,2;"C22B";"production or refining of metals; pretreatment of ";1,61;0
"NL4";"Materials, metallurgy";26,58;6,06;0,2;"C22C";"alloys";5,01;0,24
"NL4";"Materials, metallurgy";26,58;6,06;0,2;"C22F";"changing the physical structure of non-ferrous met";6,53;0
"NL4";"Measurement";49,78;42,42;1,08;"G01B";"measuring length, thickness or similar linear dime";30,74;1,23
"NL4";"Measurement";49,78;42,42;1,08;"G01C";"measuring distances, levels or bearings; surveying";39,73;0,69
"NL4";"Measurement";49,78;42,42;1,08;"G01D";"measuring not specially adapted for a specific var";40,2;0,39
"NL4";"Measurement";49,78;42,42;1,08;"G01F";"measuring volume, volume flow, mass flow, or liqui";38,22;0,69
"NL4";"Measurement";49,78;42,42;1,08;"G01G";"weighing";30,17;0,93
"NL4";"Measurement";49,78;42,42;1,08;"G01H";"measurement of mechanical vibrations or ultrasonic";38,23;0,41
"NL4";"Measurement";49,78;42,42;1,08;"G01J";"measurement of intensity, velocity, spectral conte";52,19;0,74
"NL4";"Measurement";49,78;42,42;1,08;"G01K";"measuring temperature; measuring quantity of heat;";25,75;1,12
"NL4";"Measurement";49,78;42,42;1,08;"G01L";"measuring force, stress, torque, work, mechanical ";36,86;0,99
"NL4";"Measurement";49,78;42,42;1,08;"G01M";"testing static or dynamic balance of machines or s";29,04;0,47
"NL4";"Measurement";49,78;42,42;1,08;"G01P";"measuring linear or angular speed, acceleration, d";23,39;1,06
"NL4";"Measurement";49,78;42,42;1,08;"G01Q";"scanning-probe techniques or apparatus; applicatio";57,18;0
"NL4";"Measurement";49,78;42,42;1,08;"G01R";"measuring electric variables; measuring magnetic v";37,16;2,52
"NL4";"Measurement";49,78;42,42;1,08;"G01S";"radio direction-finding; radio navigation; determi";34,28;1,31
"NL4";"Measurement";49,78;42,42;1,08;"G01V";"geophysics; gravitational measurements; detecting ";39,39;0,35
"NL4";"Measurement";49,78;42,42;1,08;"G01W";"meteorology";33,79;0,44
"NL4";"Measurement";49,78;42,42;1,08;"G04B";"mechanically-driven clocks or watches; mechanical ";7,18;0,03
"NL4";"Measurement";49,78;42,42;1,08;"G04C";"electromechanical clocks or watches";7,98;0
"NL4";"Measurement";49,78;42,42;1,08;"G04D";"apparatus or tools specially designed for making o";14,16;0
"NL4";"Measurement";49,78;42,42;1,08;"G04F";"time-interval measuring";51,94;0
"NL4";"Measurement";49,78;42,42;1,08;"G04G";"electronic time-pieces";12,33;0,61
"NL4";"Measurement";49,78;42,42;1,08;"G12B";"constructional details of instruments, or comparab";29,52;0
"NL4";"Mechanical elements";21,77;27,27;0,31;"F15B";"systems acting by means of fluids in general; flui";14,44;0,51
"NL4";"Mechanical elements";21,77;27,27;0,31;"F15C";"fluid-circuit elements predominantly used for comp";1,71;0
"NL4";"Mechanical elements";21,77;27,27;0,31;"F15D";"fluid dynamics, i.e. methods or means for influenc";12,09;0,49
"NL4";"Mechanical elements";21,77;27,27;0,31;"F16B";"devices for fastening or securing constructional e";12;0,28
"NL4";"Mechanical elements";21,77;27,27;0,31;"F16C";"shafts; flexible shafts; mechanical means for tran";9,64;0,29
"NL4";"Mechanical elements";21,77;27,27;0,31;"F16D";"couplings for transmitting rotation";5,64;0,14
"NL4";"Mechanical elements";21,77;27,27;0,31;"F16F";"springs; shock-absorbers; means for damping vibrat";8,22;0,07
"NL4";"Mechanical elements";21,77;27,27;0,31;"F16G";"belts, cables, or ropes, predominantly used for dr";16,59;3,28
"NL4";"Mechanical elements";21,77;27,27;0,31;"F16H";"gearing";8,83;0,34
"NL4";"Mechanical elements";21,77;27,27;0,31;"F16J";"pistons; cylinders; pressure vessels in general; s";10,01;0,12
"NL4";"Mechanical elements";21,77;27,27;0,31;"F16K";"valves; taps; cocks; actuating-floats; devices for";8,08;0,15
"NL4";"Mechanical elements";21,77;27,27;0,31;"F16L";"pipes; joints or fittings for pipes; supports for ";18,74;0,26
"NL4";"Mechanical elements";21,77;27,27;0,31;"F16M";"frames, casings, or beds, of engines or other mach";30,62;0,47
"NL4";"Mechanical elements";21,77;27,27;0,31;"F16N";"lubricating";4,63;0,2
"NL4";"Mechanical elements";21,77;27,27;0,31;"F16P";"safety devices in general";16,52;0,67
"NL4";"Mechanical elements";21,77;27,27;0,31;"F16S";"constructional elements in general; structures bui";30,27;0
"NL4";"Mechanical elements";21,77;27,27;0,31;"F17C";"vessels for containing or storing compressed, liqu";21,77;0,24
"NL4";"Mechanical elements";21,77;27,27;0,31;"F17D";"pipe-line systems; pipe-lines";20,52;1,17
"NL4";"Mechanical elements";21,77;27,27;0,31;"G05G";"control devices or systems insofar as characterise";17,85;0
"NL4";"Medical technology";39,14;69,7;2,98;"A61B";"diagnosis; surgery; identification";64;5,12
"NL4";"Medical technology";39,14;69,7;2,98;"A61C";"dentistry; apparatus or methods for oral or dental";60,76;2,19
"NL4";"Medical technology";39,14;69,7;2,98;"A61D";"veterinary instruments, implements, tools, or meth";48,85;0
"NL4";"Medical technology";39,14;69,7;2,98;"A61F";"filters implantable into blood vessels; prostheses";46,25;0,85
"NL4";"Medical technology";39,14;69,7;2,98;"A61G";"transport, personal conveyances, or accommodation ";34,42;1,28
"NL4";"Medical technology";39,14;69,7;2,98;"A61H";"physical therapy apparatus, e.g. devices for locat";46,75;1,92
"NL4";"Medical technology";39,14;69,7;2,98;"A61J";"containers specially adapted for medical or pharma";26,74;0,94
"NL4";"Medical technology";39,14;69,7;2,98;"A61L";"methods or apparatus for sterilising materials or ";31,16;0,88
"NL4";"Medical technology";39,14;69,7;2,98;"A61M";"devices for introducing media into, or onto, the b";33,59;1,49
"NL4";"Medical technology";39,14;69,7;2,98;"A61N";"electrotherapy; magnetotherapy; radiation therapy;";55,79;4,11
"NL4";"Medical technology";39,14;69,7;2,98;"H05G";"x-ray technique";69,37;8,04
"NL4";"Micro-structure and nano-technology";59,85;63,64;1,59;"B81B";"micro-structural devices or systems, e.g. micro-me";58,74;1,79
"NL4";"Micro-structure and nano-technology";59,85;63,64;1,59;"B81C";"processes or apparatus specially adapted for the m";52,3;1,71
"NL4";"Micro-structure and nano-technology";59,85;63,64;1,59;"B82B";"nano-structures formed by manipulation of individu";52,07;2,4
"NL4";"Micro-structure and nano-technology";59,85;63,64;1,59;"B82Y";"specific uses or applications of nano-structures; ";27,53;1,04
"NL4";"Optics";55,8;63,64;2,18;"G02B";"optical elements, systems, or apparatus ";47,79;1,59
"NL4";"Optics";55,8;63,64;2,18;"G02C";"spectacles; sunglasses or goggles insofar as they ";47,62;0,35
"NL4";"Optics";55,8;63,64;2,18;"G02F";"devices or arrangements, the optical operation of ";43,18;0,81
"NL4";"Optics";55,8;63,64;2,18;"G03B";"apparatus or arrangements for taking photographs o";60,3;1,46
"NL4";"Optics";55,8;63,64;2,18;"G03C";"photosensitive materials for photographic purposes";66,05;0
"NL4";"Optics";55,8;63,64;2,18;"G03F";"photomechanical production of textured or patterne";39,1;8,41
"NL4";"Optics";55,8;63,64;2,18;"G03G";"electrography; electrophotography; magnetography ";57,93;11,98
"NL4";"Optics";55,8;63,64;2,18;"G03H";"holographic processes or apparatus";37,94;0
"NL4";"Optics";55,8;63,64;2,18;"H01S";"devices using stimulated emission";57,04;1,4
"NL4";"Organic fine chemistry";24,7;78,79;0,39;"A61Q";"specific use of cosmetics or similar toilet prepar";19,03;0,21
"NL4";"Organic fine chemistry";24,7;78,79;0,39;"C04B";"lime; magnesia; slag; cements; compositions thereo";15,83;0,34
"NL4";"Organic fine chemistry";24,7;78,79;0,39;"C07B";"general methods of organic chemistry; apparatus th";8,67;0,09
"NL4";"Organic fine chemistry";24,7;78,79;0,39;"C07C";"acyclic or carbocyclic compounds ";19,46;0,65
"NL4";"Organic fine chemistry";24,7;78,79;0,39;"C07D";"heterocyclic compounds";15,38;0,27
"NL4";"Organic fine chemistry";24,7;78,79;0,39;"C07F";"acyclic, carbocyclic, or heterocyclic compounds co";20,85;0,43
"NL4";"Organic fine chemistry";24,7;78,79;0,39;"C07H";"sugars; derivatives thereof; nucleosides; nucleoti";19,48;0,52
"NL4";"Organic fine chemistry";24,7;78,79;0,39;"C07J";"steroids";9,29;0
"NL4";"Organic fine chemistry";24,7;78,79;0,39;"C40B";"combinatorial chemistry; libraries, e.g. chemical ";11,61;0
"NL4";"Other consumer goods";38;30,3;0,71;"A24B";"manufacture or preparation of tobacco for smoking ";12,63;0,18
"NL4";"Other consumer goods";38;30,3;0,71;"A24C";"machines for making cigars or cigarettes";5,54;0
"NL4";"Other consumer goods";38;30,3;0,71;"A24D";"cigars; cigarettes; tobacco smoke filters; mouthpi";5,34;0,14
"NL4";"Other consumer goods";38;30,3;0,71;"A24F";"smokers' requisites; match boxes ";27,45;0
"NL4";"Other consumer goods";38;30,3;0,71;"A41B";"shirts; underwear; baby linen; handkerchiefs";9,21;0,7
"NL4";"Other consumer goods";38;30,3;0,71;"A41C";"corsets; brassií_res";30,11;0
"NL4";"Other consumer goods";38;30,3;0,71;"A41D";"outerwear; protective garments; accessories";19,57;0,28
"NL4";"Other consumer goods";38;30,3;0,71;"A41F";"garment fastenings; suspenders";30,52;0,8
"NL4";"Other consumer goods";38;30,3;0,71;"A41G";"artificial flowers; wigs; masks; feathers";34,93;0
"NL4";"Other consumer goods";38;30,3;0,71;"A42B";"hats; head coverings ";10,36;0
"NL4";"Other consumer goods";38;30,3;0,71;"A43B";"characteristic features of footwear; parts of foot";21,89;0,14
"NL4";"Other consumer goods";38;30,3;0,71;"A43C";"fastenings or attachments for footwear; laces in g";9,75;0
"NL4";"Other consumer goods";38;30,3;0,71;"A44B";"buttons, pins, buckles, slide fasteners, or the li";4,22;1,05
"NL4";"Other consumer goods";38;30,3;0,71;"A44C";"jewellery; bracelets; other personal adornments; c";14,92;0,27
"NL4";"Other consumer goods";38;30,3;0,71;"A45B";"walking sticks ";9,52;0
"NL4";"Other consumer goods";38;30,3;0,71;"A45C";"purses; luggage; hand carried bags";15,7;0,25
"NL4";"Other consumer goods";38;30,3;0,71;"A45D";"hairdressing or shaving equipment; manicuring or o";47,24;1,23
"NL4";"Other consumer goods";38;30,3;0,71;"A45F";"travelling or camp equipment; sacks or packs carri";14,11;0
"NL4";"Other consumer goods";38;30,3;0,71;"A46B";"brushes ";70,22;3,45
"NL4";"Other consumer goods";38;30,3;0,71;"A62B";"devices, apparatus or methods for life-saving";17,99;0,64
"NL4";"Other consumer goods";38;30,3;0,71;"B42B";"permanently attaching together sheets, quires, or ";54,47;0
"NL4";"Other consumer goods";38;30,3;0,71;"B42C";"bookbinding";29,94;0,42
"NL4";"Other consumer goods";38;30,3;0,71;"B42D";"books; book covers; loose leaves; printed matter c";33,77;0
"NL4";"Other consumer goods";38;30,3;0,71;"B42F";"sheets temporarily attached together; filing appli";12,05;0
"NL4";"Other consumer goods";38;30,3;0,71;"B43K";"implements for writing or drawing";58,92;0
"NL4";"Other consumer goods";38;30,3;0,71;"B43L";"articles for writing or drawing upon; accessories ";29,49;3,55
"NL4";"Other consumer goods";38;30,3;0,71;"B43M";"bureau accessories not otherwise provided for ";18,3;0
"NL4";"Other consumer goods";38;30,3;0,71;"B44B";"machines, apparatus or tools for artistic work, e.";18,2;0
"NL4";"Other consumer goods";38;30,3;0,71;"B44C";"producing decorative effects; paperhanging";20,28;0,98
"NL4";"Other consumer goods";38;30,3;0,71;"B44D";"painting or artistic drawing, not otherwise provid";67,16;1,32
"NL4";"Other consumer goods";38;30,3;0,71;"B44F";"special designs or pictures";24,75;0,47
"NL4";"Other consumer goods";38;30,3;0,71;"B68C";"saddles; stirrups";6,71;1,13
"NL4";"Other consumer goods";38;30,3;0,71;"D06F";"laundering, drying, ironing, pressing or folding t";13,45;1,04
"NL4";"Other consumer goods";38;30,3;0,71;"D06N";"wall, floor, or like covering materials, e.g. lino";19,33;2
"NL4";"Other consumer goods";38;30,3;0,71;"D07B";"ropes or cables in general";37,8;0,61
"NL4";"Other consumer goods";38;30,3;0,71;"F25D";"refrigerators; cold rooms; ice-boxes; cooling or f";19,91;0,26
"NL4";"Other consumer goods";38;30,3;0,71;"G10D";"stringed musical instruments; wind musical instrum";6,14;0
"NL4";"Other consumer goods";38;30,3;0,71;"G10G";"aids for music; supports for musical instruments; ";5,09;0
"NL4";"Other consumer goods";38;30,3;0,71;"G10H";"electrophonic musical instruments; instruments in ";10,71;0
"NL4";"Other consumer goods";38;30,3;0,71;"G10K";"sound-producing devices; ‘_methods or devices for ";25,24;1,43
"NL4";"Other special machines";40,45;15,15;0,97;"A01B";"soil working in agriculture or forestry; parts, de";13,16;0,45
"NL4";"Other special machines";40,45;15,15;0,97;"A01C";"planting; sowing; fertilising ";17,65;0,33
"NL4";"Other special machines";40,45;15,15;0,97;"A01D";"harvesting; mowing";48,35;0,74
"NL4";"Other special machines";40,45;15,15;0,97;"A01F";"threshing; baling of straw, hay or the like; stati";7,55;1
"NL4";"Other special machines";40,45;15,15;0,97;"A01G";"horticulture; cultivation of vegetables, flowers, ";22,42;1,8
"NL4";"Other special machines";40,45;15,15;0,97;"A01J";"manufacture of dairy products";44,94;0
"NL4";"Other special machines";40,45;15,15;0,97;"A01K";"animal husbandry; care of birds, fishes, insects; ";21,74;1,06
"NL4";"Other special machines";40,45;15,15;0,97;"A01L";"shoeing of animals";32,82;0
"NL4";"Other special machines";40,45;15,15;0,97;"A01M";"catching, trapping or scaring of animals; apparatu";25,39;0,57
"NL4";"Other special machines";40,45;15,15;0,97;"A21B";"bakers' ovens; machines or equipment for baking";56,03;1,56
"NL4";"Other special machines";40,45;15,15;0,97;"A21C";"machines or equipment for making or processing dou";75,82;2,27
"NL4";"Other special machines";40,45;15,15;0,97;"A22B";"slaughtering";78,23;2,63
"NL4";"Other special machines";40,45;15,15;0,97;"A22C";"processing meat, poultry, or fish";50,82;3,9
"NL4";"Other special machines";40,45;15,15;0,97;"A23N";"machines or apparatus for treating harvested fruit";43,91;6,12
"NL4";"Other special machines";40,45;15,15;0,97;"A23P";"shaping or working of foodstuffs, not fully covere";58,96;3,25
"NL4";"Other special machines";40,45;15,15;0,97;"B02B";"preparing grain for milling; refining granular fru";72,19;0
"NL4";"Other special machines";40,45;15,15;0,97;"B28B";"shaping clay or other ceramic compositions, slag o";31,37;0,81
"NL4";"Other special machines";40,45;15,15;0,97;"B28C";"preparing clay; producing mixtures containing clay";26,74;0
"NL4";"Other special machines";40,45;15,15;0,97;"B28D";"working stone or stone-like materials ";4,17;0
"NL4";"Other special machines";40,45;15,15;0,97;"B29B";"preparation or pretreatment of the material to be ";30,21;0,87
"NL4";"Other special machines";40,45;15,15;0,97;"B29C";"shaping or joining of plastics; shaping of substan";26,59;0,87
"NL4";"Other special machines";40,45;15,15;0,97;"B29D";"producing particular articles from plastics or fro";20,09;0,5
"NL4";"Other special machines";40,45;15,15;0,97;"B29K";"indexing scheme associated with subclasses b29b, b";17,44;0,61
"NL4";"Other special machines";40,45;15,15;0,97;"B29L";"indexing scheme associated with subclass b29c, rel";13,21;0,41
"NL4";"Other special machines";40,45;15,15;0,97;"C03B";"manufacture or shaping of glass, or of mineral or ";9,09;0,15
"NL4";"Other special machines";40,45;15,15;0,97;"C08J";"working-up; general processes of compounding; afte";36,7;1,44
"NL4";"Other special machines";40,45;15,15;0,97;"F41A";"functional features or details common to both smal";4,47;0
"NL4";"Other special machines";40,45;15,15;0,97;"F41B";"weapons for projecting missiles without use of exp";5,21;0
"NL4";"Other special machines";40,45;15,15;0,97;"F41C";"smallarms, e.g. pistols‘_or rifles); accessories t";0,12;0
"NL4";"Other special machines";40,45;15,15;0,97;"F41F";"apparatus for launching projectiles or missiles fr";5,52;0
"NL4";"Other special machines";40,45;15,15;0,97;"F41G";"weapon sights; aiming";20,67;0
"NL4";"Other special machines";40,45;15,15;0,97;"F41H";"armour; armoured turrets; armoured or armed vehicl";14,29;0,89
"NL4";"Other special machines";40,45;15,15;0,97;"F41J";"targets; target ranges; bullet catchers";5,04;0
"NL4";"Other special machines";40,45;15,15;0,97;"F42B";"explosive charges, e.g. for blasting; fireworks; a";3,22;0,21
"NL4";"Other special machines";40,45;15,15;0,97;"F42C";"ammunition fuzes";0,33;0
"NL4";"Other special machines";40,45;15,15;0,97;"F42D";"blasting";3,2;0
"NL4";"Pharmaceuticals";23,04;93,94;0,34;"A61K";"preparations for medical, dental, or toilet purpos";17,08;0,32
"NL4";"Pharmaceuticals";23,04;93,94;0,34;"A61P";"specific therapeutic activity of chemical compound";10,1;0,31
"NL4";"Semiconductors";51,09;75,76;1,62;"H01L";"semiconductor devices; electric solid state device";32,3;1,54
"NL4";"Surface technology, coating";33,69;9,09;0,63;"B05C";"apparatus for applying liquids or other fluent mat";18,56;0,45
"NL4";"Surface technology, coating";33,69;9,09;0,63;"B05D";"processes for applying liquids or other fluent mat";25,21;0,79
"NL4";"Surface technology, coating";33,69;9,09;0,63;"B32B";"layered products, i.e. products built-up of strata";19,41;0,67
"NL4";"Surface technology, coating";33,69;9,09;0,63;"C23C";"coating metallic material; coating material with m";16,56;0,63
"NL4";"Surface technology, coating";33,69;9,09;0,63;"C23D";"enamelling of, or applying a vitreous layer to, me";1,28;0
"NL4";"Surface technology, coating";33,69;9,09;0,63;"C23F";"non-mechanical removal of metallic material from s";7,47;0,34
"NL4";"Surface technology, coating";33,69;9,09;0,63;"C23G";"cleaning or de-greasing of metallic material by ch";13,29;0
"NL4";"Surface technology, coating";33,69;9,09;0,63;"C25B";"electrolytic or electrophoretic processes for the ";4,2;0,41
"NL4";"Surface technology, coating";33,69;9,09;0,63;"C25C";"processes for the electrolytic production, recover";1,4;0
"NL4";"Surface technology, coating";33,69;9,09;0,63;"C25D";"processes for the electrolytic or electrophoretic ";11,25;0,3
"NL4";"Surface technology, coating";33,69;9,09;0,63;"C25F";"processes for the electrolytic removal of material";1,76;0
"NL4";"Surface technology, coating";33,69;9,09;0,63;"C30B";"single-crystal growth; unidirectional solidificati";18,24;0,45
"NL4";"Telecommunications";60,98;87,88;1,44;"G08C";"transmission systems for measured values, control ";41,71;2,13
"NL4";"Telecommunications";60,98;87,88;1,44;"H01P";"waveguides; resonators, lines or other devices of ";72,05;1,37
"NL4";"Telecommunications";60,98;87,88;1,44;"H01Q";"aerials";51,42;1,17
"NL4";"Telecommunications";60,98;87,88;1,44;"H04B";"transmission";52,52;1,8
"NL4";"Telecommunications";60,98;87,88;1,44;"H04H";"broadcast communication";69,23;0,63
"NL4";"Telecommunications";60,98;87,88;1,44;"H04J";"multiplex communication ";57,88;0,58
"NL4";"Telecommunications";60,98;87,88;1,44;"H04K";"secret communication; jamming of communication";56,63;0,64
"NL4";"Telecommunications";60,98;87,88;1,44;"H04M";"telephonic communication";43,91;1
"NL4";"Telecommunications";60,98;87,88;1,44;"H04Q";"selecting";41,44;0,47
"NL4";"Textile and paper machines";23,11;21,21;1,7;"A41H";"appliances or methods for making clothes, e.g. for";26,83;0
"NL4";"Textile and paper machines";23,11;21,21;1,7;"A43D";"machines, tools, equipment or methods for manufact";17,13;0
"NL4";"Textile and paper machines";23,11;21,21;1,7;"A46D";"manufacture of brushes";77,95;2,31
"NL4";"Textile and paper machines";23,11;21,21;1,7;"B31B";"making boxes, cartons, envelopes or bags‘_of paper";17,58;0,22
"NL4";"Textile and paper machines";23,11;21,21;1,7;"B31C";"making wound articles, e.g. wound tubes, of paper ";22,11;3,4
"NL4";"Textile and paper machines";23,11;21,21;1,7;"B31D";"making articles of paper or cardboard not provided";12,07;2,88
"NL4";"Textile and paper machines";23,11;21,21;1,7;"B31F";"mechanical working or deformation of paper or card";19,98;0
"NL4";"Textile and paper machines";23,11;21,21;1,7;"B41C";"processes for the manufacture or reproduction of p";29,98;0,66
"NL4";"Textile and paper machines";23,11;21,21;1,7;"B41F";"printing machines or presses";29,66;1,11
"NL4";"Textile and paper machines";23,11;21,21;1,7;"B41J";"typewriters; selective printing mechanisms, i.e. m";53,8;7,97
"NL4";"Textile and paper machines";23,11;21,21;1,7;"B41K";"stamps; stamping or numbering apparatus or devices";18;3,5
"NL4";"Textile and paper machines";23,11;21,21;1,7;"B41M";"printing, duplicating, marking, or copying process";34,97;1,55
"NL4";"Textile and paper machines";23,11;21,21;1,7;"B41N";"printing plates or foils; materials for surfaces u";32,03;0
"NL4";"Textile and paper machines";23,11;21,21;1,7;"C14B";"mechanical treatment or processing of skins, hides";22,89;0
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D01D";"mechanical methods or apparatus in the manufacture";42,2;1,64
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D01F";"chemical features in the manufacture of man-made f";39,07;1,99
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D01G";"preliminary treatment of fibres, e.g. for spinning";29,55;0
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D01H";"spinning or twisting";51,77;0,11
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D02G";"crimping or curling fibres, filaments, yarns, or t";22,12;1,14
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D02H";"warping, beaming, or leasing";15,9;0
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D02J";"finishing or dressing of filaments, yarns, threads";51,58;0,46
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D03C";"shedding mechanisms; pattern cards or chains; punc";0;0
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D03D";"woven fabrics; methods of weaving; looms";21,52;0,68
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D03J";"auxiliary weaving apparatus; weavers' tools; shutt";21,3;0
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D04B";"knitting";20,25;0,42
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D04C";"braiding or manufacture of lace, including bobbin-";16,12;1,38
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D04H";"making textile fabrics, e.g. from fibres or filame";29,34;0,53
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D05B";"sewing";35,53;0
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D05C";"embroidering";18,95;2,68
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D06H";"marking, inspecting, seaming, or severing textile ";22,74;2,33
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D06M";"treatment, not provided for elsewhere in class  d0";32,05;0,69
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D06P";"dyeing or printing textiles; dyeing leather, furs ";21,8;1,33
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D06Q";"decorating textiles";45,33;0
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D21B";"fibrous raw materials or their mechanical treatmen";39,19;0
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D21C";"production of cellulose by removing non-cellulose ";18,05;1,13
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D21D";"treatment of the materials before passing to the p";8,85;1,46
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D21F";"paper-making machines; methods of producing paper ";18,88;0,14
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D21G";"calenders; accessories for paper-making machines";10,66;0
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D21H";"pulp compositions; preparation thereof not covered";25,51;0,31
"NL4";"Textile and paper machines";23,11;21,21;1,7;"D21J";"fibreboard; manufacture of articles from cellulosi";18,91;0
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F22B";"methods of steam generation; steam boilers ";38,1;1,62
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F22G";"superheating of steam";44,45;1,46
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F23B";"methods or apparatus for combustion using only sol";0,44;0
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F23C";"methods or apparatus for combustion using fluid fu";3,72;0,12
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F23D";"burners";0,9;0
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F23H";"grates";0;0
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F23K";"feeding fuel to combustion apparatus";1,23;0
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F23L";"supplying air or non-combustible liquids or gases ";4,49;0
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F23M";"casings, linings, walls or doors specially adapted";7,28;0
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F23N";"regulating or controlling combustion";1,07;0,12
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F23Q";"ignition; extinguishing devices";6,24;0
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F24B";"domestic stoves or ranges for solid fuels; impleme";5,51;0,37
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F24C";"other domestic stoves or ranges; details of domest";42,85;0,26
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F24D";"domestic- or space-heating systems, e.g. central h";28,26;0,08
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F24F";"air-conditioning; air-humidification; ventilation;";41,57;1,44
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F24H";"fluid heaters, e.g. water or air heaters, having h";19,33;0,2
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F24J";"production or use of heat not otherwise provided f";22,74;0,67
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F25B";"refrigeration machines, plants, or systems; combin";20,48;0,45
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F25C";"production, working, storing or distribution of ic";4,2;0
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F27B";"furnaces, kilns, ovens, or retorts in general; ope";7,77;0,33
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F27D";"details or accessories of furnaces, kilns, ovens, ";7,44;0,13
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F28B";"steam or vapour condensers";10,77;0,6
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F28C";"heat-exchange apparatus, not provided for in anoth";9,91;0
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F28D";"heat-exchange apparatus, not provided for in anoth";9,15;0,43
"NL4";"Thermal processes adn apparatus";25,98;18,18;0,44;"F28F";"details of heat-exchange or heat-transfer apparatu";8,26;0,38
