"reg";"tech";"count";"rca";"reldens";"comp"
"NL31";"Biotechnologie gericht op moleculen en cellen";246;3,34;81,92;15,1
"FR24";"Biotechnologie gericht op moleculen en cellen";79;1,04;67,64;15,1
"MT00";"Biotechnologie gericht op moleculen en cellen";4;1,18;28,57;15,1
"EL51";"Biotechnologie gericht op moleculen en cellen";0;0;20,28;15,1
"DEA4";"Biotechnologie gericht op moleculen en cellen";76;0,49;16,05;15,1
"FR21";"Biotechnologie gericht op moleculen en cellen";22;1,13;47;15,1
"LV00";"Biotechnologie gericht op moleculen en cellen";14;1,15;56,35;15,1
"FR63";"Biotechnologie gericht op moleculen en cellen";16;1,42;51,41;15,1
"CZ03";"Biotechnologie gericht op moleculen en cellen";15;1,19;56,7;15,1
"DE73";"Biotechnologie gericht op moleculen en cellen";22;0,41;12,35;15,1
"DE40";"Biotechnologie gericht op moleculen en cellen";147;1,39;68,43;15,1
"CH05";"Biotechnologie gericht op moleculen en cellen";42;0,33;13,4;15,1
"BG33";"Biotechnologie gericht op moleculen en cellen";2;1,48;30,07;15,1
"SE12";"Biotechnologie gericht op moleculen en cellen";214;0,93;17,28;15,1
"CZ01";"Biotechnologie gericht op moleculen en cellen";53;1,78;61,82;15,1
"SK03";"Biotechnologie gericht op moleculen en cellen";9;1,62;62,87;15,1
"NOZZ";"Biotechnologie gericht op moleculen en cellen";1;1,46;9,52;15,1
"DE21";"Biotechnologie gericht op moleculen en cellen";849;0,77;12,7;15,1
"DE91";"Biotechnologie gericht op moleculen en cellen";223;1,36;45,86;15,1
"EE00";"Biotechnologie gericht op moleculen en cellen";19;1,19;43,39;15,1
"DE24";"Biotechnologie gericht op moleculen en cellen";21;0,16;3;15,1
"CH03";"Biotechnologie gericht op moleculen en cellen";659;2,18;68,52;15,1
"ROZZ";"Biotechnologie gericht op moleculen en cellen";0;0;3,62;15,1
"PL21";"Biotechnologie gericht op moleculen en cellen";32;0,83;26,81;15,1
"RO12";"Biotechnologie gericht op moleculen en cellen";0;0;3;15,1
"NL42";"Biotechnologie gericht op moleculen en cellen";180;1,63;51,41;15,1
"LVZZ";"Biotechnologie gericht op moleculen en cellen";0;0;0,09;15,1
"FRZZ";"Biotechnologie gericht op moleculen en cellen";1;0,5;33,51;15,1
"ITF3";"Biotechnologie gericht op moleculen en cellen";71;1,72;70,81;15,1
"ITG2";"Biotechnologie gericht op moleculen en cellen";7;1,12;40,56;15,1
"DE26";"Biotechnologie gericht op moleculen en cellen";103;0,61;12,79;15,1
"DK02";"Biotechnologie gericht op moleculen en cellen";71;1,67;73,28;15,1
"IS02";"Biotechnologie gericht op moleculen en cellen";3;0,51;26,63;15,1
"PT16";"Biotechnologie gericht op moleculen en cellen";36;1,41;79,72;15,1
"ITF5";"Biotechnologie gericht op moleculen en cellen";2;0,82;19,93;15,1
"DE92";"Biotechnologie gericht op moleculen en cellen";127;0,61;8,47;15,1
"SEZZ";"Biotechnologie gericht op moleculen en cellen";5;1,1;48,59;15,1
"CHZZ";"Biotechnologie gericht op moleculen en cellen";2;1,22;24,07;15,1
"DEA2";"Biotechnologie gericht op moleculen en cellen";410;0,88;32,72;15,1
"DED5";"Biotechnologie gericht op moleculen en cellen";82;2,29;68,08;15,1
"LT00";"Biotechnologie gericht op moleculen en cellen";34;2,85;64,9;15,1
"UKD1";"Biotechnologie gericht op moleculen en cellen";3;0,4;17,99;15,1
"UKF1";"Biotechnologie gericht op moleculen en cellen";38;0,76;47,88;15,1
"DK01";"Biotechnologie gericht op moleculen en cellen";1013;3,51;87,83;15,1
"FRY3";"Biotechnologie gericht op moleculen en cellen";0;0;1,23;15,1
"BE31";"Biotechnologie gericht op moleculen en cellen";134;2,43;70,02;15,1
"PL62";"Biotechnologie gericht op moleculen en cellen";2;1,09;43,65;15,1
"BE22";"Biotechnologie gericht op moleculen en cellen";22;0,69;24,87;15,1
"AT22";"Biotechnologie gericht op moleculen en cellen";58;0,48;18,78;15,1
"UKH1";"Biotechnologie gericht op moleculen en cellen";728;2,6;77,25;15,1
"UKE3";"Biotechnologie gericht op moleculen en cellen";30;1,02;42,42;15,1
"AT11";"Biotechnologie gericht op moleculen en cellen";4;0,37;9,44;15,1
"FR42";"Biotechnologie gericht op moleculen en cellen";177;1,61;65,96;15,1
"CZZZ";"Biotechnologie gericht op moleculen en cellen";0;0;0;15,1
"EL64";"Biotechnologie gericht op moleculen en cellen";1;1,37;29,1;15,1
"LIZZ";"Biotechnologie gericht op moleculen en cellen";3;0,37;7,58;15,1
"FR81";"Biotechnologie gericht op moleculen en cellen";187;2,66;87,04;15,1
"SE33";"Biotechnologie gericht op moleculen en cellen";28;0,56;14,2;15,1
"ES23";"Biotechnologie gericht op moleculen en cellen";2;0,63;19,49;15,1
"PL12";"Biotechnologie gericht op moleculen en cellen";61;1,36;71,69;15,1
"MTZZ";"Biotechnologie gericht op moleculen en cellen";1;1,42;27,34;15,1
"ES70";"Biotechnologie gericht op moleculen en cellen";7;0,94;43,47;15,1
"EL63";"Biotechnologie gericht op moleculen en cellen";5;1,76;30,07;15,1
"PL52";"Biotechnologie gericht op moleculen en cellen";10;3,06;15,43;15,1
"UKK2";"Biotechnologie gericht op moleculen en cellen";10;0,36;9,52;15,1
"BE21";"Biotechnologie gericht op moleculen en cellen";195;1,37;73,1;15,1
"AT32";"Biotechnologie gericht op moleculen en cellen";16;0,58;20,37;15,1
"DE93";"Biotechnologie gericht op moleculen en cellen";26;0,4;18,87;15,1
"RO21";"Biotechnologie gericht op moleculen en cellen";0;0;2,82;15,1
"UKG2";"Biotechnologie gericht op moleculen en cellen";5;0,22;12,35;15,1
"DEB2";"Biotechnologie gericht op moleculen en cellen";11;0,42;5,56;15,1
"CH01";"Biotechnologie gericht op moleculen en cellen";425;1,48;87,48;15,1
"LTZZ";"Biotechnologie gericht op moleculen en cellen";1;1,81;15,87;15,1
"DE22";"Biotechnologie gericht op moleculen en cellen";26;0,22;4,06;15,1
"ITF6";"Biotechnologie gericht op moleculen en cellen";13;1,47;53,88;15,1
"PL11";"Biotechnologie gericht op moleculen en cellen";24;1,81;62,87;15,1
"HU10";"Biotechnologie gericht op moleculen en cellen";58;0,79;48,94;15,1
"ITH2";"Biotechnologie gericht op moleculen en cellen";21;1,15;41,09;15,1
"CZ07";"Biotechnologie gericht op moleculen en cellen";14;0,83;59,08;15,1
"DE25";"Biotechnologie gericht op moleculen en cellen";71;0,22;2,12;15,1
"SE23";"Biotechnologie gericht op moleculen en cellen";117;0,46;16,31;15,1
