"prio";"reg";"from";"to";"binary.pat";"binary.pub";"NEW.binary.pub"
"3D-printing/additive productie";"south-nl";"NL32";"ES43";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"ES51";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"FR10";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"FRF3";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"IE04";NA;2;2
"3D-printing/additive productie";"south-nl";"NL32";"IE05";NA;2;2
"3D-printing/additive productie";"south-nl";"NL32";"IE06";NA;2;2
"3D-printing/additive productie";"south-nl";"NL32";"ITC1";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"ITC4";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"ITF1";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"ITF3";NA;2;2
"3D-printing/additive productie";"south-nl";"NL32";"ITG1";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"ITH4";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"ITI1";NA;2;2
"3D-printing/additive productie";"south-nl";"NL32";"ITI2";NA;2;2
"3D-printing/additive productie";"south-nl";"NL32";"ITI3";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"ITI4";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"NL21";NA;3;3
"3D-printing/additive productie";"south-nl";"NL32";"NL22";1;19;19
"3D-printing/additive productie";"south-nl";"NL32";"NL31";2;42;42
"3D-printing/additive productie";"south-nl";"NL32";"NL32";12;NA;NA
"3D-printing/additive productie";"south-nl";"NL32";"NL33";3;23;23
"3D-printing/additive productie";"south-nl";"NL32";"NL41";3;10;10
"3D-printing/additive productie";"south-nl";"NL32";"NO05";NA;2;2
"3D-printing/additive productie";"south-nl";"NL32";"NO06";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"PL21";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"RO11";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"SE12";1;1;1
"3D-printing/additive productie";"south-nl";"NL32";"SE22";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL32";"SK03";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"UKG2";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL32";"UKJ3";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL32";"UKK4";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL33";"AT12";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"AT31";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"BE21";1;1;1
"3D-printing/additive productie";"south-nl";"NL33";"CH02";NA;7;7
"3D-printing/additive productie";"south-nl";"NL33";"CH03";NA;8;8
"3D-printing/additive productie";"south-nl";"NL33";"CH04";1;6;6
"3D-printing/additive productie";"south-nl";"NL33";"CH05";NA;8;8
"3D-printing/additive productie";"south-nl";"NL33";"CZ06";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"DE13";NA;2;2
"3D-printing/additive productie";"south-nl";"NL33";"DE21";1;1;1
"3D-printing/additive productie";"south-nl";"NL33";"DE27";NA;2;2
"3D-printing/additive productie";"south-nl";"NL33";"DE30";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"DE60";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"DE71";1;1;1
"3D-printing/additive productie";"south-nl";"NL33";"DEA2";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"DEB3";NA;1;1
"3D-printing/additive productie";"south-nl";"NL33";"DK01";NA;2;2
"3D-printing/additive productie";"south-nl";"NL33";"DK02";NA;2;2
"3D-printing/additive productie";"south-nl";"NL33";"DK03";NA;2;2
"3D-printing/additive productie";"south-nl";"NL33";"ES21";NA;1;1
