"from";"to";"prio";"reg";"binary.pat";"binary.pub"
"NL11";"CH01";"Electrolizers voor Power2Molecule";"south-nl";NA;2
"NL11";"CH01";"Energieopslag - Photovoltaic";"south-nl";NA;2
"NL11";"CH01";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;1
"NL11";"CH01";"Hernieuwbare energie - Composieten";"south-nl";NA;1
"NL11";"CH01";"Hydrogen technology";"north-nl";NA;2
"NL11";"CH01";"Imaging";"west-nl";NA;7
"NL11";"CH01";"Innovaties voor preventie - Imaging";"east-nl";NA;7
"NL11";"CH01";"Life sciences - Biotechnology";"west-nl";3;NA
"NL11";"CH01";"Medtech/beeldvorming";"south-nl";NA;7
"NL11";"CH01";"NANO";"west-nl";NA;12
"NL11";"CH01";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;12
"NL11";"CH01";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";NA;1
"NL11";"CH01";"Personalised/precision medicine";"south-nl";NA;1
"NL11";"CH01";"Protein transition and food technology";"east-nl";2;NA
"NL11";"CH01";"Quantum";"west-nl";NA;1
"NL11";"CH01";"Regeneratieve geneeskunde";"west-nl";NA;1
"NL11";"CH01";"Robotics - Robots";"south-nl";NA;1
"NL11";"CH01";"Robotisering Chirurgie-opafstand";"south-nl";NA;1
"NL11";"CH01";"Super-labfoods";"south-nl";2;NA
"NL11";"CH01";"Waterstof";"west-nl";NA;2
"NL11";"CH02";"Aerospace";"west-nl";NA;2
"NL11";"CH02";"Artificial intelligence";"south-nl";NA;23
"NL11";"CH02";"Carbon Capture";"south-nl";NA;1
"NL11";"CH02";"Data technology";"north-nl";NA;14
"NL11";"CH02";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;1
"NL11";"CH02";"Hernieuwbare energie - Composieten";"south-nl";NA;1
"NL11";"CH02";"Imaging";"west-nl";NA;2
"NL11";"CH02";"Innovaties voor preventie - Imaging";"east-nl";NA;2
"NL11";"CH02";"Medtech/beeldvorming";"south-nl";NA;2
"NL11";"CH02";"NANO";"west-nl";NA;14
"NL11";"CH02";"Nano-medicine";"south-nl";NA;1
"NL11";"CH02";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;14
"NL11";"CH02";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";NA;1
"NL11";"CH02";"Personalised/precision medicine";"south-nl";NA;1
"NL11";"CH02";"Quantum";"west-nl";NA;1
"NL11";"CH02";"Recyclage";"south-nl";NA;1
"NL11";"CH02";"Regeneratieve geneeskunde";"west-nl";NA;1
"NL11";"CH03";"Aerospace";"west-nl";NA;2
"NL11";"CH03";"Artificial intelligence";"south-nl";NA;11
"NL11";"CH03";"Data technology";"north-nl";NA;5
"NL11";"CH03";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;1
"NL11";"CH03";"Imaging";"west-nl";NA;2
"NL11";"CH03";"Innovaties voor preventie - Imaging";"east-nl";NA;2
"NL11";"CH03";"Life sciences - Biotechnology";"west-nl";1;NA
"NL11";"CH03";"Medtech/beeldvorming";"south-nl";NA;2
"NL11";"CH03";"NANO";"west-nl";NA;10
"NL11";"CH03";"Nano-medicine";"south-nl";NA;1
"NL11";"CH03";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;10
"NL11";"CH03";"Personalised/precision medicine";"south-nl";NA;1
"NL11";"CH03";"Protein transition and food technology";"east-nl";2;NA
"NL11";"CH03";"Quantum";"west-nl";NA;1
"NL11";"CH03";"Super-labfoods";"south-nl";2;NA
"NL11";"CH04";"Advanced maintenance (CMMS)";"south-nl";NA;1
"NL11";"CH04";"Aerospace";"west-nl";NA;1
"NL11";"CH04";"Artificial intelligence";"south-nl";NA;26
"NL11";"CH04";"Carbon Capture";"south-nl";NA;2
"NL11";"CH04";"CO2 vrije elektriciteit";"west-nl";NA;5
"NL11";"CH04";"Data technology";"north-nl";2;21
"NL11";"CH04";"Energieopslag - Photovoltaic";"south-nl";NA;2
"NL11";"CH04";"Engineering Fabrication - Autonomous robots";"west-nl";NA;2
"NL11";"CH04";"Hernieuwbare energie - Composieten";"south-nl";NA;2
"NL11";"CH04";"Imaging";"west-nl";NA;2
"NL11";"CH04";"Innovatief Waterbeheer";"west-nl";NA;1
"NL11";"CH04";"Innovaties voor preventie - Imaging";"east-nl";NA;2
"NL11";"CH04";"Life sciences - Biotechnology";"west-nl";1;NA
"NL11";"CH04";"MedTech en Connected Health";"east-nl";NA;1
"NL11";"CH04";"Medtech/beeldvorming";"south-nl";NA;2
"NL11";"CH04";"NANO";"west-nl";1;15
"NL11";"CH04";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";1;15
"NL11";"CH04";"Nanotechnologie en fotonica - Photonics";"east-nl";1;NA
"NL11";"CH04";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";NA;2
"NL11";"CH04";"Quantum";"west-nl";NA;1
"NL11";"CH04";"Recyclage";"south-nl";NA;1
"NL11";"CH04";"Robotics - Autonomous robots";"south-nl";NA;2
"NL11";"CH04";"Robotics - Robots";"south-nl";NA;1
"NL11";"CH04";"Robotisering Chirurgie-opafstand";"south-nl";NA;1
"NL11";"CH04";"Smart Industry & Industrie 4.0 - Autonomous robots";"east-nl";NA;2
"NL11";"CH04";"Tracing";"west-nl";NA;1
"NL11";"CH04";"Waste water treatment";"south-nl";NA;1
"NL11";"CH04";"Water- en bodem-beheer";"south-nl";NA;1
"NL11";"CH05";"Aerospace";"west-nl";NA;2
"NL11";"CH05";"Artificial intelligence";"south-nl";NA;104
"NL11";"CH05";"CO2 vrije elektriciteit";"west-nl";NA;4
"NL11";"CH05";"Cybersecurity";"west-nl";NA;3
"NL11";"CH05";"Data technology";"north-nl";NA;25
"NL11";"CH05";"Digitale veiligheid";"south-nl";NA;3
"NL11";"CH05";"E-health";"west-nl";NA;1
"NL11";"CH05";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;2
"NL11";"CH05";"Hernieuwbare energie - Composieten";"south-nl";NA;3
"NL11";"CH05";"Hernieuwbare energie - Windturbines";"south-nl";NA;1
"NL11";"CH05";"Imaging";"west-nl";NA;10
"NL11";"CH05";"Innovaties voor preventie - Imaging";"east-nl";NA;10
