"geo","domain","count","rca","reldens","comp"
"1691","Digital communication",9,0.2,13.33,100
"1055","Digital communication",11,0.75,32.04,100
"103","Digital communication",0,0,13.73,100
"783","Digital communication",2,1.4,21.39,100
"1690","Digital communication",2,0.16,20,100
"128","Digital communication",0,0,13.63,100
"772","Digital communication",1,2,35.22,100
"676","Digital communication",0,0,10.35,100
"507","Digital communication",1,0.04,15.12,100
"547","Digital communication",1,0.03,13.33,100
"1672","Digital communication",34,0.26,26.57,100
"645","Digital communication",10,0.71,7.96,100
"1036","Digital communication",5,0.13,3.68,100
"791","Digital communication",0,0,53.53,100
"407","Digital communication",3,0.19,26.57,100
"1027","Digital communication",0,0,13.13,100
"81","Digital communication",0,0,20.8,100
"1688","Digital communication",21,0.23,6.07,100
"632","Digital communication",0,0,13.03,100
"1364","Digital communication",9,0.42,33.43,100
"831","Digital communication",0,0,23.38,100
"504","Digital communication",0,0,1.69,100
"1329","Digital communication",0,0,8.56,100
"524","Digital communication",0,0,0.2,100
"489","Digital communication",36,0.18,21.19,100
"1033","Digital communication",13,2.02,39.2,100
"48","Digital communication",6,0.26,9.65,100
"515","Digital communication",0,0,12.94,100
"1629","Digital communication",0,0,67.66,100
"806","Digital communication",0,0,33.63,100
"502","Digital communication",25,0.17,14.83,100
"514","Digital communication",26,0.13,17.01,100
"1618","Digital communication",10,1.82,35.32,100
"993","Digital communication",0,0,0.3,100
"50","Digital communication",54,0.71,52.24,100
"1321","Digital communication",0,0,8.86,100
"1692","Digital communication",134,0.6,20.3,100
"1056","Digital communication",3,0.07,13.63,100
"1030","Digital communication",2,0.05,15.42,100
"784","Digital communication",0,0,23.38,100
"510","Digital communication",183,0.39,35.62,100
"1282","Digital communication",52,0.39,24.28,100
"773","Digital communication",0,0,24.28,100
"677","Digital communication",1,0.45,38.81,100
"51","Digital communication",2,0.25,18.91,100
"549","Digital communication",0,0,30.65,100
"1673","Digital communication",21,0.33,22.49,100
"646","Digital communication",0,0,0,100
"1037","Digital communication",38,5.48,11.34,100
"792","Digital communication",7,1.72,43.88,100
"408","Digital communication",0,0,15.52,100
"1028","Digital communication",6,0.12,11.44,100
"811","Digital communication",1,2,49.45,100
"1689","Digital communication",21,0.23,13.63,100
"633","Digital communication",0,0,7.46,100
"1365","Digital communication",15,0.4,9.35,100
"832","Digital communication",0,0,20.1,100
"505","Digital communication",1,13.98,0,100
"133","Digital communication",0,0,2.59,100
"527","Digital communication",0,0,19.2,100
"49","Digital communication",3,1.13,25.47,100
"1034","Digital communication",6,0.76,17.81,100
"467","Digital communication",0,0,5.97,100
"516","Digital communication",21,0.4,31.04,100
"163","Digital communication",8,0.31,14.03,100
"808","Digital communication",192,1.17,51.74,100
"466","Digital communication",0,0,8.86,100
"1686","Digital communication",13,0.43,16.82,100
"1619","Digital communication",0,0,20.9,100
"994","Digital communication",0,0,18.11,100
"1351","Digital communication",1,0.19,48.36,100
"1327","Digital communication",0,0,1.89,100
"451","Digital communication",1,0.24,19,100
"1057","Digital communication",9,0.32,14.33,100
"1031","Digital communication",11,0.38,3.88,100
"785","Digital communication",2,0.93,30.45,100
"1334","Digital communication",0,0,1.89,100
"1283","Digital communication",1,0.3,26.97,100
"774","Digital communication",0,0,44.18,100
"678","Digital communication",1,0.58,13.13,100
"836","Digital communication",0,0,0.1,100
"55","Digital communication",0,0,32.14,100
"1674","Digital communication",80,0.56,16.82,100
"647","Digital communication",0,0,6.47,100
"1038","Digital communication",4,0.49,18.61,100
"794","Digital communication",0,0,14.33,100
"409","Digital communication",20,0.14,12.74,100
"1029","Digital communication",13,0.11,5.27,100
"812","Digital communication",1,2,9.65,100
"169","Digital communication",542,3.33,31.94,100
"634","Digital communication",0,0,15.72,100
"1366","Digital communication",0,0,6.37,100
"833","Digital communication",0,0,25.47,100
"506","Digital communication",1,0.74,30.05,100
"1330","Digital communication",0,0,2.29,100
"529","Digital communication",0,0,5.27,100
"491","Digital communication",0,0,9.25,100
"1356","Digital communication",10,0.64,38.21,100
"468","Digital communication",0,0,7.86,100
"517","Digital communication",136,0.94,41.09,100
"1338","Digital communication",0,0,28.86,100
"779","Digital communication",0,0,0,100
"1355","Digital communication",6,1.75,4.28,100
"43","Digital communication",1,0.17,38.31,100
"162","Digital communication",18,0.27,20.2,100
"799","Digital communication",10,1,44.28,100
"1354","Digital communication",0,0,1.69,100
"429","Digital communication",0,0,13.43,100
"453","Digital communication",0,0,12.54,100
"1058","Digital communication",3,0.21,17.91,100
"777","Digital communication",1,0.82,40.1,100
"1685","Digital communication",118,0.65,25.97,100
"1335","Digital communication",3,0.26,15.22,100
"1284","Digital communication",0,0,3.78,100
"775","Digital communication",1,3.5,20.8,100
"1684","Digital communication",8,0.24,8.96,100
"426","Digital communication",0,0,0.6,100
"436","Digital communication",0,0,1.59,100
"1675","Digital communication",54,0.22,23.88,100
"1065","Digital communication",0,0,2.79,100
"424","Digital communication",0,0,10.85,100
"1333","Digital communication",0,0,4.18,100
"41","Digital communication",10,0.39,10.85,100
"1348","Digital communication",211,1.13,40.8,100
"835","Digital communication",109,0.9,44.28,100
"1332","Digital communication",1,2.8,25.07,100
"449","Digital communication",3437,1.24,30.85,100
"1367","Digital communication",93,0.44,22.09,100
"834","Digital communication",0,0,31.54,100
"1331","Digital communication",4,0.14,3.48,100
"432","Digital communication",0,0,19,100
"53","Digital communication",0,0,29.75,100
"495","Digital communication",0,0,0,100
"1357","Digital communication",64,1.51,46.77,100
"47","Digital communication",1,0.15,33.83,100
"518","Digital communication",2,0.21,42.39,100
"134","Digital communication",7,0.15,16.02,100
"78","Digital communication",13,0.31,15.92,100
"1314","Digital communication",0,0,21.09,100
"430","Digital communication",0,0,7.76,100
"1620","Digital communication",11,0.44,8.36,100
"8","Digital communication",0,0,1.19,100
"1378","Digital communication",64,0.21,14.43,100
"1312","Digital communication",0,0,7.86,100
"455","Digital communication",1,0.38,26.67,100
"1059","Digital communication",1,0.06,7.56,100
"778","Digital communication",3,0.55,24.98,100
"1310","Digital communication",1,0.36,27.66,100
"1336","Digital communication",0,0,3.98,100
"1286","Digital communication",0,0,7.66,100
"1677","Digital communication",1,0.09,11.24,100
"1067","Digital communication",1682,0.26,35.02,100
"428","Digital communication",423,0.65,17.61,100
"437","Digital communication",0,0,32.84,100
"1676","Digital communication",2,0.15,22.69,100
"1066","Digital communication",0,0,7.36,100
"1303","Digital communication",0,0,28.66,100
"1318","Digital communication",0,0,0.5,100
"410","Digital communication",0,0,13.13,100
"1349","Digital communication",0,0,11.04,100
"13","Digital communication",0,0,1.59,100
"475","Digital communication",0,0,2.59,100
"45","Digital communication",0,0,43.68,100
"1368","Digital communication",2,0.14,15.92,100
"497","Digital communication",0,0,43.98,100
"1359","Digital communication",1,0.25,19,100
"433","Digital communication",0,0,11.34,100
"530","Digital communication",1,0.27,22.09,100
"496","Digital communication",0,0,13.43,100
"1358","Digital communication",3,0.33,30.85,100
"782","Digital communication",0,0,40.5,100
"519","Digital communication",0,0,26.47,100
"1343","Digital communication",0,0,7.36,100
"780","Digital communication",184,1.85,44.48,100
"1315","Digital communication",0,0,0,100
"431","Digital communication",1,0.08,21.89,100
"1622","Digital communication",1,0.34,48.76,100
"80","Digital communication",0,0,0,100
"1379","Digital communication",306,0.15,9.75,100
"474","Digital communication",0,0,3.28,100
"456","Digital communication",6,0.07,11.34,100
"1060","Digital communication",1,0.5,11.24,100
"1679","Digital communication",7,0.37,19.4,100
"416","Digital communication",0,0,8.26,100
"44","Digital communication",1,0.09,28.66,100
"1288","Digital communication",0,0,33.43,100
"1678","Digital communication",344,0.63,18.81,100
"1377","Digital communication",72,0.22,14.23,100
"138","Digital communication",41,0.46,18.31,100
"438","Digital communication",1,0.07,8.06,100
"412","Digital communication",20,0.12,20.4,100
"131","Digital communication",4,0.79,80.4,100
"168","Digital communication",1,0.12,24.28,100
"132","Digital communication",0,0,15.92,100
"411","Digital communication",0,0,13.33,100
"135","Digital communication",1,0.32,8.16,100
"1374","Digital communication",80,0.17,17.91,100
"1382","Digital communication",8,0.11,10.05,100
"450","Digital communication",0,0,1,100
"137","Digital communication",0,0,11.14,100
"801","Digital communication",139,1.12,51.64,100
"1062","Digital communication",0,0,0.8,100
"435","Digital communication",2,0.06,11.74,100
"462","Digital communication",0,0,15.22,100
"1298","Digital communication",0,0,7.46,100
"1376","Digital communication",31,0.1,16.82,100
"1064","Digital communication",0,0,1.49,100
"440","Digital communication",0,0,1.19,100
"1347","Digital communication",2,5.59,21.49,100
"461","Digital communication",16887,2.98,78.41,100
"472","Digital communication",0,0,40,100
"1681","Digital communication",1,0.07,9.05,100
"1624","Digital communication",0,0,1.39,100
"413","Digital communication",10,0.03,11.14,100
"448","Digital communication",0,0,2.19,100
"1680","Digital communication",438,1.11,51.34,100
"46","Digital communication",32,0.43,28.16,100
"1061","Digital communication",534,0.29,29.75,100
"1291","Digital communication",5,2.33,55.22,100
"417","Digital communication",0,0,9.15,100
"1682","Digital communication",79,0.36,11.14,100
"129","Digital communication",37,0.93,43.38,100
"463","Digital communication",5,0.12,16.72,100
"465","Digital communication",5,0.09,11.04,100
"1063","Digital communication",27,0.14,19.3,100
"421","Digital communication",0,0,12.24,100
"447","Digital communication",0,0,20.4,100
"460","Digital communication",21,0.25,12.34,100
"1293","Digital communication",2,1.55,22.49,100
"1683","Digital communication",3,0.14,9.15,100
"422","Digital communication",0,0,7.76,100
"1295","Digital communication",2,0.8,58.51,100
"42","Digital communication",16,0.33,21.89,100
"712","Electrical machinery, apparatus, energy",6,0.22,18.53,13.9
"30","Electrical machinery, apparatus, energy",0,0,5.24,13.9
"743","Electrical machinery, apparatus, energy",469,1.03,51.33,13.9
"740","Electrical machinery, apparatus, energy",521,2.01,51.94,13.9
"710","Electrical machinery, apparatus, energy",117,0.87,50.72,13.9
"742","Electrical machinery, apparatus, energy",43,0.99,68.41,13.9
"74","Electrical machinery, apparatus, energy",39,0.4,27.49,13.9
"71","Electrical machinery, apparatus, energy",4,0.61,49.96,13.9
"741","Electrical machinery, apparatus, energy",188,0.75,31.81,13.9
"299","Electrical machinery, apparatus, energy",0,0,1.97,13.9
"703","Electrical machinery, apparatus, energy",40,0.31,23.84,13.9
"738","Electrical machinery, apparatus, energy",189,0.82,57.4,13.9
"290","Electrical machinery, apparatus, energy",11,0.54,30.68,13.9
"711","Electrical machinery, apparatus, energy",32,0.69,25.89,13.9
"1032","Electrical machinery, apparatus, energy",0,0,47.91,13.9
"737","Electrical machinery, apparatus, energy",392,0.83,38.12,13.9
"29","Electrical machinery, apparatus, energy",22,0.96,58.39,13.9
"713","Electrical machinery, apparatus, energy",23,0.72,46.92,13.9
"302","Electrical machinery, apparatus, energy",237,1.28,43.58,13.9
"736","Electrical machinery, apparatus, energy",77,0.72,60.44,13.9
"739","Electrical machinery, apparatus, energy",142,0.71,35.16,13.9
"1008","Electrical machinery, apparatus, energy",0,0,4.94,13.9
"300","Electrical machinery, apparatus, energy",2,0.93,27.41,13.9
"744","Electrical machinery, apparatus, energy",91,0.73,35.91,13.9
"264","Electrical machinery, apparatus, energy",496,1.94,45.33,13.9
"287","Electrical machinery, apparatus, energy",15,1.08,40.47,13.9
"271","Electrical machinery, apparatus, energy",44,1.03,60.14,13.9
"103","Electrical machinery, apparatus, energy",5,0.78,33.86,13.9
"305","Electrical machinery, apparatus, energy",1,1.18,34.55,13.9
"285","Electrical machinery, apparatus, energy",11,1.23,44.57,13.9
"729","Electrical machinery, apparatus, energy",67,1.05,65.91,13.9
"1023","Electrical machinery, apparatus, energy",61,0.36,25.44,13.9
"861","Electrical machinery, apparatus, energy",25,1.46,41.84,13.9
"284","Electrical machinery, apparatus, energy",0,0,41.31,13.9
"728","Electrical machinery, apparatus, energy",371,2.69,32.12,13.9
"293","Electrical machinery, apparatus, energy",6,2.42,48.44,13.9
"860","Electrical machinery, apparatus, energy",0,0,24.6,13.9
"1033","Electrical machinery, apparatus, energy",3,0.59,30.3,13.9
"269","Electrical machinery, apparatus, energy",0,0,26.73,13.9
"908","Electrical machinery, apparatus, energy",0,0,7.29,13.9
"714","Electrical machinery, apparatus, energy",12,0.32,28.55,13.9
"1024","Electrical machinery, apparatus, energy",27,0.3,13.06,13.9
"705","Electrical machinery, apparatus, energy",7,1.35,29.01,13.9
"270","Electrical machinery, apparatus, energy",2,1.42,43.36,13.9
"102","Electrical machinery, apparatus, energy",0,0,3.95,13.9
"858","Electrical machinery, apparatus, energy",1,5.9,5.32,13.9
"704","Electrical machinery, apparatus, energy",3,0.2,39.71,13.9
"288","Electrical machinery, apparatus, energy",10,0.57,46.39,13.9
"909","Electrical machinery, apparatus, energy",0,0,0.08,13.9
"298","Electrical machinery, apparatus, energy",307,0.42,15.26,13.9
"1030","Electrical machinery, apparatus, energy",37,1.23,39.79,13.9
"355","Electrical machinery, apparatus, energy",17,0.57,42.98,13.9
"727","Electrical machinery, apparatus, energy",476,1.12,41.38,13.9
"73","Electrical machinery, apparatus, energy",0,0,0.23,13.9
"1021","Electrical machinery, apparatus, energy",63,0.56,15.11,13.9
"350","Electrical machinery, apparatus, energy",7,1.88,34.09,13.9
"268","Electrical machinery, apparatus, energy",2,1.69,45.41,13.9
"101","Electrical machinery, apparatus, energy",2,2.95,33.41,13.9
"28","Electrical machinery, apparatus, energy",0,0,1.9,13.9
"745","Electrical machinery, apparatus, energy",1216,1.19,51.25,13.9
"267","Electrical machinery, apparatus, energy",0,0,3.26,13.9
"1003","Electrical machinery, apparatus, energy",0,0,9.42,13.9
"278","Electrical machinery, apparatus, energy",0,0,5.16,13.9
"715","Electrical machinery, apparatus, energy",565,0.66,53.61,13.9
"306","Electrical machinery, apparatus, energy",3,1.08,62.03,13.9
"706","Electrical machinery, apparatus, energy",29,0.66,30.22,13.9
"556","Electrical machinery, apparatus, energy",3,0.55,26.73,13.9
"1015","Electrical machinery, apparatus, energy",0,0,0.15,13.9
"862","Electrical machinery, apparatus, energy",2,1.31,50.34,13.9
"722","Electrical machinery, apparatus, energy",11,0.98,47.23,13.9
"1004","Electrical machinery, apparatus, energy",0,0,5.01,13.9
"91","Electrical machinery, apparatus, energy",0,0,23.61,13.9
"731","Electrical machinery, apparatus, energy",117,1.91,58.54,13.9
"1034","Electrical machinery, apparatus, energy",3,0.48,19.36,13.9
"27","Electrical machinery, apparatus, energy",0,0,12.38,13.9
"554","Electrical machinery, apparatus, energy",40,0.89,24.91,13.9
"730","Electrical machinery, apparatus, energy",150,1.48,44.27,13.9
"1025","Electrical machinery, apparatus, energy",220,0.41,22.32,13.9
"747","Electrical machinery, apparatus, energy",1819,2.07,54.9,13.9
"551","Electrical machinery, apparatus, energy",65,2.67,50.42,13.9
"1005","Electrical machinery, apparatus, energy",0,0,0.68,13.9
"859","Electrical machinery, apparatus, energy",0,0,29.16,13.9
"746","Electrical machinery, apparatus, energy",997,2.27,64.62,13.9
"555","Electrical machinery, apparatus, energy",1,1.61,34.4,13.9
"905","Electrical machinery, apparatus, energy",0,0,34.4,13.9
"562","Electrical machinery, apparatus, energy",0,0,21.94,13.9
"1031","Electrical machinery, apparatus, energy",14,0.62,22.17,13.9
"356","Electrical machinery, apparatus, energy",52,0.75,61.58,13.9
"904","Electrical machinery, apparatus, energy",0,0,30.68,13.9
"857","Electrical machinery, apparatus, energy",0,0,13.14,13.9
"1022","Electrical machinery, apparatus, energy",22,0.77,27.71,13.9
"589","Electrical machinery, apparatus, energy",23,3.16,50.87,13.9
"903","Electrical machinery, apparatus, energy",0,0,20.96,13.9
"297","Electrical machinery, apparatus, energy",1,0.45,16.93,13.9
"283","Electrical machinery, apparatus, energy",609,1.05,48.75,13.9
"587","Electrical machinery, apparatus, energy",6,0.73,62.41,13.9
"550","Electrical machinery, apparatus, energy",0,0,14.43,13.9
"296","Electrical machinery, apparatus, energy",1,17.71,0,13.9
"559","Electrical machinery, apparatus, energy",2,0.3,47.08,13.9
"586","Electrical machinery, apparatus, energy",17,3.42,38.34,13.9
"309","Electrical machinery, apparatus, energy",7,2.58,43.81,13.9
"707","Electrical machinery, apparatus, energy",1,0.31,43.05,13.9
"558","Electrical machinery, apparatus, energy",7,2.34,53.38,13.9
"1016","Electrical machinery, apparatus, energy",0,0,32.12,13.9
"863","Electrical machinery, apparatus, energy",11,0.44,22.4,13.9
"723","Electrical machinery, apparatus, energy",3,0.63,64.31,13.9
"100","Electrical machinery, apparatus, energy",0,0,5.92,13.9
"910","Electrical machinery, apparatus, energy",3,2.31,39.1,13.9
"732","Electrical machinery, apparatus, energy",148,1.15,61.5,13.9
"1035","Electrical machinery, apparatus, energy",34,1.44,52.24,13.9
"9","Electrical machinery, apparatus, energy",0,0,10.63,13.9
"254","Electrical machinery, apparatus, energy",1,0.14,43.43,13.9
"593","Electrical machinery, apparatus, energy",100,1.5,61.73,13.9
"1026","Electrical machinery, apparatus, energy",3,0.27,54.37,13.9
"748","Electrical machinery, apparatus, energy",110,0.99,40.62,13.9
"995","Electrical machinery, apparatus, energy",0,0,11.47,13.9
"887","Electrical machinery, apparatus, energy",0,0,1.97,13.9
"919","Electrical machinery, apparatus, energy",0,0,6.61,13.9
"616","Electrical machinery, apparatus, energy",24,0.91,29.99,13.9
"982","Electrical machinery, apparatus, energy",1,2.95,38.95,13.9
"877","Electrical machinery, apparatus, energy",0,0,16.32,13.9
"563","Electrical machinery, apparatus, energy",4,1.03,37.43,13.9
"604","Electrical machinery, apparatus, energy",30,2.95,43.66,13.9
"358","Electrical machinery, apparatus, energy",0,0,8.5,13.9
"251","Electrical machinery, apparatus, energy",1014,0.84,27.94,13.9
"719","Electrical machinery, apparatus, energy",50,1.2,41.61,13.9
"897","Electrical machinery, apparatus, energy",2,1.07,54.59,13.9
"590","Electrical machinery, apparatus, energy",0,0,8.66,13.9
"826","Electrical machinery, apparatus, energy",2,1.97,14.05,13.9
"561","Electrical machinery, apparatus, energy",0,0,43.13,13.9
"915","Electrical machinery, apparatus, energy",0,0,32.12,13.9
"612","Electrical machinery, apparatus, energy",27,1.56,38.42,13.9
"814","Electrical machinery, apparatus, energy",0,0,21.56,13.9
"709","Electrical machinery, apparatus, energy",15,0.42,22.78,13.9
"846","Electrical machinery, apparatus, energy",2,0.64,55.58,13.9
"600","Electrical machinery, apparatus, energy",490,2.3,37.28,13.9
"311","Electrical machinery, apparatus, energy",1,0.17,28.25,13.9
"708","Electrical machinery, apparatus, energy",160,1.67,60.59,13.9
"716","Electrical machinery, apparatus, energy",11,0.17,16.78,13.9
"893","Electrical machinery, apparatus, energy",2,1.31,33.11,13.9
"864","Electrical machinery, apparatus, energy",3,2.04,23.16,13.9
"725","Electrical machinery, apparatus, energy",0,0,0.08,13.9
"1000","Electrical machinery, apparatus, energy",9,0.49,40.55,13.9
"911","Electrical machinery, apparatus, energy",0,0,7.67,13.9
"733","Electrical machinery, apparatus, energy",181,1.4,69.78,13.9
"1036","Electrical machinery, apparatus, energy",16,0.53,35.08,13.9
"90","Electrical machinery, apparatus, energy",1,0.93,35.08,13.9
"258","Electrical machinery, apparatus, energy",2,17.71,0,13.9
"594","Electrical machinery, apparatus, energy",14,1.13,38.27,13.9
"1027","Electrical machinery, apparatus, energy",0,0,24.37,13.9
"749","Electrical machinery, apparatus, energy",1,2.21,33.11,13.9
"996","Electrical machinery, apparatus, energy",2,1.97,13.29,13.9
"888","Electrical machinery, apparatus, energy",7,0.97,16.55,13.9
"92","Electrical machinery, apparatus, energy",0,0,21.56,13.9
"619","Electrical machinery, apparatus, energy",22,0.31,31.28,13.9
"983","Electrical machinery, apparatus, energy",0,0,21.94,13.9
"879","Electrical machinery, apparatus, energy",2,0.96,44.19,13.9
"564","Electrical machinery, apparatus, energy",0,0,9.72,13.9
"605","Electrical machinery, apparatus, energy",16,0.8,47.3,13.9
"359","Electrical machinery, apparatus, energy",0,0,3.26,13.9
"252","Electrical machinery, apparatus, energy",0,0,28.17,13.9
"720","Electrical machinery, apparatus, energy",1,0.13,37.74,13.9
"898","Electrical machinery, apparatus, energy",2,1.04,66.21,13.9
"591","Electrical machinery, apparatus, energy",0,0,9.49,13.9
"827","Electrical machinery, apparatus, energy",0,0,49.05,13.9
"993","Electrical machinery, apparatus, energy",0,0,2.58,13.9
"917","Electrical machinery, apparatus, energy",0,0,2.81,13.9
"614","Electrical machinery, apparatus, energy",155,0.81,25.74,13.9
"815","Electrical machinery, apparatus, energy",2,1.18,31.97,13.9
"991","Electrical machinery, apparatus, energy",0,0,13.29,13.9
"847","Electrical machinery, apparatus, energy",0,0,1.9,13.9
"601","Electrical machinery, apparatus, energy",3,1.27,61.35,13.9
"312","Electrical machinery, apparatus, energy",7,2.3,27.03,13.9
"56","Electrical machinery, apparatus, energy",0,0,8.58,13.9
"717","Electrical machinery, apparatus, energy",3,0.48,34.55,13.9
"895","Electrical machinery, apparatus, energy",3,8.86,8.43,13.9
"866","Electrical machinery, apparatus, energy",0,0,16.93,13.9
"726","Electrical machinery, apparatus, energy",3,1.21,49.2,13.9
"1001","Electrical machinery, apparatus, energy",0,0,15.41,13.9
"913","Electrical machinery, apparatus, energy",0,0,2.05,13.9
"734","Electrical machinery, apparatus, energy",209,0.72,42.07,13.9
"1037","Electrical machinery, apparatus, energy",0,0,40.02,13.9
"901","Electrical machinery, apparatus, energy",0,0,25.97,13.9
"260","Electrical machinery, apparatus, energy",2,1.22,25.28,13.9
"596","Electrical machinery, apparatus, energy",0,0,30.37,13.9
"1028","Electrical machinery, apparatus, energy",33,0.82,42.9,13.9
"75","Electrical machinery, apparatus, energy",43,0.53,36.6,13.9
"998","Electrical machinery, apparatus, energy",2,1.36,53.83,13.9
"89","Electrical machinery, apparatus, energy",0,0,3.8,13.9
"920","Electrical machinery, apparatus, energy",0,0,38.88,13.9
"620","Electrical machinery, apparatus, energy",33,1.06,44.34,13.9
"984","Electrical machinery, apparatus, energy",0,0,57.1,13.9
"88","Electrical machinery, apparatus, energy",1,3.54,21.72,13.9
"565","Electrical machinery, apparatus, energy",7,2.7,49.89,13.9
"606","Electrical machinery, apparatus, energy",1,0.48,31.51,13.9
"362","Electrical machinery, apparatus, energy",17,0.78,50.19,13.9
"253","Electrical machinery, apparatus, energy",22,4.38,46.77,13.9
"721","Electrical machinery, apparatus, energy",71,0.85,45.71,13.9
"899","Electrical machinery, apparatus, energy",121,0.98,49.05,13.9
"592","Electrical machinery, apparatus, energy",29,0.9,53.83,13.9
"829","Electrical machinery, apparatus, energy",0,0,22.93,13.9
"994","Electrical machinery, apparatus, energy",0,0,16.32,13.9
"918","Electrical machinery, apparatus, energy",0,0,13.67,13.9
"615","Electrical machinery, apparatus, energy",6,0.42,39.03,13.9
"816","Electrical machinery, apparatus, energy",0,0,28.78,13.9
"487","Electrical machinery, apparatus, energy",32,0.81,42.67,13.9
"848","Electrical machinery, apparatus, energy",1,0.45,20.35,13.9
"602","Electrical machinery, apparatus, energy",0,0,27.71,13.9
"313","Electrical machinery, apparatus, energy",0,0,37.66,13.9
"486","Electrical machinery, apparatus, energy",87,1.03,50.87,13.9
"718","Electrical machinery, apparatus, energy",2,0.3,41.15,13.9
"896","Electrical machinery, apparatus, energy",0,0,17.46,13.9
"867","Electrical machinery, apparatus, energy",1,1.04,43.58,13.9
"485","Electrical machinery, apparatus, energy",9,0.68,44.57,13.9
"1002","Electrical machinery, apparatus, energy",0,0,4.94,13.9
"914","Electrical machinery, apparatus, energy",30,1.3,35.76,13.9
"735","Electrical machinery, apparatus, energy",142,0.83,61.12,13.9
"1038","Electrical machinery, apparatus, energy",4,0.63,28.09,13.9
"902","Electrical machinery, apparatus, energy",0,0,1.82,13.9
"263","Electrical machinery, apparatus, energy",0,0,10.55,13.9
"597","Electrical machinery, apparatus, energy",2,0.71,62.64,13.9
"1029","Electrical machinery, apparatus, energy",107,1.18,16.55,13.9
"753","Electrical machinery, apparatus, energy",7,0.22,30.22,13.9
"999","Electrical machinery, apparatus, energy",1,0.77,45.71,13.9
"890","Electrical machinery, apparatus, energy",0,0,18.45,13.9
"921","Electrical machinery, apparatus, energy",0,0,23.39,13.9
"621","Electrical machinery, apparatus, energy",3,0.95,30.6,13.9
"987","Electrical machinery, apparatus, energy",0,0,43.28,13.9
"880","Electrical machinery, apparatus, energy",0,0,14.5,13.9
"571","Electrical machinery, apparatus, energy",3,2.31,28.55,13.9
"609","Electrical machinery, apparatus, energy",1,0.68,25.13,13.9
"363","Electrical machinery, apparatus, energy",8,0.72,47.53,13.9
"809","Electrical machinery, apparatus, energy",0,0,1.97,13.9
"1760","Electrical machinery, apparatus, energy",16,0.5,25.13,13.9
"153","Electrical machinery, apparatus, energy",0,0,24.83,13.9
"1630","Electrical machinery, apparatus, energy",0,0,11.09,13.9
"830","Electrical machinery, apparatus, energy",0,0,7.37,13.9
"503","Electrical machinery, apparatus, energy",3,0.19,20.2,13.9
"1518","Electrical machinery, apparatus, energy",115,0.66,43.43,13.9
"581","Electrical machinery, apparatus, energy",5,1,54.37,13.9
"818","Electrical machinery, apparatus, energy",2,8.86,9.49,13.9
"488","Electrical machinery, apparatus, energy",0,0,4.4,13.9
"849","Electrical machinery, apparatus, energy",1,5.9,4.25,13.9
"1767","Electrical machinery, apparatus, energy",300,0.95,43.58,13.9
"314","Electrical machinery, apparatus, energy",2,11.81,18.6,13.9
"868","Electrical machinery, apparatus, energy",3,3.54,31.97,13.9
"1758","Electrical machinery, apparatus, energy",665,0.5,21.26,13.9
"1407","Electrical machinery, apparatus, energy",0,0,21.11,13.9
"68","Electrical machinery, apparatus, energy",2,0.47,32.42,13.9
"766","Electrical machinery, apparatus, energy",0,0,1.9,13.9
"5","Electrical machinery, apparatus, energy",1,5.9,5.24,13.9
"884","Electrical machinery, apparatus, energy",0,0,2.96,13.9
"578","Electrical machinery, apparatus, energy",0,0,16.93,13.9
"1039","Electrical machinery, apparatus, energy",9,0.83,60.21,13.9
"1675","Electrical machinery, apparatus, energy",161,0.84,53.15,13.9
"1537","Electrical machinery, apparatus, energy",55,0.3,35.84,13.9
"1764","Electrical machinery, apparatus, energy",21,1.01,41.31,13.9
"931","Electrical machinery, apparatus, energy",1,1.18,34.09,13.9
"754","Electrical machinery, apparatus, energy",3,0.51,36.83,13.9
"834","Electrical machinery, apparatus, energy",1,4.43,11.54,13.9
"507","Electrical machinery, apparatus, energy",37,1.67,31.13,13.9
"922","Electrical machinery, apparatus, energy",1,0.52,40.39,13.9
"622","Electrical machinery, apparatus, energy",14,0.69,26.2,13.9
"989","Electrical machinery, apparatus, energy",0,0,25.44,13.9
"881","Electrical machinery, apparatus, energy",1,5.9,2.96,13.9
"573","Electrical machinery, apparatus, energy",0,0,33.86,13.9
"61","Electrical machinery, apparatus, energy",2,1.14,50.8,13.9
"365","Electrical machinery, apparatus, energy",1,8.86,18.6,13.9
"81","Electrical machinery, apparatus, energy",0,0,1.97,13.9
"1761","Electrical machinery, apparatus, energy",51,0.64,24.75,13.9
"1530","Electrical machinery, apparatus, energy",0,0,6.99,13.9
"1631","Electrical machinery, apparatus, energy",7,0.3,41.46,13.9
"831","Electrical machinery, apparatus, energy",0,0,37.13,13.9
"504","Electrical machinery, apparatus, energy",1,0.77,20.58,13.9
"1519","Electrical machinery, apparatus, energy",16,1.17,34.62,13.9
"582","Electrical machinery, apparatus, energy",5,0.68,63.48,13.9
"820","Electrical machinery, apparatus, energy",0,0,6.91,13.9
"489","Electrical machinery, apparatus, energy",165,1.03,46.24,13.9
"850","Electrical machinery, apparatus, energy",0,0,1.59,13.9
"1768","Electrical machinery, apparatus, energy",1086,0.71,29.69,13.9
"315","Electrical machinery, apparatus, energy",6,0.92,26.2,13.9
"869","Electrical machinery, apparatus, energy",0,0,2.96,13.9
"1759","Electrical machinery, apparatus, energy",13,0.28,34.32,13.9
