"country";"fua_id";"fua_name";"city";"tech";"index";"rankindex";"pat";"rankpat";"rel";"rankrel";"rca";"rankrca"
"JP";"JPD13";"Tokyo";"Tokyo";"Autonomous robots";91,9;10;378;2;58,46;9;0,65;34
"JP";"JPE15";"Niigata";"Niigata";"Autonomous robots";28,1;67;0;91;12,75;62;0;91
"JP";"JPE16";"Toyama";"Toyama";"Autonomous robots";55,71;52;1;52;18,2;48;0,23;50
"JP";"JPE17";"Ishikawa";"Kanazawa";"Autonomous robots";68,57;42;2;44;28,69;32;0,73;31
"JP";"JPF22";"Shizuoka";"Shizuoka-Hamamatsu";"Autonomous robots";90,95;13;40;11;47,95;18;1,1;15
"JP";"JPF23";"Aichi";"Nagoya";"Autonomous robots";93,81;6;73;9;63,38;2;0,98;22
"JP";"JPG27";"Osaka";"Kyoto–Osaka–Kobe";"Autonomous robots";97,62;3;230;4;61,95;4;1,24;13
"JP";"JPH33";"Okayama";"Okayama";"Autonomous robots";27,14;69;0;91;12,53;64;0;91
"JP";"JPH34";"Hiroshima";"Hiroshima";"Autonomous robots";73,81;32;4;35;52,31;16;0,41;45
"JP";"JPI37";"Kagawa";"Takamatsu";"Autonomous robots";79,05;22;5;33;42,59;24;1,21;14
"JP";"JPI38";"Ehime";"Matsuyama";"Autonomous robots";26,67;70;0;91;12,5;65;0;91
"JP";"JPI39";"Kochi";"Kochi";"Autonomous robots";23,81;76;0;91;7,42;75;0;91
"JP";"JPJ40";"Fukuoka";"Kitakyushu-Fukuoka";"Autonomous robots";93,81;6;20;14;54,49;13;2,18;3
"JP";"JPJ42";"Nagasaki";"Nagasaki";"Autonomous robots";28,57;66;0;91;13,11;61;0;91
"JP";"JPJ43";"Kumamoto";"Kumamoto";"Autonomous robots";74,29;30;3;38;40,73;25;0,76;30
"JP";"JPJ44";"Oita";"Oita";"Autonomous robots";30;63;0;91;14,35;56;0;91
"JP";"JPJ45";"Miyazaki";"Miyazaki";"Autonomous robots";29,52;64;0;91;13,53;58;0;91
"JP";"JPJ46";"Kagoshima";"Kagoshima";"Autonomous robots";30,95;61;0;91;14,53;53;0;91
"JP";"JPJ47";"Okinawa";"Naha";"Autonomous robots";27,62;68;0;91;12,55;63;0;91
"KH";"KH3";"Phnom Penh";"Phnom Penh";"Autonomous robots";9,05;107;0;91;0,41;107;0;91
"KP";"KP3";"Hamhung";"Hamhung";"Autonomous robots";10,95;103;0;91;0,55;103;0;91
"KR";"KR011";"Seoul";"Seoul";"Autonomous robots";98,57;2;530;1;53,34;14;1,97;4
"KR";"KR012";"Incheon";"Incheon";"Autonomous robots";73,33;33;8;22;25,21;39;0,44;44
"KR";"KR021";"Busan";"Busan";"Autonomous robots";91,9;10;16;18;60,95;5;1,29;11
"KR";"KR022";"Ulsan";"Ulsan";"Autonomous robots";64,29;43;2;44;31,36;30;0,4;46
"KR";"KR031";"Daegu";"Daegu";"Autonomous robots";92,86;8;19;16;55,94;11;1,82;5
"KR";"KR032";"Gyeongsangbuk-do";"Gumi";"Autonomous robots";89,52;15;18;17;43,95;20;1,38;9
"KR";"KR041";"Gwangju";"Gwangju";"Autonomous robots";78,1;24;6;29;26,02;37;0,96;23
"KR";"KR042";"Jeollabuk-do";"Jeonju";"Autonomous robots";56,19;50;1;52;19,27;45;0,18;52
"KR";"KR051";"Daejeon";"Daejon";"Autonomous robots";74,29;30;42;10;6,23;77;0,65;34
"KR";"KR052";"Chungcheongbuk-do";"Cheongju";"Autonomous robots";59,52;49;2;44;18,17;49;0,25;49
"KR";"KR053";"Chungcheongnam-do";"Cheonan";"Autonomous robots";76,67;26;8;22;23,06;42;0,83;27
"KR";"KR071";"Jeju-do";"Jeju";"Autonomous robots";31,43;60;0;91;15,7;51;0;91
"LA";"LA4";"Vientiane";"Vientiane";"Autonomous robots";4,76;116;0;91;0,11;116;0;91
"MM";"MM18";"Yangon";"Yangon";"Autonomous robots";0,95;124;0;91;0,01;124;0;91
"MM";"MM5";"Mandalay";"Mandalay";"Autonomous robots";4,29;117;0;91;0,1;117;0;91
"MN";"MN1";"Ulaanbaatar";"Ulaanbaatar";"Autonomous robots";20,95;82;0;91;4,16;82;0;91
"MO";"MO000";"Macau";"Macao";"Autonomous robots";23,33;77;0;91;6,59;76;0;91
"MY";"MY1";"Alor Setar";"Alor Star";"Autonomous robots";21,43;81;0;91;5,13;81;0;91
"MY";"MY12";"Kota Kinabalu";"Kota Kinabalu";"Autonomous robots";19,05;86;0;91;2,74;86;0;91
"MY";"MY13";"Kuala Lumpur";"Kuala Lumpur";"Autonomous robots";29,05;65;0;91;13,12;60;0;91
"MY";"MY14";"Kuala Terengganu";"Kuala Terengganu";"Autonomous robots";7,62;110;0;91;0,24;110;0;91
"MY";"MY15";"Kuantan";"Kuantan";"Autonomous robots";12,86;99;0;91;0,82;99;0;91
"MY";"MY16";"Kuching";"Kuching";"Autonomous robots";16,19;92;0;91;1,35;92;0;91
"MY";"MY24";"Seremban";"Seremban";"Autonomous robots";20,48;83;0;91;3,66;83;0;91
"MY";"MY29";"Sandakan";"Sandakan";"Autonomous robots";1,9;122;0;91;0,02;122;0;91
"MY";"MY8";"Ipoh";"Ipoh";"Autonomous robots";22,38;79;0;91;5,74;79;0;91
"MY";"MY9";"Johor Bahru";"Johor Bahru";"Autonomous robots";24,29;75;0;91;8,44;74;0;91
"PH";"PH1";"Angeles";"Angeles City";"Autonomous robots";5,71;114;0;91;0,12;114;0;91
"PH";"PH12";"Cebu";"Cebu City";"Autonomous robots";34,29;57;0;91;33,15;29;0;91
"PH";"PH15";"Davao";"Davao City";"Autonomous robots";15,71;93;0;91;1,29;93;0;91
"PH";"PH18";"General Santos";"General Santos City";"Autonomous robots";8,57;108;0;91;0,32;108;0;91
"PH";"PH2";"Bacolod";"Bacolod";"Autonomous robots";18,57;87;0;91;2,36;87;0;91
"PH";"PH21";"Iloilo";"Iloilo City";"Autonomous robots";14,76;95;0;91;1,12;95;0;91
"PH";"PH3";"Baguio";"Baguio City";"Autonomous robots";7,14;111;0;91;0,19;111;0;91
"PH";"PH32";"Manila";"Manila";"Autonomous robots";35,24;55;0;91;43,93;21;0;91
"PH";"PH46";"Tarlac";"Tarlac";"Autonomous robots";3,33;119;0;91;0,04;119;0;91
"PH";"PH5";"Batangas";"Batangas City";"Autonomous robots";16,67;91;0;91;1,56;91;0;91
"PH";"PH52";"San Fernando";"San Fernando";"Autonomous robots";6,67;112;0;91;0,13;112;0;91
"PH";"PH9";"Cagayan de Oro";"Cagayan de Oro City";"Autonomous robots";9,52;106;0;91;0,46;106;0;91
"SG";"SGZZZ";"Singapore";"Singapore";"Autonomous robots";74,76;28;15;20;19,95;43;0,57;39
"TH";"TH1";"Bangkok";"Bangkok";"Autonomous robots";62,38;47;2;44;12,3;66;1,06;18
"TH";"TH13";"Rayong";"Rayong";"Autonomous robots";19,52;85;0;91;2,9;85;0;91
"TH";"TH16";"Surat Thani";"Suphan Buri";"Autonomous robots";20;84;0;91;2,97;84;0;91
"TH";"TH17";"Ubon Ratchathani";"Ubon Ratchathani";"Autonomous robots";0;126;0;91;0;126;0;91
"TH";"TH18";"Udon Thani";"Udon Thani";"Autonomous robots";13,33;98;0;91;0,83;98;0;91
"TH";"TH2";"Chiang Mai";"Chiang Mai";"Autonomous robots";15,24;94;0;91;1,2;94;0;91
"TH";"TH3";"Chon Buri";"Chon Buri";"Autonomous robots";14,29;96;0;91;1,1;96;0;91
"TH";"TH6";"Khon Kaen";"Khon-Kaen";"Autonomous robots";17,14;90;0;91;1,69;90;0;91
"TH";"TH7";"Lampang";"Lampang";"Autonomous robots";11,43;102;0;91;0,61;102;0;91
"TH";"TH9";"Nakhon Ratchasima";"Nakhon Ratchasima";"Autonomous robots";13,81;97;0;91;0,97;97;0;91
