"id","x","y","parent","color"
"Recycling technologies",2021,0.28,"Green transition","green"
"Green transports",2017,0.15,"Green transition","green"
"Hydrogen",2020,0.14,"Green transition","green"
"Autonomous vehicles",2010,0.25,"Digital transition","blue"
"Blockchain",2010,0.25,"Digital transition","blue"
"Green transports",2019,0.12,"Green transition","green"
"Hydrogen",2014,0.19,"Green transition","green"
"Water related adaptation technologies",2019,0.12,"Green transition","green"
"Blockchain",2011,0.23,"Digital transition","blue"
"Green buildings",2021,0.23,"Green transition","green"
"Green buildings",2011,0.23,"Green transition","green"
"Hydrogen",2012,0.22,"Green transition","green"
"Smart grids",2017,0.13,"Digital transition","blue"
"Smart grids",2015,0.18,"Digital transition","blue"
"Solar energy",2010,0.24,"Green transition","green"
"Autonomous vehicles",2011,0.21,"Digital transition","blue"
"Green transports",2011,0.21,"Green transition","green"
"Green transports",2016,0.14,"Green transition","green"
"Hydrogen",2016,0.14,"Green transition","green"
"Water related adaptation technologies",2017,0.12,"Green transition","green"
"Greenhouse gas capture",2012,0.18,"Green transition","green"
"Hydrogen",2013,0.18,"Green transition","green"
"Biofuels",2016,0.12,"Green transition","green"
"Green transports",2010,0.18,"Green transition","green"
"Green transports",2020,0.09,"Green transition","green"
"Hydrogen",2010,0.18,"Green transition","green"
"Water related adaptation technologies",2014,0.14,"Green transition","green"
"Green transports",2013,0.14,"Green transition","green"
"Greenhouse gas capture",2020,0.08,"Green transition","green"
"Other energy storage",2016,0.11,"Green transition","green"
"Smart grids",2018,0.08,"Digital transition","blue"
"Smart grids",2012,0.15,"Digital transition","blue"
"Solar energy",2021,0.16,"Green transition","green"
"Water related adaptation technologies",2015,0.12,"Green transition","green"
"Water related adaptation technologies",2020,0.08,"Green transition","green"
"Biofuels",2020,0.08,"Green transition","green"
"Biofuels",2021,0.14,"Green transition","green"
"Green transports",2014,0.11,"Green transition","green"
"Greenhouse gas capture",2016,0.1,"Green transition","green"
"Hydrogen",2021,0.14,"Green transition","green"
"Smart grids",2014,0.11,"Digital transition","blue"
