"","to","from","domain","count","world_domain_total","from_domain_total","export_share","import_share","deviation","importer_total","import_share_2","parent","buyer_total","year","share","count_M","rca","color","id","value","period"
"64","Poland","Ukraine","Aerospace",3947600,117868099471,34593620,"0.0293 %","0.3498 %",0.3205,3947600,0.3498,"Europe",1128450791,2024,11.4114,"$3.95M",11.92,"#006400","Poland",3947600,2024
"65","Portugal","Ukraine","Aerospace",10295,117868099471,34593620,"0.0293 %","0.003 %",-0.0263,10295,0.003,"Europe",339842552,2024,0.0298,"$10.3k",0.1,"#A24343","Portugal",10295,2024
"66","Romania","Ukraine","Aerospace",752723,117868099471,34593620,"0.0293 %","0.2364 %",0.207,752723,0.2364,"Europe",318444806,2024,2.1759,"$752.72k",8.05,"#0A690A","Romania",752723,2024
"67","Saudi Arabia","Ukraine","Aerospace",1618,117868099471,34593620,"0.0293 %","1e-04 %",-0.0292,1618,1e-04,"Asia",1084885369,2024,0.0047,"$1.62k",0.01,"#921515","Saudi Arabia",1618,2024
"68","Serbia","Ukraine","Aerospace",1239,117868099471,34593620,"0.0293 %","0.0011 %",-0.0282,1239,0.0011,"Europe",111996433,2024,0.0036,"$1.24k",0.04,"#992A2A","Serbia",1239,2024
"69","Singapore","Ukraine","Aerospace",23971,117868099471,34593620,"0.0293 %","5e-04 %",-0.0288,23971,5e-04,"Asia",4711903457,2024,0.0693,"$23.97k",0.02,"#951E1E","Singapore",23971,2024
"70","Slovakia","Ukraine","Aerospace",158828,117868099471,34593620,"0.0293 %","0.0435 %",0.0142,158828,0.0435,"Europe",364956287,2024,0.4591,"$158.83k",1.48,"#7CA57C","Slovakia",158828,2024
"71","Slovenia","Ukraine","Aerospace",1850,117868099471,34593620,"0.0293 %","0.002 %",-0.0274,1850,0.002,"Europe",92903447,2024,0.0053,"$1.85k",0.07,"#9E3838","Slovenia",1850,2024
"72","South Africa","Ukraine","Aerospace",12219,117868099471,34593620,"0.0293 %","0.0041 %",-0.0253,12219,0.0041,"Africa",300730127,2024,0.0353,"$12.22k",0.14,"#A64F4F","South Africa",12219,2024
"73","South Korea","Ukraine","Aerospace",111323,117868099471,34593620,"0.0293 %","0.0066 %",-0.0227,111323,0.0066,"Asia",1685498901,2024,0.3218,"$111.32k",0.23,"#AE6565","South Korea",111323,2024
"74","South Sudan","Ukraine","Aerospace",22538,117868099471,34593620,"0.0293 %","4.6683 %",4.639,22538,4.6683,"Africa",482783,2024,0.0652,"$22.54k",159.06,"darkgreen","South Sudan",22538,2024
