"","to","from","domain","count","world_domain_total","from_domain_total","export_share","import_share","deviation","importer_total","import_share_2","parent","buyer_total","year","share","count_M","rca","color","id","value","period"
"1290","North Macedonia","Ukraine","Robotics",77354,133713209292,44513229,"0.0333 %","0.0647 %",0.0314,77354,0.0647,"Europe",119534352,2024,0.1738,"$77.35k",1.94,"#629762","North Macedonia",77354,2024
"1291","Norway","Ukraine","Robotics",23896,133713209292,44513229,"0.0333 %","0.0024 %",-0.0309,23896,0.0024,"Europe",982480644,2024,0.0537,"$23.9k",0.07,"#9E3838","Norway",23896,2024
"1292","Oman","Ukraine","Robotics",964,133713209292,44513229,"0.0333 %","4e-04 %",-0.0329,964,4e-04,"Asia",246953579,2024,0.0022,"$0.96k",0.01,"#921515","Oman",964,2024
"1293","Pakistan","Ukraine","Robotics",5910,133713209292,44513229,"0.0333 %","0.0043 %",-0.029,5910,0.0043,"Asia",138740141,2024,0.0133,"$5.91k",0.13,"#A54C4C","Pakistan",5910,2024
"1294","Peru","Ukraine","Robotics",65034,133713209292,44513229,"0.0333 %","0.0432 %",0.0099,65034,0.0432,"South America",150648522,2024,0.1461,"$65.03k",1.3,"#8CAE8C","Peru",65034,2024
"1295","Philippines","Ukraine","Robotics",1021,133713209292,44513229,"0.0333 %","2e-04 %",-0.0331,1021,2e-04,"Asia",543292605,2024,0.0023,"$1.02k",0.01,"#921515","Philippines",1021,2024
"1296","Poland","Ukraine","Robotics",8243177,133713209292,44513229,"0.0333 %","0.3037 %",0.2704,8243177,0.3037,"Europe",2714313378,2024,18.5185,"$8.24M",9.12,"#046604","Poland",8243177,2024
"1297","Portugal","Ukraine","Robotics",158261,133713209292,44513229,"0.0333 %","0.0282 %",-0.0051,158261,0.0282,"Europe",560946909,2024,0.3555,"$158.26k",0.85,"#CDC3C3","Portugal",158261,2024
"1298","Qatar","Ukraine","Robotics",40933,133713209292,44513229,"0.0333 %","0.0155 %",-0.0178,40933,0.0155,"Asia",264825377,2024,0.092,"$40.93k",0.46,"#BC8F8F","Qatar",40933,2024
"1299","Romania","Ukraine","Robotics",4699269,133713209292,44513229,"0.0333 %","0.3906 %",0.3573,4699269,0.3906,"Europe",1203220415,2024,10.557,"$4.7M",11.73,"#006400","Romania",4699269,2024
"1300","Saudi Arabia","Ukraine","Robotics",626899,133713209292,44513229,"0.0333 %","0.0428 %",0.0095,626899,0.0428,"Asia",1464716344,2024,1.4083,"$626.9k",1.29,"#8DAE8D","Saudi Arabia",626899,2024
"1301","Senegal","Ukraine","Robotics",1168,133713209292,44513229,"0.0333 %","0.0022 %",-0.0311,1168,0.0022,"Africa",53533468,2024,0.0026,"$1.17k",0.07,"#9E3838","Senegal",1168,2024
"1302","Serbia","Ukraine","Robotics",135077,133713209292,44513229,"0.0333 %","0.042 %",0.0087,135077,0.042,"Europe",321488742,2024,0.3035,"$135.08k",1.26,"#90B090","Serbia",135077,2024
"1303","Singapore","Ukraine","Robotics",127802,133713209292,44513229,"0.0333 %","0.005 %",-0.0283,127802,0.005,"Asia",2558019455,2024,0.2871,"$127.8k",0.15,"#A75252","Singapore",127802,2024
"1304","Slovakia","Ukraine","Robotics",4412508,133713209292,44513229,"0.0333 %","0.4546 %",0.4213,4412508,0.4546,"Europe",970618826,2024,9.9128,"$4.41M",13.66,"#006400","Slovakia",4412508,2024
"1305","Slovenia","Ukraine","Robotics",64633,133713209292,44513229,"0.0333 %","0.0247 %",-0.0086,64633,0.0247,"Europe",262055068,2024,0.1452,"$64.63k",0.74,"#C9B6B6","Slovenia",64633,2024
"1306","South Africa","Ukraine","Robotics",1234,133713209292,44513229,"0.0333 %","3e-04 %",-0.033,1234,3e-04,"Africa",460799720,2024,0.0028,"$1.23k",0.01,"#921515","South Africa",1234,2024
"1307","South Korea","Ukraine","Robotics",647448,133713209292,44513229,"0.0333 %","0.0195 %",-0.0137,647448,0.0195,"Asia",3312709795,2024,1.4545,"$647.45k",0.59,"#C2A2A2","South Korea",647448,2024
"1308","South Sudan","Ukraine","Robotics",789,133713209292,44513229,"0.0333 %","0.0426 %",0.0093,789,0.0426,"Africa",1851023,2024,0.0018,"$0.79k",1.28,"#8EAF8E","South Sudan",789,2024
"1309","Spain","Ukraine","Robotics",287014,133713209292,44513229,"0.0333 %","0.0124 %",-0.0208,287014,0.0124,"Europe",2306588708,2024,0.6448,"$287.01k",0.37,"#B78080","Spain",287014,2024
"1310","Sri Lanka","Ukraine","Robotics",1,133713209292,44513229,"0.0333 %","0 %",-0.0333,1,2.1614e-06,"Asia",46266664,2024,2.2465e-06,"$0k",0,"darkred","Sri Lanka",1,2024
"1311","Sweden","Ukraine","Robotics",204698,133713209292,44513229,"0.0333 %","0.0147 %",-0.0186,204698,0.0147,"Europe",1396907770,2024,0.4599,"$204.7k",0.44,"#BB8C8C","Sweden",204698,2024
"1312","Switzerland","Ukraine","Robotics",172817,133713209292,44513229,"0.0333 %","0.0112 %",-0.0221,172817,0.0112,"Europe",1540893296,2024,0.3882,"$172.82k",0.34,"#B57B7B","Switzerland",172817,2024
"1313","Tajikistan","Ukraine","Robotics",299,133713209292,44513229,"0.0333 %","0.0022 %",-0.0311,299,0.0022,"Asia",13536356,2024,7e-04,"$0.3k",0.07,"#9E3838","Tajikistan",299,2024
"1314","Tanzania","Ukraine","Robotics",11081,133713209292,44513229,"0.0333 %","0.0137 %",-0.0196,11081,0.0137,"Africa",81149944,2024,0.0249,"$11.08k",0.41,"#B98787","Tanzania",11081,2024
"1315","Thailand","Ukraine","Robotics",1019,133713209292,44513229,"0.0333 %","0 %",-0.0332,1019,0,"Asia",2373668350,2024,0.0023,"$1.02k",0,"darkred","Thailand",1019,2024
"1316","The Netherlands","Ukraine","Robotics",1791656,133713209292,44513229,"0.0333 %","0.0666 %",0.0333,1791656,0.0666,"Europe",2691395754,2024,4.025,"$1.79M",2,"#5F965F","The Netherlands",1791656,2024
"1317","Tunisia","Ukraine","Robotics",12660,133713209292,44513229,"0.0333 %","0.0062 %",-0.0271,12660,0.0062,"Africa",203254016,2024,0.0284,"$12.66k",0.19,"#AA5C5C","Tunisia",12660,2024
"1318","Turkiye","Ukraine","Robotics",2092896,133713209292,44513229,"0.0333 %","0.0799 %",0.0466,2092896,0.0799,"Asia",2618872085,2024,4.7017,"$2.09M",2.4,"#518F51","Turkiye",2092896,2024
"1319","Uganda","Ukraine","Robotics",54384,133713209292,44513229,"0.0333 %","0.0859 %",0.0526,54384,0.0859,"Africa",63284600,2024,0.1222,"$54.38k",2.58,"#4C8C4C","Uganda",54384,2024
"1320","United Arab Emirates","Ukraine","Robotics",313319,133713209292,44513229,"0.0333 %","0.0239 %",-0.0094,313319,0.0239,"Asia",1310142071,2024,0.7039,"$313.32k",0.72,"#C8B3B3","United Arab Emirates",313319,2024
"1321","United Kingdom","Ukraine","Robotics",192127,133713209292,44513229,"0.0333 %","0.0052 %",-0.0281,192127,0.0052,"Europe",3681387883,2024,0.4316,"$192.13k",0.16,"#A85454","United Kingdom",192127,2024
"1322","United States","Ukraine","Robotics",278516,133713209292,44513229,"0.0333 %","0.0013 %",-0.032,278516,0.0013,"North America",21583352570,2024,0.6257,"$278.52k",0.04,"#992A2A","United States",278516,2024
"1323","Uruguay","Ukraine","Robotics",40226,133713209292,44513229,"0.0333 %","0.072 %",0.0387,40226,0.072,"South America",55840621,2024,0.0904,"$40.23k",2.16,"#599359","Uruguay",40226,2024
"1324","Uzbekistan","Ukraine","Robotics",247916,133713209292,44513229,"0.0333 %","0.0647 %",0.0314,247916,0.0647,"Asia",383128904,2024,0.5569,"$247.92k",1.94,"#629762","Uzbekistan",247916,2024
"1325","Vietnam","Ukraine","Robotics",1177,133713209292,44513229,"0.0333 %","0 %",-0.0333,1177,0,"Asia",3007719934,2024,0.0026,"$1.18k",0,"darkred","Vietnam",1177,2024
"1326","Australia","Ukraine","Semiconductors",13403,752775558332,33678258,"0.0045 %","0.0037 %",-8e-04,13403,0.0037,"Oceania",362590999,2024,0.0398,"$13.4k",0.83,"#CDC0C0","Australia",13403,2024
"1327","Austria","Ukraine","Semiconductors",7210,752775558332,33678258,"0.0045 %","4e-04 %",-0.0041,7210,4e-04,"Europe",1859022151,2024,0.0214,"$7.21k",0.09,"#A13F3F","Austria",7210,2024
"1328","Azerbaijan","Ukraine","Semiconductors",564,752775558332,33678258,"0.0045 %","0.0064 %",0.0019,564,0.0064,"Asia",8812973,2024,0.0017,"$0.56k",1.43,"#80A780","Azerbaijan",564,2024
"1329","Belgium","Ukraine","Semiconductors",37403,752775558332,33678258,"0.0045 %","0.0011 %",-0.0034,37403,0.0011,"Europe",3356881008,2024,0.1111,"$37.4k",0.25,"#AF6A6A","Belgium",37403,2024
"1330","Brazil","Ukraine","Semiconductors",14675,752775558332,33678258,"0.0045 %","3e-04 %",-0.0042,14675,3e-04,"South America",4898490093,2024,0.0436,"$14.68k",0.07,"#9E3838","Brazil",14675,2024
"1331","Bulgaria","Ukraine","Semiconductors",42755,752775558332,33678258,"0.0045 %","0.0101 %",0.0056,42755,0.0101,"Europe",424265844,2024,0.127,"$42.76k",2.25,"#569156","Bulgaria",42755,2024
"1332","Burkina Faso","Ukraine","Semiconductors",2134,752775558332,33678258,"0.0045 %","0.0619 %",0.0574,2134,0.0619,"Africa",3448330,2024,0.0063,"$2.13k",13.83,"#006400","Burkina Faso",2134,2024
"1333","Canada","Ukraine","Semiconductors",18079,752775558332,33678258,"0.0045 %","0.0012 %",-0.0032,18079,0.0012,"North America",1469433835,2024,0.0537,"$18.08k",0.28,"#B17070","Canada",18079,2024
"1334","Chile","Ukraine","Semiconductors",1732,752775558332,33678258,"0.0045 %","0.0033 %",-0.0011,1732,0.0033,"South America",52094960,2024,0.0051,"$1.73k",0.74,"#C9B6B6","Chile",1732,2024
"1335","China","Ukraine","Semiconductors",101650,752775558332,33678258,"0.0045 %","1e-04 %",-0.0044,101650,1e-04,"Asia",167086097539,2024,0.3018,"$101.65k",0.01,"#921515","China",101650,2024
"1336","Colombia","Ukraine","Semiconductors",365,752775558332,33678258,"0.0045 %","5e-04 %",-0.004,365,5e-04,"South America",76642257,2024,0.0011,"$0.36k",0.11,"#A34646","Colombia",365,2024
"1337","Czechia","Ukraine","Semiconductors",9644466,752775558332,33678258,"0.0045 %","0.2567 %",0.2523,9644466,0.2567,"Europe",3756732690,2024,28.6371,"$9.64M",57.38,"#006400","Czechia",9644466,2024
"1338","Denmark","Ukraine","Semiconductors",113166,752775558332,33678258,"0.0045 %","0.0244 %",0.02,113166,0.0244,"Europe",462939612,2024,0.336,"$113.17k",5.46,"#1E741E","Denmark",113166,2024
"1339","Dominican Republic","Ukraine","Semiconductors",3069,752775558332,33678258,"0.0045 %","0.0044 %",-1e-04,3069,0.0044,"North America",70057205,2024,0.0091,"$3.07k",0.98,"#D2D1D1","Dominican Republic",3069,2024
"1340","Ecuador","Ukraine","Semiconductors",361,752775558332,33678258,"0.0045 %","0.0012 %",-0.0032,361,0.0012,"South America",29397222,2024,0.0011,"$0.36k",0.27,"#B06E6E","Ecuador",361,2024
"1341","El Salvador","Ukraine","Semiconductors",6423,752775558332,33678258,"0.0045 %","0.0633 %",0.0589,6423,0.0633,"North America",10142150,2024,0.0191,"$6.42k",14.16,"#006400","El Salvador",6423,2024
"1342","Estonia","Ukraine","Semiconductors",235869,752775558332,33678258,"0.0045 %","0.0979 %",0.0934,235869,0.0979,"Europe",240878704,2024,0.7004,"$235.87k",21.89,"#006400","Estonia",235869,2024
"1343","Finland","Ukraine","Semiconductors",4102,752775558332,33678258,"0.0045 %","0.0011 %",-0.0033,4102,0.0011,"Europe",361744262,2024,0.0122,"$4.1k",0.25,"#AF6A6A","Finland",4102,2024
"1344","France","Ukraine","Semiconductors",83867,752775558332,33678258,"0.0045 %","0.002 %",-0.0025,83867,0.002,"Europe",4147193054,2024,0.249,"$83.87k",0.45,"#BB8E8E","France",83867,2024
"1345","Georgia","Ukraine","Semiconductors",3086,752775558332,33678258,"0.0045 %","0.0733 %",0.0688,3086,0.0733,"Asia",4209512,2024,0.0092,"$3.09k",16.39,"#006400","Georgia",3086,2024
"1346","Germany","Ukraine","Semiconductors",42824,752775558332,33678258,"0.0045 %","3e-04 %",-0.0042,42824,3e-04,"Europe",15158876123,2024,0.1272,"$42.82k",0.06,"#9D3434","Germany",42824,2024
"1347","Greece","Ukraine","Semiconductors",28,752775558332,33678258,"0.0045 %","0 %",-0.0044,28,0,"Europe",81471900,2024,1e-04,"$0.03k",0.01,"#921515","Greece",28,2024
"1348","Hong Kong","Ukraine","Semiconductors",154810,752775558332,33678258,"0.0045 %","1e-04 %",-0.0044,154810,1e-04,"Asia",175622201417,2024,0.4597,"$154.81k",0.02,"#951E1E","Hong Kong",154810,2024
"1349","Hungary","Ukraine","Semiconductors",14836254,752775558332,33678258,"0.0045 %","0.3937 %",0.3892,14836254,0.3937,"Europe",3768691881,2024,44.0529,"$14.84M",87.99,"#006400","Hungary",14836254,2024
"1350","Iceland","Ukraine","Semiconductors",1375,752775558332,33678258,"0.0045 %","0.0258 %",0.0214,1375,0.0258,"Europe",5323966,2024,0.0041,"$1.38k",5.77,"#1B721B","Iceland",1375,2024
"1351","India","Ukraine","Semiconductors",175311,752775558332,33678258,"0.0045 %","0.001 %",-0.0035,175311,0.001,"Asia",17353755786,2024,0.5205,"$175.31k",0.23,"#AE6565","India",175311,2024
"1352","Indonesia","Ukraine","Semiconductors",869,752775558332,33678258,"0.0045 %","0 %",-0.0044,869,0,"Asia",3411804632,2024,0.0026,"$0.87k",0.01,"#921515","Indonesia",869,2024
"1353","Iraq","Ukraine","Semiconductors",2000,752775558332,33678258,"0.0045 %","0.031 %",0.0265,2000,0.031,"Asia",6459533,2024,0.0059,"$2k",6.92,"#126D12","Iraq",2000,2024
"1354","Ireland","Ukraine","Semiconductors",4683,752775558332,33678258,"0.0045 %","1e-04 %",-0.0044,4683,1e-04,"Europe",6789109182,2024,0.0139,"$4.68k",0.02,"#951E1E","Ireland",4683,2024
"1355","Israel","Ukraine","Semiconductors",54286,752775558332,33678258,"0.0045 %","0.0027 %",-0.0018,54286,0.0027,"Asia",2006211635,2024,0.1612,"$54.29k",0.6,"#C3A3A3","Israel",54286,2024
"1356","Italy","Ukraine","Semiconductors",2979,752775558332,33678258,"0.0045 %","1e-04 %",-0.0044,2979,1e-04,"Europe",2555380727,2024,0.0088,"$2.98k",0.03,"#972525","Italy",2979,2024
"1357","Kazakhstan","Ukraine","Semiconductors",6739,752775558332,33678258,"0.0045 %","0.0122 %",0.0077,6739,0.0122,"Asia",55246438,2024,0.02,"$6.74k",2.73,"#488A48","Kazakhstan",6739,2024
"1358","Kenya","Ukraine","Semiconductors",2612,752775558332,33678258,"0.0045 %","0.0131 %",0.0086,2612,0.0131,"Africa",20014295,2024,0.0078,"$2.61k",2.92,"#438743","Kenya",2612,2024
"1359","Latvia","Ukraine","Semiconductors",11688,752775558332,33678258,"0.0045 %","0.0134 %",0.0089,11688,0.0134,"Europe",87299887,2024,0.0347,"$11.69k",2.99,"#418641","Latvia",11688,2024
"1360","Lithuania","Ukraine","Semiconductors",11067,752775558332,33678258,"0.0045 %","0.0042 %",-2e-04,11067,0.0042,"Europe",261554397,2024,0.0329,"$11.07k",0.95,"#D1CECE","Lithuania",11067,2024
"1361","Malaysia","Ukraine","Semiconductors",352042,752775558332,33678258,"0.0045 %","8e-04 %",-0.0037,352042,8e-04,"Asia",44566431784,2024,1.0453,"$352.04k",0.18,"#AA5A5A","Malaysia",352042,2024
"1362","Malta","Ukraine","Semiconductors",25,752775558332,33678258,"0.0045 %","0 %",-0.0045,25,4.9179e-06,"Europe",508342481,2024,1e-04,"$0.03k",0,"darkred","Malta",25,2024
"1363","Mexico","Ukraine","Semiconductors",115386,752775558332,33678258,"0.0045 %","6e-04 %",-0.0039,115386,6e-04,"North America",19034021259,2024,0.3426,"$115.39k",0.14,"#A64F4F","Mexico",115386,2024
"1364","Moldova","Ukraine","Semiconductors",901,752775558332,33678258,"0.0045 %","0.0134 %",0.0089,901,0.0134,"Europe",6730653,2024,0.0027,"$0.9k",2.99,"#418641","Moldova",901,2024
"1365","Morocco","Ukraine","Semiconductors",5839,752775558332,33678258,"0.0045 %","0.0016 %",-0.0029,5839,0.0016,"Africa",361931690,2024,0.0173,"$5.84k",0.36,"#B67F7F","Morocco",5839,2024
"1366","New Zealand","Ukraine","Semiconductors",858,752775558332,33678258,"0.0045 %","0.0019 %",-0.0026,858,0.0019,"Oceania",45943937,2024,0.0025,"$0.86k",0.42,"#BA8989","New Zealand",858,2024
"1367","Norway","Ukraine","Semiconductors",2988,752775558332,33678258,"0.0045 %","0.0019 %",-0.0026,2988,0.0019,"Europe",155741873,2024,0.0089,"$2.99k",0.43,"#BA8A8A","Norway",2988,2024
"1368","Peru","Ukraine","Semiconductors",4723,752775558332,33678258,"0.0045 %","0.0102 %",0.0057,4723,0.0102,"South America",46475069,2024,0.014,"$4.72k",2.27,"#559155","Peru",4723,2024
"1369","Poland","Ukraine","Semiconductors",112658,752775558332,33678258,"0.0045 %","0.0035 %",-0.001,112658,0.0035,"Europe",3239644988,2024,0.3345,"$112.66k",0.78,"#CBBABA","Poland",112658,2024
"1370","Portugal","Ukraine","Semiconductors",226,752775558332,33678258,"0.0045 %","0 %",-0.0045,226,0,"Europe",1624438680,2024,7e-04,"$0.23k",0,"darkred","Portugal",226,2024
"1371","Romania","Ukraine","Semiconductors",994,752775558332,33678258,"0.0045 %","0 %",-0.0044,994,0,"Europe",2060258922,2024,0.003,"$0.99k",0.01,"#921515","Romania",994,2024
"1372","Saudi Arabia","Ukraine","Semiconductors",1603,752775558332,33678258,"0.0045 %","0.0012 %",-0.0033,1603,0.0012,"Asia",136102570,2024,0.0048,"$1.6k",0.26,"#B06C6C","Saudi Arabia",1603,2024
"1373","Singapore","Ukraine","Semiconductors",398676,752775558332,33678258,"0.0045 %","8e-04 %",-0.0037,398676,8e-04,"Asia",50573897929,2024,1.1838,"$398.68k",0.18,"#AA5A5A","Singapore",398676,2024
"1374","Slovakia","Ukraine","Semiconductors",32976,752775558332,33678258,"0.0045 %","0.0039 %",-5e-04,32976,0.0039,"Europe",837814684,2024,0.0979,"$32.98k",0.88,"#CFC6C6","Slovakia",32976,2024
"1375","South Africa","Ukraine","Semiconductors",2223,752775558332,33678258,"0.0045 %","0.0019 %",-0.0026,2223,0.0019,"Africa",116016862,2024,0.0066,"$2.22k",0.43,"#BA8A8A","South Africa",2223,2024
"1376","South Korea","Ukraine","Semiconductors",508434,752775558332,33678258,"0.0045 %","9e-04 %",-0.0036,508434,9e-04,"Asia",57246116775,2024,1.5097,"$508.43k",0.2,"#AB5E5E","South Korea",508434,2024
"1377","Spain","Ukraine","Semiconductors",57506,752775558332,33678258,"0.0045 %","0.004 %",-5e-04,57506,0.004,"Europe",1445817051,2024,0.1708,"$57.51k",0.89,"#CFC7C7","Spain",57506,2024
"1378","Sweden","Ukraine","Semiconductors",2272,752775558332,33678258,"0.0045 %","3e-04 %",-0.0042,2272,3e-04,"Europe",905461238,2024,0.0067,"$2.27k",0.06,"#9D3434","Sweden",2272,2024
"1379","Switzerland","Ukraine","Semiconductors",7588,752775558332,33678258,"0.0045 %","0.001 %",-0.0035,7588,0.001,"Europe",775596450,2024,0.0225,"$7.59k",0.22,"#AD6363","Switzerland",7588,2024
"1380","Thailand","Ukraine","Semiconductors",46751,752775558332,33678258,"0.0045 %","4e-04 %",-0.0041,46751,4e-04,"Asia",12296181608,2024,0.1388,"$46.75k",0.08,"#9F3C3C","Thailand",46751,2024
"1381","The Netherlands","Ukraine","Semiconductors",301637,752775558332,33678258,"0.0045 %","0.0033 %",-0.0011,301637,0.0033,"Europe",9067644401,2024,0.8956,"$301.64k",0.74,"#C9B6B6","The Netherlands",301637,2024
"1382","Turkiye","Ukraine","Semiconductors",5373489,752775558332,33678258,"0.0045 %","0.5636 %",0.5592,5373489,0.5636,"Asia",953367366,2024,15.9554,"$5.37M",125.98,"darkgreen","Turkiye",5373489,2024
"1383","United Kingdom","Ukraine","Semiconductors",7948,752775558332,33678258,"0.0045 %","4e-04 %",-0.0041,7948,4e-04,"Europe",1908742993,2024,0.0236,"$7.95k",0.09,"#A13F3F","United Kingdom",7948,2024
"1384","United States","Ukraine","Semiconductors",698611,752775558332,33678258,"0.0045 %","0.0017 %",-0.0027,698611,0.0017,"North America",40372981704,2024,2.0744,"$698.61k",0.39,"#B88484","United States",698611,2024
"1385","Australia","Ukraine","Shipbuilding",3661962,137209943714,76704092,"0.0559 %","0.3127 %",0.2568,3661962,0.3127,"Oceania",1171102979,2024,4.7741,"$3.66M",5.59,"#1D731D","Australia",3661962,2024
"1386","Austria","Ukraine","Shipbuilding",969148,137209943714,76704092,"0.0559 %","1.0153 %",0.9594,969148,1.0153,"Europe",95458722,2024,1.2635,"$969.15k",18.16,"#006400","Austria",969148,2024
"1387","Bulgaria","Ukraine","Shipbuilding",2575799,137209943714,76704092,"0.0559 %","1.9617 %",1.9058,2575799,1.9617,"Europe",131303215,2024,3.3581,"$2.58M",35.09,"#006400","Bulgaria",2575799,2024
"1388","Canada","Ukraine","Shipbuilding",1112135,137209943714,76704092,"0.0559 %","0.0641 %",0.0082,1112135,0.0641,"North America",1734032133,2024,1.4499,"$1.11M",1.15,"#9FB89F","Canada",1112135,2024
"1389","Croatia","Ukraine","Shipbuilding",120961,137209943714,76704092,"0.0559 %","0.0236 %",-0.0323,120961,0.0236,"Europe",511980253,2024,0.1577,"$120.96k",0.42,"#BA8989","Croatia",120961,2024
"1390","Cyprus","Ukraine","Shipbuilding",65261,137209943714,76704092,"0.0559 %","0.0051 %",-0.0508,65261,0.0051,"Europe",1289070725,2024,0.0851,"$65.26k",0.09,"#A13F3F","Cyprus",65261,2024
"1391","Czechia","Ukraine","Shipbuilding",255606,137209943714,76704092,"0.0559 %","0.8362 %",0.7803,255606,0.8362,"Europe",30567732,2024,0.3332,"$255.61k",14.96,"#006400","Czechia",255606,2024
"1392","Denmark","Ukraine","Shipbuilding",413096,137209943714,76704092,"0.0559 %","0.0126 %",-0.0433,413096,0.0126,"Europe",3272594707,2024,0.5386,"$413.1k",0.23,"#AE6565","Denmark",413096,2024
"1393","Estonia","Ukraine","Shipbuilding",379878,137209943714,76704092,"0.0559 %","0.3464 %",0.2905,379878,0.3464,"Europe",109675149,2024,0.4953,"$379.88k",6.2,"#177017","Estonia",379878,2024
"1394","Finland","Ukraine","Shipbuilding",801916,137209943714,76704092,"0.0559 %","0.3628 %",0.3069,801916,0.3628,"Europe",221043249,2024,1.0455,"$801.92k",6.49,"#156F15","Finland",801916,2024
"1395","France","Ukraine","Shipbuilding",3658456,137209943714,76704092,"0.0559 %","0.072 %",0.0161,3658456,0.072,"Europe",5078734994,2024,4.7696,"$3.66M",1.29,"#8DAE8D","France",3658456,2024
"1396","Georgia","Ukraine","Shipbuilding",88281,137209943714,76704092,"0.0559 %","0.9208 %",0.8648,88281,0.9208,"Asia",9587943,2024,0.1151,"$88.28k",16.47,"#006400","Georgia",88281,2024
"1397","Germany","Ukraine","Shipbuilding",3953500,137209943714,76704092,"0.0559 %","0.0872 %",0.0312,3953500,0.0872,"Europe",4536295762,2024,5.1542,"$3.95M",1.56,"#76A276","Germany",3953500,2024
"1398","Greece","Ukraine","Shipbuilding",1827331,137209943714,76704092,"0.0559 %","0.1352 %",0.0793,1827331,0.1352,"Europe",1351447412,2024,2.3823,"$1.83M",2.42,"#508E50","Greece",1827331,2024
"1399","Hungary","Ukraine","Shipbuilding",231030,137209943714,76704092,"0.0559 %","0.5108 %",0.4549,231030,0.5108,"Europe",45227226,2024,0.3012,"$231.03k",9.14,"#046604","Hungary",231030,2024
"1400","India","Ukraine","Shipbuilding",4679948,137209943714,76704092,"0.0559 %","0.1718 %",0.1159,4679948,0.1718,"Asia",2723516544,2024,6.1013,"$4.68M",3.07,"#408640","India",4679948,2024
"1401","Ireland","Ukraine","Shipbuilding",192657,137209943714,76704092,"0.0559 %","0.1897 %",0.1338,192657,0.1897,"Europe",101559020,2024,0.2512,"$192.66k",3.39,"#398239","Ireland",192657,2024
"1402","Israel","Ukraine","Shipbuilding",48000,137209943714,76704092,"0.0559 %","0.0126 %",-0.0433,48000,0.0126,"Asia",382229942,2024,0.0626,"$48k",0.22,"#AD6363","Israel",48000,2024
"1403","Italy","Ukraine","Shipbuilding",4429849,137209943714,76704092,"0.0559 %","0.272 %",0.2161,4429849,0.272,"Europe",1628705807,2024,5.7752,"$4.43M",4.87,"#247724","Italy",4429849,2024
"1404","Kazakhstan","Ukraine","Shipbuilding",107204,137209943714,76704092,"0.0559 %","0.5093 %",0.4534,107204,0.5093,"Asia",21047250,2024,0.1398,"$107.2k",9.11,"#046604","Kazakhstan",107204,2024
"1405","Latvia","Ukraine","Shipbuilding",357744,137209943714,76704092,"0.0559 %","2.1017 %",2.0458,357744,2.1017,"Europe",17021274,2024,0.4664,"$357.74k",37.6,"#006400","Latvia",357744,2024
"1406","Lithuania","Ukraine","Shipbuilding",1546985,137209943714,76704092,"0.0559 %","0.8902 %",0.8342,1546985,0.8902,"Europe",173789072,2024,2.0168,"$1.55M",15.92,"#006400","Lithuania",1546985,2024
"1407","Malta","Ukraine","Shipbuilding",264188,137209943714,76704092,"0.0559 %","0.0041 %",-0.0518,264188,0.0041,"Europe",6404584159,2024,0.3444,"$264.19k",0.07,"#9E3838","Malta",264188,2024
"1408","Marshall Islands","Ukraine","Shipbuilding",2673783,137209943714,76704092,"0.0559 %","0.0289 %",-0.027,2673783,0.0289,"Oceania",9244768682,2024,3.4858,"$2.67M",0.52,"#BF9898","Marshall Islands",2673783,2024
"1409","Moldova","Ukraine","Shipbuilding",70295,137209943714,76704092,"0.0559 %","3.6221 %",3.5662,70295,3.6221,"Europe",1940722,2024,0.0916,"$70.3k",64.79,"#006400","Moldova",70295,2024
"1410","Montenegro","Ukraine","Shipbuilding",154576,137209943714,76704092,"0.0559 %","0.2825 %",0.2266,154576,0.2825,"Europe",54711233,2024,0.2015,"$154.58k",5.05,"#227622","Montenegro",154576,2024
"1411","New Zealand","Ukraine","Shipbuilding",235021,137209943714,76704092,"0.0559 %","0.1449 %",0.089,235021,0.1449,"Oceania",162163171,2024,0.3064,"$235.02k",2.59,"#4B8C4B","New Zealand",235021,2024
"1412","North Macedonia","Ukraine","Shipbuilding",17640,137209943714,76704092,"0.0559 %","0.9722 %",0.9163,17640,0.9722,"Europe",1814520,2024,0.023,"$17.64k",17.39,"#006400","North Macedonia",17640,2024
"1413","Norway","Ukraine","Shipbuilding",2807709,137209943714,76704092,"0.0559 %","0.0687 %",0.0128,2807709,0.0687,"Europe",4085736186,2024,3.6604,"$2.81M",1.23,"#94B294","Norway",2807709,2024
"1414","Poland","Ukraine","Shipbuilding",1856844,137209943714,76704092,"0.0559 %","0.1267 %",0.0708,1856844,0.1267,"Europe",1465269539,2024,2.4208,"$1.86M",2.27,"#559155","Poland",1856844,2024
"1415","Portugal","Ukraine","Shipbuilding",91187,137209943714,76704092,"0.0559 %","0.0123 %",-0.0436,91187,0.0123,"Europe",742201536,2024,0.1189,"$91.19k",0.22,"#AD6363","Portugal",91187,2024
"1416","Romania","Ukraine","Shipbuilding",8701164,137209943714,76704092,"0.0559 %","12.7489 %",12.693,8701164,12.7489,"Europe",68250436,2024,11.3438,"$8.7M",228.05,"darkgreen","Romania",8701164,2024
"1417","Serbia","Ukraine","Shipbuilding",124844,137209943714,76704092,"0.0559 %","0.1187 %",0.0628,124844,0.1187,"Europe",105184600,2024,0.1628,"$124.84k",2.12,"#5A945A","Serbia",124844,2024
