Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Equity Only Funding,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Andonix,https://www.crunchbase.com/funding_round/andonix-seed--746f3cb9,Andonix,https://www.crunchbase.com/organization/andonix,Seed,2000000,USD,2000000,2019-10-01,Seed,Yes,12000000,USD,12000000,"Andonix provides AI connected worker technology to upskill front line workers to solve problems, innovate and boost productivity","Food and Beverage, Food Processing, Information Technology, Manufacturing, SaaS, Software",Hispanic / Latine Founded,"Detroit, Michigan, United States, North America",https://www.andonix.com/,$1M to $10M,Seed,1,2000000,USD,2000000,"CAF, MatterScale Ventures","Automation Alley, Beyond Hook Ventures, CAF, City Light Capital, MatterScale Ventures",5,,"574,635"
Seed Round - Yellow,https://www.crunchbase.com/funding_round/yellow-d7ae-seed--fb56d8e7,Yellow,https://www.crunchbase.com/organization/yellow-d7ae,Seed,3300000,USD,3300000,2018-05-22,Seed,Yes,,,,Yellow is an online micro-mobility platform that offers bike and e-scooter sharing services.,"Last Mile Transportation, Public Transportation, Ride Sharing, Transportation",,"São Paulo, Sao Paulo, Brazil, South America",https://yellow.app,$1M to $10M,M&A,4,125300000,USD,125300000,"Base10 Partners, monashees","Base10 Partners, Brendan Wallace, Grishin Robotics, monashees, Notable Capital, WndrCo",6,2,"574,928"
Pre Seed Round - Standard Bots,https://www.crunchbase.com/funding_round/standard-bots-pre-seed--36b55c3a,Standard Bots,https://www.crunchbase.com/organization/standard-bots,Pre-Seed,,,,2017-05-20,Seed,Yes,,,,"Standard Bots offers advanced automation solutions, including the RO1 robot, to help businesses streamline their operations.","Artificial Intelligence (AI), Information Technology, Robotics, Software",,"New York, New York, United States, North America",https://standardbots.com,$1M to $10M,Early Stage Venture,6,65000000,USD,65000000,,,,,"475,177"
Venture Round - Vigilent,https://www.crunchbase.com/funding_round/vigilent-series-unknown--6e379219,Vigilent,https://www.crunchbase.com/organization/vigilent,Venture - Series Unknown,,,,2017-07-01,,Yes,,,,Vigilent is the leader in dynamic cooling management systems for mission critical facilities.,"Analytics, Artificial Intelligence (AI), Data Center, Energy, Energy Management, Infrastructure, Machine Learning",,"Oakland, California, United States, North America",http://www.vigilent.com,$10M to $50M,,6,6800000,USD,6800000,,Next47,1,,"610,443"
Series A - Cihon,https://www.crunchbase.com/funding_round/cihon-cn-series-a--d8eef9bb,Cihon,https://www.crunchbase.com/organization/cihon-cn,Series A,,,,2016-06-02,Early Stage Venture,Yes,,,,Cihon is a digital intelligence service platform that provides data analytics on vehicles and auto parts for insurance providers.,"Analytics, Artificial Intelligence (AI), Automotive, InsurTech",,"Beijing, Beijing, China, Asia",http://www.cihon.cn,,Early Stage Venture,5,50000000,CNY,7798889,,,,,"550,067"
Seed Round - alcemy,https://www.crunchbase.com/funding_round/alcemy-seed--c9ee60df,alcemy,https://www.crunchbase.com/organization/alcemy,Seed,3000000,EUR,3401245,2019-06-07,Seed,Yes,,,,Alcemy is a cement and concrete decarbonization startup developing predictive analysis software to assist cement and concrete manufacturers.,"Building Material, Construction, Green Building, Sustainability",,"Berlin, Berlin, Germany, Europe",https://alcemy.tech/,$1M to $10M,,3,22250000,EUR,23564935,,"Angel Invest, La Famiglia",2,1,"290,100"
Corporate Round - Rokk3r,https://www.crunchbase.com/funding_round/rokk3rlabs-corporate-round--6eb2b8d5,Rokk3r,https://www.crunchbase.com/organization/rokk3rlabs,Corporate Round,,,,2017-05-02,,Yes,,,,"Rokk3r is a venture builders platform that provides companies through its corporate innovation, co-building services, and web 3.","3D Printing, Artificial Intelligence (AI), Drones, Internet, Nanotechnology",,"Miami, Florida, United States, North America",http://www.rokk3r.com,$1M to $10M,Seed,3,5000000,USD,5000000,,Eight Dragons,1,1,"291,099"
Series D - Contract Intelligence,https://www.crunchbase.com/funding_round/leverton-series-d--4207dbea,Contract Intelligence,https://www.crunchbase.com/organization/leverton,Series D,,,,2017-07-20,Late Stage Venture,Yes,,,,Contract Intelligence is AI-powered data extraction and contract analytics platform.,"Analytics, Artificial Intelligence (AI), Enterprise Software, InsurTech, Intelligent Systems, Legal Tech, Machine Learning, Natural Language Processing, SaaS, Software",,"New York, New York, United States, North America",https://www.leverton.ai,$1M to $10M,M&A,2,5000000,EUR,5610375,,"Anyon Holding, DAH Beteiligungs GmbH",2,,"150,237"
Series A - Flock Safety,https://www.crunchbase.com/funding_round/flock-safety-series-a--918adace,Flock Safety,https://www.crunchbase.com/organization/flock-safety,Series A,9999999,USD,9999999,2018-11-21,Early Stage Venture,Yes,,,,Flock Safety develops security solutions using automated license plate recognition (ALPR) cameras.,"Manufacturing, Public Safety, Security, Sensor",,"Atlanta, Georgia, United States, North America",https://www.flocksafety.com,$1M to $10M,Late Stage Venture,7,380584142,USD,380584142,Bedrock,"Bedrock, Founders Fund, Initialized Capital, Matrix, Y Combinator",5,1,"293,500"
Venture Round - Trianz,https://www.crunchbase.com/funding_round/trianz-series-unknown--67bfd046,Trianz,https://www.crunchbase.com/organization/trianz,Venture - Series Unknown,,,,2019-10-31,,Yes,,,,Accelerating Digital Evolution,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Cloud Infrastructure, Collaboration, Cyber Security, Generative AI, Mobile Apps, Test and Measurement",,"Santa Clara, California, United States, North America",https://www.trianz.com,$100M to $500M,Private Equity,3,14000000,USD,14000000,Crescent Cove Advisors,Crescent Cove Advisors,1,,"294,312"
Seed Round - sewts,https://www.crunchbase.com/funding_round/sewts-seed--42c5cea6,sewts,https://www.crunchbase.com/organization/sewts,Seed,,,,2021-05-04,Seed,Yes,,,,"Saas, Robotic, Machine Learning","Machine Learning, Software",,"Garching Bei München, Bayern, Germany, Europe",https://www.sewts.com,$1M to $10M,Early Stage Venture,3,7000000,EUR,7684108,"APEX Ventures, HTGF | High-Tech Gruenderfonds","APEX Ventures, Bayern Kapital, HTGF | High-Tech Gruenderfonds, Initiative for Industrial Innovators",4,1,"237,297"
Non Equity Assistance - ColdLight Solutions,https://www.crunchbase.com/funding_round/coldlight-solutions-non-equity-assistance--a8cde586,ColdLight Solutions,https://www.crunchbase.com/organization/coldlight-solutions,Non-equity Assistance,,,,2016-10-30,,No,,,,ColdLight Solutions provides automated machine learning science and big data predictive analytics to drive better business outcomes.,"Analytics, Artificial Intelligence (AI), Business Intelligence, Cloud Computing, Machine Learning, Predictive Analytics, SaaS, Software",,"Wayne, Pennsylvania, United States, North America",http://www.coldlight.com,,M&A,4,11000000,USD,11000000,,ic@3401,1,,"178,215"
Seed Round - Alpha Quants,https://www.crunchbase.com/funding_round/alpha-quants-seed--081336d3,Alpha Quants,https://www.crunchbase.com/organization/alpha-quants,Seed,,,,2016-01-01,Seed,Yes,,,,Alpha Quants is a quantitative consultancy providing innovative technological solution for the financial sector.,"Artificial Intelligence (AI), Banking, Consulting, Financial Services, Information Technology, Venture Capital",,"London, England, United Kingdom, Europe",https://www.alphaquants.co/,Less than $1M,Seed,1,,,,,Level39,1,,"178,854"
Seed Round - Rokk3r,https://www.crunchbase.com/funding_round/rokk3rlabs-seed--62860b97,Rokk3r,https://www.crunchbase.com/organization/rokk3rlabs,Seed,,,,2018-03-01,Seed,Yes,,,,"Rokk3r is a venture builders platform that provides companies through its corporate innovation, co-building services, and web 3.","3D Printing, Artificial Intelligence (AI), Drones, Internet, Nanotechnology",,"Miami, Florida, United States, North America",http://www.rokk3r.com,$1M to $10M,Seed,3,5000000,USD,5000000,,Fuel Venture Capital,1,,"489,148"
Funding Round - Theta EdgeCloud,https://www.crunchbase.com/funding_round/sliver-tv-undisclosed--731e5e68,Theta EdgeCloud,https://www.crunchbase.com/organization/sliver-tv,Funding Round,20000000,USD,20000000,2018-02-14,,Yes,,,,"Theta EdgeCloud is the leading decentralized cloud for AI, media and entertainment.","Artificial Intelligence (AI), Cloud Computing, Generative AI, Internet",,"San Jose, California, United States, North America",https://www.thetaedgecloud.com/,$1M to $10M,Early Stage Venture,7,56000000,USD,56000000,,,,,"491,211"
Seed Round - 1inch Limited,https://www.crunchbase.com/funding_round/1inch-limited-seed--827065a2,1inch Limited,https://www.crunchbase.com/organization/1inch-limited,Seed,2800000,USD,2800000,2020-08-11,Seed,Yes,,,,1inch Limited works with multiple developers and other professionals to develop software and offer it on the SaaS basis.,"Artificial Intelligence (AI), Blockchain, Content Delivery Network, Cryptocurrency, Decentralized Finance (DeFi), Information Services, Information Technology, Non Profit, Open Source, Software",,"Old Road Town, Saint Thomas Middle Island, Saint Kitts and Nevis, North America",https://1inch.io,$10M to $50M,,9,192600000,USD,192600000,Binance Labs,"Binance Labs, Divergence Ventures, Dragonfly, FTX, Galaxy Digital, Greenfield, Illia Polosukhin, IOSG Ventures, LAUNCHub Ventures, Libertus Capital, Loi Luu",11,1,"331,062"
Pre Seed Round - Butter Payments,https://www.crunchbase.com/funding_round/butter-6f77-pre-seed--bef33a3f,Butter Payments,https://www.crunchbase.com/organization/butter-6f77,Pre-Seed,250000,USD,250000,2020-03-01,Seed,Yes,2250000,USD,2250000,Butter provides a payments intelligence platform for resolving payment failures.,"Artificial Intelligence (AI), Finance, FinTech, Machine Learning, Payments, Real Time",,"San Francisco, California, United States, North America",https://www.butterpayments.com,$1M to $10M,,5,38750000,USD,38750000,,Atomic,1,,"333,063"
Series B - Passion Intelligence,https://www.crunchbase.com/funding_round/passion-intelligence-series-b--3fd60423,Passion Intelligence,https://www.crunchbase.com/organization/passion-intelligence,Series B,,,,2023-02-13,Early Stage Venture,Yes,,,,"Passion Intelligence is a provider of automated overall solutions and services for warehousing, logistics, and manufacturing processes.","Electronics, Industrial Automation, Intelligent Systems, Machinery Manufacturing, Manufacturing",,"Suzhou, Jiangsu, China, Asia",http://www.passioniot.com/,,,3,100000000,CNY,13826478,SAIF Partners,"China Securities, SAIF Partners, Yinxinggu Capital",3,2,"440,472"
Debt Financing - ChartWise Medical Systems,https://www.crunchbase.com/funding_round/chartwise-medical-systems-debt-financing--6e8f57fe,ChartWise Medical Systems,https://www.crunchbase.com/organization/chartwise-medical-systems,Debt Financing,,,,2018-01-19,,No,,,,ChartWise Medical Systems develops software for diagnostic and clinical documentation operations.,"Artificial Intelligence (AI), Biotechnology, Document Management, Electronic Health Record (EHR), Health Care, SaaS, Software",,"Wakefield, Rhode Island, United States, North America",http://chartwisemed.com,$1M to $10M,M&A,5,5475000,USD,5475000,Recurring Capital Partners,Recurring Capital Partners,1,,"443,232"
Angel Round - Nfinite,https://www.crunchbase.com/funding_round/hubstairs-angel--7574a181,Nfinite,https://www.crunchbase.com/organization/hubstairs,Angel,1200000,EUR,1376789,2017-07-17,Seed,Yes,,,,Nfinite boosts sales with AI-driven CGI. Now offering AI training and fine-tuning with tailored synthetic data for better model performance.,"3D Technology, Artificial Intelligence (AI), E-Commerce, Generative AI, Retail Technology, SaaS, Software",,"New York, New York, United States, North America",https://www.nfinite.app,,Early Stage Venture,5,122240558,USD,122240558,,"5M Ventures, Arthur de Villepin, Arthur Media Group, Celine Lazorthes, IKEA Bootcamp, Julien Leroy, Nicolas Leroy Fleuriot, Sébastien Sikorski",8,,"443,899"
Series B - LILT,https://www.crunchbase.com/funding_round/lilt-series-b--0a3d8bc5,LILT,https://www.crunchbase.com/organization/lilt,Series B,25000000,USD,25000000,2020-05-12,Early Stage Venture,Yes,,,,LILT is the complete enterprise AI platform for content translation and creation,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Natural Language Processing, Translation Service",,"Emeryville, California, United States, North America",https://lilt.com/,$1M to $10M,Late Stage Venture,5,92500000,USD,92500000,Intel Capital,"In-Q-Tel, Intel Capital, Redpoint, Sequoia Capital, XSeed Capital, Zetta Venture Partners",6,3,"444,675"
Private Equity Round - HireVue,https://www.crunchbase.com/funding_round/hirevue-private-equity--c786c895,HireVue,https://www.crunchbase.com/organization/hirevue,Private Equity,,,,2019-10-15,Private Equity,Yes,,,,"HireVue's Hiring Intelligence Platform delivers the best talent, faster with video interviews and AI-driven pre-hire assessments.","Artificial Intelligence (AI), Corporate Training, Human Resources, Machine Learning, Recruiting, SaaS, Software, Video",,"South Jordan, Utah, United States, North America",https://www.hirevue.com,Less than $1M,Private Equity,7,93000000,USD,93000000,The Carlyle Group,The Carlyle Group,1,,"227,154"
Post-IPO Equity - Apple,https://www.crunchbase.com/funding_round/apple-post-ipo-equity--45845def,Apple,https://www.crunchbase.com/organization/apple,Post-IPO Equity,,,,2021-04-30,,Yes,,,,"Apple is a corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Artificial Intelligence (AI), Consumer Electronics, Hardware, Mobile Devices, Operating Systems, Wearables",,"Cupertino, California, United States, North America",http://www.apple.com,$10B+,IPO,7,1170230000,USD,1170230000,,KB Securities,1,,"229,506"
Seed Round - GoLinks,https://www.crunchbase.com/funding_round/golinks-seed--21af3e74,GoLinks,https://www.crunchbase.com/organization/golinks,Seed,,,,2019-03-18,Seed,Yes,,,,"Generative AI enterprise productivity suite that transforms knowledge accessibility & discovery, including enterprise & people data search.","Enterprise Software, Productivity Tools, SaaS, Software",Hispanic / Latine Founded,"San Jose, California, United States, North America",https://www.golinks.io,$1M to $10M,Early Stage Venture,2,27000000,USD,27000000,Y Combinator,"FundersClub, Y Combinator",2,,"229,783"
Private Equity Round - Simpli.fi,https://www.crunchbase.com/funding_round/simpli-fi-private-equity--e821245b,Simpli.fi,https://www.crunchbase.com/organization/simpli-fi,Private Equity,,,,2017-09-28,Private Equity,Yes,,,,We are the leading advertising success platform–built to help thousands of brands and agencies succeed with their advertising efforts.,"Ad Retargeting, Ad Targeting, Advertising, Advertising Platforms, Digital Marketing, Machine Learning, Marketing, Mobile Advertising, Video Advertising",,"Fort Worth, Texas, United States, North America",http://www.simpli.fi,$50M to $100M,M&A,8,22837902,USD,22837902,,GTCR,1,,"231,861"
Series E - Flock Safety,https://www.crunchbase.com/funding_round/flock-safety-series-e--05e6f78c,Flock Safety,https://www.crunchbase.com/organization/flock-safety,Series E,150000000,USD,150000000,2022-02-15,Late Stage Venture,Yes,3350000000,USD,3350000000,Flock Safety develops security solutions using automated license plate recognition (ALPR) cameras.,"Manufacturing, Public Safety, Security, Sensor",,"Atlanta, Georgia, United States, North America",https://www.flocksafety.com,$1M to $10M,Late Stage Venture,7,380584142,USD,380584142,Tiger Global Management,"776 Capital, Andreessen Horowitz, Bedrock, Initialized Capital, Matrix, Meritech Capital Partners, Spark Capital, Tiger Global Management",8,4,"613,145"
Venture Round - Waymark (formerly Stik),https://www.crunchbase.com/funding_round/stik-series-unknown--9ef1ba6f,Waymark (formerly Stik),https://www.crunchbase.com/organization/stik,Venture - Series Unknown,,,,2020-01-01,,Yes,,,,Grow your business with anyone-can-edit video from Waymark.,"Advertising, Artificial Intelligence (AI), Digital Marketing, Software, Video",,"Detroit, Michigan, United States, North America",https://waymark.com,$1M to $10M,,5,4616262,USD,4616262,Tech Startup Stabilization Fund,Tech Startup Stabilization Fund,1,,"391,265"
Seed Round - Butter Payments,https://www.crunchbase.com/funding_round/butter-6f77-seed--4fa4f033,Butter Payments,https://www.crunchbase.com/organization/butter-6f77,Seed,4500000,USD,4500000,2021-09-01,Seed,Yes,,,,Butter provides a payments intelligence platform for resolving payment failures.,"Artificial Intelligence (AI), Finance, FinTech, Machine Learning, Payments, Real Time",,"San Francisco, California, United States, North America",https://www.butterpayments.com,$1M to $10M,,5,38750000,USD,38750000,,"Atomic, NFX",2,1,"459,624"
Series A - Theta EdgeCloud,https://www.crunchbase.com/funding_round/sliver-tv-series-a--5c093df8,Theta EdgeCloud,https://www.crunchbase.com/organization/sliver-tv,Series A,16000000,USD,16000000,2017-03-17,Early Stage Venture,Yes,,,,"Theta EdgeCloud is the leading decentralized cloud for AI, media and entertainment.","Artificial Intelligence (AI), Cloud Computing, Generative AI, Internet",,"San Jose, California, United States, North America",https://www.thetaedgecloud.com/,$1M to $10M,Early Stage Venture,7,56000000,USD,56000000,DHVC,"BDMI, DHVC, Samsung NEXT, Sierra Ventures, Sparkland Capital, The Venture Reality Fund/VRF, Zhiping Capital",7,2,"117,167"
Series A - LILT,https://www.crunchbase.com/funding_round/lilt-series-a--13fee546,LILT,https://www.crunchbase.com/organization/lilt,Series A,9500000,USD,9500000,2018-10-04,Early Stage Venture,Yes,,,,LILT is the complete enterprise AI platform for content translation and creation,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Natural Language Processing, Translation Service",,"Emeryville, California, United States, North America",https://lilt.com/,$1M to $10M,Late Stage Venture,5,92500000,USD,92500000,Sequoia Capital,"Redpoint, Sequoia Capital, XSeed Capital, Zetta Venture Partners",4,1,"119,606"
Non Equity Assistance - Black Semiconductor,https://www.crunchbase.com/funding_round/black-semiconductor-non-equity-assistance--017835d5,Black Semiconductor,https://www.crunchbase.com/organization/black-semiconductor,Non-equity Assistance,,,,2022-11-14,,No,,,,Black Semiconductor manufacture microchips with integrated electronic-photonic circuits using graphene technology.,"Artificial Intelligence (AI), Electronics, Manufacturing, Semiconductor",,"Aachen, Nordrhein-Westfalen, Germany, Europe",https://blacksemiconductor.de,,Early Stage Venture,4,254400000,EUR,273281864,Intel Ignite,Intel Ignite,1,,"311,476"
Private Equity Round - Syniti,https://www.crunchbase.com/funding_round/backoffice-associates-private-equity--9329b4a9,Syniti,https://www.crunchbase.com/organization/backoffice-associates,Private Equity,,,,2017-08-03,Private Equity,Yes,,,,"Over the last 20+ years, we have become the leading data experts, trusted by clients everywhere.","Analytics, Artificial Intelligence (AI), Data Center, Data Governance, Data Integration, Enterprise Resource Planning (ERP), Enterprise Software, Information Technology, Machine Learning, Software",,"Needham, Massachusetts, United States, North America",http://www.syniti.com,$100M to $500M,M&A,2,30000000,USD,30000000,,,,,"312,032"
Venture Round - Genesis Media,https://www.crunchbase.com/funding_round/genesis-media-llc-series-unknown--7c878585,Genesis Media,https://www.crunchbase.com/organization/genesis-media-llc,Venture - Series Unknown,,,,2016-09-24,,Yes,,,,Genesis Media is the only platform making advertising decisions based on real-time user attention.,"Analytics, Internet, Predictive Analytics, Publishing, Video Advertising",,"New York, New York, United States, North America",http://www.genesismedia.com,$10M to $50M,,4,17000000,USD,17000000,,Loeb.nyc,1,,"314,116"
Private Equity Round - vLex,https://www.crunchbase.com/funding_round/vlex-private-equity--1631ea23,vLex,https://www.crunchbase.com/organization/vlex,Private Equity,,,,2023-04-04,Private Equity,Yes,,,,"vLex offers the professional, governmental, and academic markets with legal contents and solutions.","Legal, Legal Tech, Natural Language Processing, Predictive Analytics, Search Engine, Semantic Web",,"Barcelona, Catalonia, Spain, Europe",http://vlex.com,$10M to $50M,Private Equity,4,4000000,EUR,5167291,Oakley Capital,Oakley Capital,1,1,"429,403"
Pre Seed Round - Wave Photonics,https://www.crunchbase.com/funding_round/wave-photonics-pre-seed--2a399c05,Wave Photonics,https://www.crunchbase.com/organization/wave-photonics,Pre-Seed,,,,2021-08-25,Seed,Yes,,,,Wave Photonics utilizes computational techniques to accelerate integrated photonics product designs.,"Data Integration, Predictive Analytics, Software",,"Cambridge, Cambridgeshire, United Kingdom, Europe",https://www.wavephotonics.com/,,Seed,4,5742592,USD,5742592,,"Charlie Songhurst, Eoin Murray, Plug and Play, University of Cambridge Enterprise",4,1,"430,457"
Debt Financing - vLex,https://www.crunchbase.com/funding_round/vlex-debt-financing--dc658c6a,vLex,https://www.crunchbase.com/organization/vlex,Debt Financing,,,,2023-04-04,,No,,,,"vLex offers the professional, governmental, and academic markets with legal contents and solutions.","Legal, Legal Tech, Natural Language Processing, Predictive Analytics, Search Engine, Semantic Web",,"Barcelona, Catalonia, Spain, Europe",http://vlex.com,$10M to $50M,Private Equity,4,4000000,EUR,5167291,Bain Capital Credit,Bain Capital Credit,1,,"516,753"
Seed Round - Partium,https://www.crunchbase.com/funding_round/partium-io-seed--706da008,Partium,https://www.crunchbase.com/organization/partium-io,Seed,,,,2022-08-11,Seed,Yes,,,,Partium offers a solution for the fast identification of parts within industrial and retail environments.,"E-Commerce, Machine Learning, Product Search, Search Engine, Semantic Search, Software, Visual Search",,"Philadelphia, Pennsylvania, United States, North America",https://partium.io/,$10M to $50M,,3,10776050,USD,10776050,,TechNexus Venture Collaborative,1,,"520,438"
Private Equity Round - Nintex,https://www.crunchbase.com/funding_round/nintex-usa-private-equity--45fcbeb2,Nintex,https://www.crunchbase.com/organization/nintex-usa,Private Equity,,,,2018-02-09,Private Equity,Yes,,,,Nintex enables enterprise it professionals to more easily create and manage simple to sophisticated business processes.,"Analytics, Business Intelligence, Business Process Automation (BPA), Computer Vision, Enterprise Software, Machine Learning, Robotic Process Automation (RPA), Robotics, Software, Virtual Workforce",,"Bellevue, Washington, United States, North America",https://www.nintex.com/,$100M to $500M,M&A,3,135000000,USD,135000000,Thoma Bravo,"Thoma Bravo, Updata Partners",2,1,"523,069"
Funding Round - 1inch Limited,https://www.crunchbase.com/funding_round/1inch-limited-undisclosed--c922827b,1inch Limited,https://www.crunchbase.com/organization/1inch-limited,Funding Round,,,,2022-06-01,,Yes,,,,1inch Limited works with multiple developers and other professionals to develop software and offer it on the SaaS basis.,"Artificial Intelligence (AI), Blockchain, Content Delivery Network, Cryptocurrency, Decentralized Finance (DeFi), Information Services, Information Technology, Non Profit, Open Source, Software",,"Old Road Town, Saint Thomas Middle Island, Saint Kitts and Nevis, North America",https://1inch.io,$10M to $50M,,9,192600000,USD,192600000,,Wave Digital Assets,1,,"524,489"
Seed Round - WhoKnows,https://www.crunchbase.com/funding_round/whoknows-seed--e83821a1,WhoKnows,https://www.crunchbase.com/organization/whoknows,Seed,,,,2016-02-25,Seed,Yes,,,,WhoKnows is the first omni-channel lead gen platform driven by AI that builds optimized lead gen engines for B2B companies.,"Artificial Intelligence (AI), Email Marketing, Internet, Lead Generation, Machine Learning, Marketing, Marketing Automation",,"San Mateo, California, United States, North America",http://www.whoknows.com,$1M to $10M,Seed,5,4750000,USD,4750000,,"Intel Capital, PivotNorth Capital, TechU Ventures",3,1,"525,862"
Seed Round - System AI,https://www.crunchbase.com/funding_round/system-ai-seed--90c99b12,System AI,https://www.crunchbase.com/organization/system-ai,Seed,,,,2016-01-01,Seed,Yes,,,,System AI is a Developer of computing infrastructure technologies,"Artificial Intelligence (AI), Computer, Education, Information Technology, Machine Learning",,"Santa Clara, California, United States, North America",http://www.system.ai/,,Seed,1,,,,,StartX (Stanford-StartX Fund),1,,"641,273"
Seed Round - Altis Labs,https://www.crunchbase.com/funding_round/altis-labs-seed--fb68c222,Altis Labs,https://www.crunchbase.com/organization/altis-labs,Seed,7900000,CAD,6002574,2023-06-21,Seed,Yes,,,,Altis helps biopharma run faster and more successful clinical trials using AI models trained on the world's largest cancer imaging database.,"Bioinformatics, Biopharma, Clinical Trials, Cloud Computing, Enterprise Software, Health Care, Health Diagnostics, Life Science, Machine Learning, Pharmaceutical",,"Toronto, Ontario, Canada, North America",https://altislabs.com/,$1M to $10M,Seed,2,7900000,CAD,6002574,"Benchstrength, Debiopharm Innovation Fund","Benchstrength, Debiopharm Innovation Fund, Douglas Foster, Rich Gliklich",4,2,"642,226"
Seed Round - Cambrium,https://www.crunchbase.com/funding_round/cambrium-seed--c59246b9,Cambrium,https://www.crunchbase.com/organization/cambrium,Seed,,,,2020-08-18,Seed,Yes,,,,Cambrium is engineering biology to create high-performance proteins.,"Advanced Materials, Bioinformatics, Biotechnology, Machine Learning, Robotics",,"Berlin, Berlin, Germany, Europe",https://www.cambrium.bio,,Seed,2,8000000,EUR,8462796,Merantix,Merantix,1,,"642,663"
Pre Seed Round - Markopolo ai,https://www.crunchbase.com/funding_round/markopolo-pre-seed--b0bfe9ce,Markopolo ai,https://www.crunchbase.com/organization/markopolo,Pre-Seed,200000,USD,200000,2021-05-12,Seed,Yes,850000,USD,850000,An AI Co-pilot that allows CMOs tailor individual journeys for every customer based on their previous behavior and preferences.,"Artificial Intelligence (AI), Generative AI, Machine Learning, SaaS",,"Sheridan, Wyoming, United States, North America",https://markopolo.ai/,$1M to $10M,Seed,5,3500000,USD,3500000,Dekko Isho Technologies Ltd. (DITECH),"Dekko Isho Technologies Ltd. (DITECH), Mohammad Maaz",2,,"645,077"
Pre Seed Round - sewts,https://www.crunchbase.com/funding_round/sewts-pre-seed--66ff1035,sewts,https://www.crunchbase.com/organization/sewts,Pre-Seed,,,,2019-12-10,Seed,Yes,,,,"Saas, Robotic, Machine Learning","Machine Learning, Software",,"Garching Bei München, Bayern, Germany, Europe",https://www.sewts.com,$1M to $10M,Early Stage Venture,3,7000000,EUR,7684108,,Initiative for Industrial Innovators,1,,"594,563"
Seed Round - Nfinite,https://www.crunchbase.com/funding_round/hubstairs-seed--3e3fdd24,Nfinite,https://www.crunchbase.com/organization/hubstairs,Seed,2000000,EUR,2340304,2018-06-29,Seed,Yes,,,,Nfinite boosts sales with AI-driven CGI. Now offering AI training and fine-tuning with tailored synthetic data for better model performance.,"3D Technology, Artificial Intelligence (AI), E-Commerce, Generative AI, Retail Technology, SaaS, Software",,"New York, New York, United States, North America",https://www.nfinite.app,,Early Stage Venture,5,122240558,USD,122240558,Investisseurs privés,"Investisseurs privés, Pioneer Fund",2,,"532,064"
Seed Round - Pendulum Systems (formerly Macro-Eyes),https://www.crunchbase.com/funding_round/macro-eyes-seed--d57617bd,Pendulum Systems (formerly Macro-Eyes),https://www.crunchbase.com/organization/macro-eyes,Seed,300000,USD,300000,2018-08-26,Seed,Yes,,,,"AI-powered supply chain API that predicts demand, optimizes supply and geolocates - continuously improving on its own.","Artificial Intelligence (AI), Machine Learning, Scheduling, Software, Supply Chain Management",,"Seattle, Washington, United States, North America",https://www.pendulum.global/,,Seed,7,2700000,USD,2700000,,"Decisive Point, The Draper Richards Kaplan Foundation",2,,"532,492"
Secondary Market - 1inch Limited,https://www.crunchbase.com/funding_round/1inch-limited-secondary-market--75fa5c5f,1inch Limited,https://www.crunchbase.com/organization/1inch-limited,Secondary Market,,,,2022-05-15,,No,,,,1inch Limited works with multiple developers and other professionals to develop software and offer it on the SaaS basis.,"Artificial Intelligence (AI), Blockchain, Content Delivery Network, Cryptocurrency, Decentralized Finance (DeFi), Information Services, Information Technology, Non Profit, Open Source, Software",,"Old Road Town, Saint Thomas Middle Island, Saint Kitts and Nevis, North America",https://1inch.io,$10M to $50M,,9,192600000,USD,192600000,,Platinum Capital,1,,"533,901"
Venture Round - Augur,https://www.crunchbase.com/funding_round/augur-2-series-unknown--c178fff4,Augur,https://www.crunchbase.com/organization/augur-2,Venture - Series Unknown,,,,2017-10-01,,Yes,,,,"Augur is an open-source, decentralized prediction market platform.","Bitcoin, Internet, Market Research, Prediction Markets, Predictive Analytics",,"San Francisco, California, United States, North America",http://www.augur.net,$10M to $50M,Private Equity,4,5300000,USD,5300000,,,,,"534,703"
Post-IPO Secondary - Cloudera,https://www.crunchbase.com/funding_round/cloudera-post-ipo-secondary--ca965065,Cloudera,https://www.crunchbase.com/organization/cloudera,Post-IPO Secondary,,,,2018-04-07,,No,,,,Cloudera is a software development company that offers data management and cloud-native data analytic solutions.,"Analytics, Artificial Intelligence (AI), Cloud Computing, Data Governance, Data Management, Enterprise Software, InsurTech, Machine Learning, Software",,"Santa Clara, California, United States, North America",http://www.cloudera.com,$500M to $1B,M&A,13,1041000000,USD,1041000000,,Manhattan Venture Partners (MVP),1,1,"370,948"
