Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Industries,Organization Description,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Sibli,https://www.crunchbase.com/funding_round/responsibli-seed--45a27380,Sibli,https://www.crunchbase.com/organization/responsibli,Seed,4500000,USD,4500000,2024-02-13,Seed,,,,Yes,"Artificial Intelligence (AI), Software, Web Development",Sibli is a firm that uses artificial intelligence to transform the investment research process.,,"Montréal, Quebec, Canada, North America",https://sibli.ai/,,4510000,USD,4510000,Seed,3,Staircase Ventures,"Burst Capital, MaRS Investment Accelerator Fund, Staircase Ventures, The Group Ventures",1,4,"11,966"
Seed Round - Raspberry AI,https://www.crunchbase.com/funding_round/raspberry-ai-seed--dbe1d036,Raspberry AI,https://www.crunchbase.com/organization/raspberry-ai,Seed,4500000,USD,4500000,2024-02-28,Seed,,,,Yes,"Artificial Intelligence (AI), Fashion, Product Design, Software",Raspberry AI helps retail companies design styles that are in high demand.,Women Founded,"New York, New York, United States, North America",https://www.useraspberry.com,,4500000,USD,4500000,Seed,1,"Greycroft, Khosla Ventures","Correlation Ventures, Daughters Capital, Fernbrook Capital Management LLC, Greycroft, Khosla Ventures, Michael Mente, MVP Ventures",,7,"13,966"
Seed Round - Vimcal,https://www.crunchbase.com/funding_round/vimcal-seed--6a0c8b3a,Vimcal,https://www.crunchbase.com/organization/vimcal,Seed,4500000,USD,4500000,2023-11-28,Seed,,,,Yes,"Apps, Artificial Intelligence (AI), iOS",Vimcal is a calendar app that serves as an exective assistant.,,"San Francisco, California, United States, North America",https://www.vimcal.com/,$1M to $10M,6400000,USD,6400000,Seed,3,Altos Ventures,Altos Ventures,1,1,"18,202"
Pre Seed Round - BioPhy,https://www.crunchbase.com/funding_round/biophy-pre-seed--d64a5ef6,BioPhy,https://www.crunchbase.com/organization/biophy,Pre-Seed,4500000,USD,4500000,2023-11-07,Seed,,,,Yes,"Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology",BioPhy’s patent pending AI brings predictability and quantifiable risk to drug development,,"Philadelphia, Pennsylvania, United States, North America",https://www.biophy.ai,,4500000,USD,4500000,Seed,1,Metrodora Ventures,"Audere Capital, Jeffrey Marrazzo, Metrodora Ventures, TRCM Fund",1,4,"18,513"
Grant - Atlas,https://www.crunchbase.com/funding_round/atlas-6379-grant--c785bb6f,Atlas,https://www.crunchbase.com/organization/atlas-6379,Grant,4500000,USD,4500000,2024-02-07,,,,,No,"3D Technology, Artificial Intelligence (AI)",Atlas builds cutting edge generative 3D AI technology to enable the creation of assets & virtual worlds.,,"Vienna, Wien, Austria, Europe",https://antinomy.ltd/,,10500000,USD,10500000,Seed,2,The Austrian Research Promotion Agency (FFG),The Austrian Research Promotion Agency (FFG),,1,"22,451"
Seed Round - CitrusX,https://www.crunchbase.com/funding_round/citrusx-seed--c6dc3e74,CitrusX,https://www.crunchbase.com/organization/citrusx,Seed,4500000,USD,4500000,2023-12-11,Seed,,,,Yes,"Artificial Intelligence (AI), Machine Learning, Risk Management, Software",Citrusx is a trusted end-to-end platform for AI transparency and explainability helping organizations develop confidence in their models.,,"Tel Aviv, Tel Aviv, Israel, Asia",https://citrusx.ai/,,4500000,USD,4500000,Seed,1,Awz Ventures,Awz Ventures,,1,"35,063"
Seed Round - Neocom,https://www.crunchbase.com/funding_round/neocom-ai-seed--ffdc9907,Neocom,https://www.crunchbase.com/organization/neocom-ai,Seed,4500000,USD,4500000,2023-09-28,Seed,,,,Yes,"Artificial Intelligence (AI), Internet, Machine Learning, SaaS, Software",We eliminate choice overload with our guided product advisors and use zero-party data to deliver profound customer insights to our clients.,,"Boston, Massachusetts, United States, North America",https://neocom.ai,,4500000,USD,4500000,Seed,2,Carbide Ventures,"Carbide Ventures, Lennard Grewe, Paul Müller, Sangha Capital",1,4,"44,978"
Seed Round - Kombai,https://www.crunchbase.com/funding_round/kombai-seed--e6bde1a6,Kombai,https://www.crunchbase.com/organization/kombai,Seed,4500000,USD,4500000,2023-08-23,Seed,,,,Yes,"Artificial Intelligence (AI), Developer Tools, Web Apps, Web Development",A new AI model that trained to understand and code UI designs like humans,,"Palo Alto, California, United States, North America",https://kombai.com/,$1M to $10M,4500000,USD,4500000,Seed,1,"Foundation Capital, Stellaris Venture Partners","Foundation Capital, Stellaris Venture Partners",2,2,"63,683"
Seed Round - ePallet,https://www.crunchbase.com/funding_round/epallet-seed--b8143820,ePallet,https://www.crunchbase.com/organization/epallet,Seed,4500000,USD,4500000,2023-07-12,Seed,,,,Yes,"Artificial Intelligence (AI), Logistics, Machine Learning, Manufacturing, Marketplace",ePallet is an AI-powered marketplace and logistics platform that allows manufacturers to sell direct to pallet-quantity buyers efficiently.,,"Agoura Hills, California, United States, North America",https://www.epallet.com,$10M to $50M,4500000,USD,4500000,Seed,2,,"Bowery Capital, C2 Ventures, I2BF Global Ventures, Junction Venture Partners, SilverCircle",1,5,"69,549"
Series A - Globaleur,https://www.crunchbase.com/funding_round/globaleur-series-a--0aed1d53,Globaleur,https://www.crunchbase.com/organization/globaleur,Series A,4500000,USD,4500000,2023-07-21,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Developer APIs, Machine Learning, Software, Tourism, Travel",Globaleur provides digital infrastructure driven by AI for companies in Travel & Hospitality and Mobility,"Women Founded, Women Led","Santa Clara, California, United States, North America",https://www.globaleur.com/,$1M to $10M,7997482,USD,7997482,Early Stage Venture,7,,"Big Basin Capital, Hi Investment Partners, KNet Investment Partners, Z Venture Capital",1,4,"107,482"
Seed Round - Jobright,https://www.crunchbase.com/funding_round/jobright-seed--1344b01c,Jobright,https://www.crunchbase.com/organization/jobright,Seed,4500000,USD,4500000,2023-07-15,Seed,,,,Yes,"Artificial Intelligence (AI), Employment, Recruiting, Search Engine","Jobright is your AI job search copilot - more interviews, less effort.",,"Santa Clara, California, United States, North America",https://jobright.ai,,4500000,USD,4500000,Seed,1,,,,,"115,580"
Venture Round - Arch Systems,https://www.crunchbase.com/funding_round/arch-systems-series-unknown--42743e6b,Arch Systems,https://www.crunchbase.com/organization/arch-systems,Venture - Series Unknown,4500000,USD,4500000,2023-07-14,,,,,Yes,"Artificial Intelligence (AI), Industrial Automation, Internet of Things, Machine Learning, Predictive Analytics",Arch Systems provides an industry-4.0 machine data and AI platform for electronics and discrete manufacturers.,,"Palo Alto, California, United States, North America",https://archsys.io/,$10M to $50M,27600000,USD,27600000,,4,,,,,"370,511"
Series A - Explurger,https://www.crunchbase.com/funding_round/explurger-series-a--94d8e555,Explurger,https://www.crunchbase.com/organization/explurger,Series A,373000000,INR,4493145,2024-02-14,Early Stage Venture,3380000000,INR,40715362,Yes,"Artificial Intelligence (AI), Internet, Media and Entertainment, Social Media",Explurger: Get Out Get Social,,"Delhi, Delhi, India, Asia",https://www.explurger.com/,$1M to $10M,5493145,USD,5493145,Early Stage Venture,2,Affle,Affle,,1,"19,715"
Series A - ADDD,https://www.crunchbase.com/funding_round/dalgo-series-a--232d5017,ADDD,https://www.crunchbase.com/organization/dalgo,Series A,5700000000,KRW,4486864,2023-06-15,Early Stage Venture,,,,Yes,"Advertising, Artificial Intelligence (AI), Marketing",ADDD is a peer-to-peer advertising platform.,,"Yeoksamdong, Seoul-t'ukpyolsi, South Korea, Asia",http://www.addd.co.kr,,5700000000,KRW,4486864,Early Stage Venture,6,,"Devsisters Ventures, FuturePlay, Korea Credit Guarantee Fund, POSTECH Holdings, Shinhan Asset Management, The Wells Investment",,6,"647,108"
Seed Round - Armilla AI,https://www.crunchbase.com/funding_round/armilla-ai-seed--312237fb,Armilla AI,https://www.crunchbase.com/organization/armilla-ai,Seed,6000000,CAD,4455616,2024-02-15,Seed,,,,Yes,"Artificial Intelligence (AI), Software",Armilla AI is a governance platform that enables algorithmic accountability to drive ethical decisions with transparency.,,"Toronto, Ontario, Canada, North America",https://www.armilla.ai,$1M to $10M,6455616,USD,6455616,Seed,5,Mistral Venture Partners,"Chaucer, Greenlight Reinsurance, Mistral Venture Partners, Morgan Creek Digital, MS&AD Ventures, SixThirty, Y Combinator",2,7,"8,272"
Seed Round - DGG,https://www.crunchbase.com/funding_round/dgg-611f-seed--c4f14da8,DGG,https://www.crunchbase.com/organization/dgg-611f,Seed,4000000,EUR,4453852,2023-07-20,Seed,,,,Yes,"3D Technology, Artificial Intelligence (AI), Augmented Reality, E-Commerce, SaaS, Software, Virtual Reality","DGG is a German deep tech SaaS company, creating RapidCompact - the world's leading platform for 3D data optimization.",,"Darmstadt, Hessen, Germany, Europe",https://rapidcompact.com,Less than $1M,4760000,EUR,5349200,Seed,2,IRIS,"3VC, Charlie Songhurst, Chris Schagen, FTTF, IRIS, Rendered VC",1,6,"463,827"
Seed Round - Evja,https://www.crunchbase.com/funding_round/evja-seed--e6975e08,Evja,https://www.crunchbase.com/organization/evja,Seed,4200000,EUR,4439042,2023-09-26,Seed,,,,Yes,"Agriculture, AgTech, Artificial Intelligence (AI), Big Data, Information Services, Internet, Software","Evja is revolutionizing agriculture by combining Artificial Intelligence, Internet of Things and Agronomic Models.",,"Naples, Campania, Italy, Europe",https://www.evja.eu,$1M to $10M,4285000,EUR,4533608,Seed,7,"CDP Venture Capital, Sefea Impact","CDP Venture Capital, Sefea Impact, Startupbootcamp FoodTech Rome",2,3,"53,102"
Venture Round - Rapeech,https://www.crunchbase.com/funding_round/rapeech-series-unknown--55e7f65b,Rapeech,https://www.crunchbase.com/organization/rapeech,Venture - Series Unknown,6000000000,KRW,4430039,2024-05-17,,,,,Yes,"Artificial Intelligence (AI), Information Technology, VoIP",Rapeech is an AI voice technology company that provides product development services.,,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://rapeech.com/,,6000000000,KRW,4430039,,1,Capstone Partners,"Capstone Partners, Timepolio Asset Management",,2,"10,414"
Venture Round - Pillar,https://www.crunchbase.com/funding_round/pillar-6654-series-unknown--cec3de98,Pillar,https://www.crunchbase.com/organization/pillar-6654,Venture - Series Unknown,4408246,USD,4408246,2023-07-05,,,,,Yes,"Artificial Intelligence (AI), Employment, Human Resources","Pillar is an interview intelligence platform that coaches and guides teams to hire faster, better, and more equitably.",,"Indianapolis, Indiana, United States, North America",https://www.pillar.hr/,,7133246,USD,7133246,,3,,,,,"394,656"
Seed Round - Particle.News,https://www.crunchbase.com/funding_round/particle-news-seed--88237f99,Particle.News,https://www.crunchbase.com/organization/particle-news,Seed,4400000,USD,4400000,2024-03-01,Seed,,,,Yes,"Artificial Intelligence (AI), News",Particle.News helps in developing an AI-based news reader that would provide users with personalized news flows.,,"San Rafael, California, United States, North America",https://www.particlenews.ai/,,15300000,USD,15300000,Early Stage Venture,2,,"Adverb Ventures, Arya Asemanfar, Dani Gallagher, Evan Williams, James Gallagher, Jonathan Chen, Kindred Ventures, Mo Al Adham, Nick Kallen, Scott Belsky",,10,"7,671"
Seed Round - Retell AI,https://www.crunchbase.com/funding_round/retell-ai-seed--65028603,Retell AI,https://www.crunchbase.com/organization/retell-ai,Seed,4400000,USD,4400000,2024-04-03,Seed,,,,Yes,"Artificial Intelligence (AI), Audio, Developer APIs, Developer Tools",Retell AI offers an API for generating voice AI agents capable of engaging in interactions similar to humans.,Women Founded,"San Francisco, California, United States, North America",https://retellai.com,,4525000,USD,4525000,Seed,2,Alt Capital,"Aaron Levie, Alex Levin, Alt Capital, Michael Seibel, Peer Richelsen, Rajat Suri, Richard Aberman, Siqi Chen, Tarek Alaruri, Tyler Bosmeny, Y Combinator",,11,"7,752"
Grant - Curi Bio,https://www.crunchbase.com/funding_round/nanosurface-biomedical-grant--509f044b,Curi Bio,https://www.crunchbase.com/organization/nanosurface-biomedical,Grant,4400000,USD,4400000,2023-08-23,,,,,No,"Artificial Intelligence (AI), Biopharma, Biotechnology, Medical, Service Industry","Curi Bio integrates human stem cells, systems, and AI-enabled data analytics for the development of new therapeutics.",,"Seattle, Washington, United States, North America",https://www.curibio.com,$1M to $10M,20400000,USD,20400000,Early Stage Venture,3,National Institutes of Health,National Institutes of Health,,1,"88,896"
Seed Round - aiz Entertainment,https://www.crunchbase.com/funding_round/aiz-entertainment-seed--19983f00,aiz Entertainment,https://www.crunchbase.com/organization/aiz-entertainment,Seed,6000000000,KRW,4387826,2024-05-02,Seed,,,,Yes,"Artificial Intelligence (AI), Media and Entertainment, Software",aiz Entertainment uses AI technology to generate interesting content.,,"Pangyo, Kyonggi-do, South Korea, Asia",https://www.aizentertainment.com,,16000000000,KRW,11878573,Seed,2,LB Investment,"LB Investment, Stone Bridge Ventures",,2,"12,321"
Venture Round - Q-Bot,https://www.crunchbase.com/funding_round/q-bot-series-unknown--12fb504d,Q-Bot,https://www.crunchbase.com/organization/q-bot,Venture - Series Unknown,3500000,GBP,4371366,2023-09-13,,,,,Yes,"Artificial Intelligence (AI), Computer, Robotics, Software",Q-Bot is a robotics company that develops intelligent tools for a wide range of industries and applications.,,"Wandsworth, Wandsworth, United Kingdom, Europe",http://q-bot.co,$1M to $10M,19986299,USD,19986299,,10,EMV Capital,"2050 Capital, Adjuvo, EMV Capital, Wealth Club",1,4,"32,236"
Series A - Recharge Véhicule Électrique inc.,https://www.crunchbase.com/funding_round/recharge-véhicule-électrique-inc-series-a--7a0d5665,Recharge Véhicule Électrique inc.,https://www.crunchbase.com/organization/recharge-véhicule-électrique-inc,Series A,6000000,CAD,4357457,2023-11-07,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Charging Infrastructure, CleanTech, Electric Vehicle, Energy Management, Smart Home",We are transforming the home charging industry with our electric vehicle energy management systems (EVEMS).,,"Laval, Quebec, Canada, North America",https://rve.ca/en,,7800000,CAD,5693016,Early Stage Venture,2,Fondaction,"Export Development Canada, Fondaction, Investissement Quebec",2,3,"34,660"
Seed Round - Rhino Health,https://www.crunchbase.com/funding_round/rhino-health-seed--a7012c0b,Rhino Health,https://www.crunchbase.com/organization/rhino-health,Seed,4350000,USD,4350000,2023-07-24,Seed,,,,Yes,"Artificial Intelligence (AI), Health Care, Software",Rhino Health develops a federated compute platform for privacy-preserving artificial intelligence applications.,,"Boston, Massachusetts, United States, North America",http://www.rhinohealth.com,$1M to $10M,16049999,USD,16049999,Seed,4,,,,,"107,509"
Seed Round - Deemea,https://www.crunchbase.com/funding_round/deemea-seed--cd867549,Deemea,https://www.crunchbase.com/organization/deemea,Seed,4000000,EUR,4349585,2024-06-05,Seed,,,,Yes,"Artificial Intelligence (AI), Database, Health Care, Software",Re-imaging biomedical research,,"Paris, Ile-de-France, France, Europe",https://deemea.com,,5762000,EUR,6395967,Seed,5,,"Karista, YZR Capital",,2,"2,371"
Seed Round - Exactly.ai,https://www.crunchbase.com/funding_round/exactly-ai-seed--c0ebfe03,Exactly.ai,https://www.crunchbase.com/organization/exactly-ai,Seed,4000000,EUR,4332563,2024-05-30,Seed,,,,Yes,"Artificial Intelligence (AI), Graphic Design, Machine Learning, Product Design, SaaS, Software, Web Design",Exactly.ai is an artwork creation platform. It allows users to create their personal AI models trained on their work and publish them.,,"London, England, United Kingdom, Europe",https://exactly.ai/,$1M to $10M,4000000,EUR,4332563,Seed,1,Speedinvest,"Cornerstone VC, GuruDev Capital, InReach Ventures, Nextblue, Speedinvest",2,5,"3,995"
Seed Round - Scienta Lab,https://www.crunchbase.com/funding_round/scienta-lab-seed--67c7dfdf,Scienta Lab,https://www.crunchbase.com/organization/scienta-lab,Seed,4000000,EUR,4317789,2023-12-05,Seed,,,,Yes,"Artificial Intelligence (AI), Health Care, Medical",Scienta Lab is an AI-powered platform pioneering Precision Immunology,,"Paris, Ile-de-France, France, Europe",https://www.scientalab.com,,4000000,EUR,4317789,Seed,2,Flavien Kulawik,"CentraleSupélec Venture, Flavien Kulawik, Guillaume Amblard",,3,"49,998"
Seed Round - Castellum.AI,https://www.crunchbase.com/funding_round/castellum-ai-seed--e936fa12,Castellum.AI,https://www.crunchbase.com/organization/castellum-ai,Seed,4000000,EUR,4314999,2023-09-01,Seed,,,,Yes,"Analytics, Artificial Intelligence (AI), Compliance, SaaS, Software","Castellum.AI is the most accurate, reliable and fastest financial crime prevention solution.",,"Manhattan, New York, United States, North America",https://www.Castellum.AI/,$1M to $10M,4464999,USD,4464999,Seed,2,Spider Capital,"Cameron Ventures, Newfund, Remarkable Ventures, Spider Capital",,4,"38,957"
Seed Round - Play AI,https://www.crunchbase.com/funding_round/play-ai-seed--098e6e4a,Play AI,https://www.crunchbase.com/organization/play-ai,Seed,4300000,USD,4300000,2024-05-29,Seed,65700000,USD,65700000,Yes,"Artificial Intelligence (AI), Gaming",Play AI operates as a modular chain for AI in gaming.,,,https://playai.network/,,4300000,USD,4300000,Seed,1,,"Alphawave Group, Floyd Perridon, Gabby Dizon, Jeffrey Zirlin, Jump Crypto, MH Ventures, Polygon Ventures, Sandeep Nailwal, Tykhe Block Ventures, Zentry",,10,"4,176"
Seed Round - Giftpack,https://www.crunchbase.com/funding_round/giftpack-seed--da9ff0ad,Giftpack,https://www.crunchbase.com/organization/giftpack,Seed,4300000,USD,4300000,2023-09-21,Seed,,,,Yes,"Artificial Intelligence (AI), Big Data, CRM, E-Commerce, Gift, Logistics, Machine Learning, SaaS, Software",Giftpack is a smart gifting platform for global business,Women Founded,"New York, New York, United States, North America",https://giftpack.ai,$1M to $10M,5300000,USD,5300000,Seed,4,Chang Hai Lin,"Accelerating Asia, Alex Miller, Axxel Marketing, Chang Hai Lin, Chih Heng Yeh, Christopher Yang, Digital Garage (TSE: 4819), Draper Startup House Ventures, Katya Kohen, Mike Cooney, Shao-Hua Wu, Tech Coast Angels, Teddy Chen, Umami Capital",1,14,"16,771"
Seed Round - Louisa AI,https://www.crunchbase.com/funding_round/louisa-ai-seed--b8f85436,Louisa AI,https://www.crunchbase.com/organization/louisa-ai,Seed,4300000,USD,4300000,2023-09-01,Seed,20000000,USD,20000000,Yes,"Artificial Intelligence (AI), Big Data, Software","Louisa is an AI Sales Enablement platform for finance and consulting companies by connecting expertise, relationships, and intelligence.",,"New York, New York, United States, North America",https://www.louisa.ai,,9300000,USD,9300000,Seed,2,NLS Ventures,"NLS Ventures, Oxonian Ventures",,2,"26,677"
Seed Round - Cleric,https://www.crunchbase.com/funding_round/cleric-73c7-seed--986d9059,Cleric,https://www.crunchbase.com/organization/cleric-73c7,Seed,4300000,USD,4300000,2024-03-21,Seed,,,,Yes,"Artificial Intelligence (AI), Software",Cleric is an AI teammate that frees software engineers up from on-call support.,,"San Francisco, California, United States, North America",https://cleric.io,,4300000,USD,4300000,Seed,1,Zetta Venture Partners,Zetta Venture Partners,1,1,"29,511"
Seed Round - Gleen AI,https://www.crunchbase.com/funding_round/helix-ec42-seed--979c9c71,Gleen AI,https://www.crunchbase.com/organization/helix-ec42,Seed,4300000,USD,4300000,2023-09-05,Seed,,,,Yes,"Artificial Intelligence (AI), Communities, Customer Service, Generative AI, Information Technology, Machine Learning",Most Accurate and Capable Generative AI Platform for CX,,"San Francisco, California, United States, North America",https://gleen.ai/,,4900000,USD,4900000,Seed,2,Slow Ventures,"6th Man Ventures, CoinShares, Krust, Script Capital, Slow Ventures, South Park Commons, The Spartan Group",,7,"55,185"
Seed Round - Ocean Sky Network,https://www.crunchbase.com/funding_round/ocean-sky-network-seed--f312d189,Ocean Sky Network,https://www.crunchbase.com/organization/ocean-sky-network,Seed,4300000,USD,4300000,2023-06-22,Seed,,,,Yes,"Artificial Intelligence (AI), Software",Ocean Sky Network's accessible data analytics and research tools that bring the data closer.,,"Bangkok, Krung Thep, Thailand, Asia",https://www.oceanskynetwork.com,,4300000,USD,4300000,Seed,1,,,,,"306,364"
Series A - Global Telecom,https://www.crunchbase.com/funding_round/global-telecom-corp-series-a--07ec3035,Global Telecom,https://www.crunchbase.com/organization/global-telecom-corp,Series A,4287812,USD,4287812,2024-03-13,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Hardware, Internet of Things, Mobile, Mobile Devices, Quantum Computing, Software, Telecommunications, Wireless","Global Telecom engineers hardware, software and AI solutions that enable a reliable and secure Internet of Things (IoT).",,"Irvine, California, United States, North America",https://glob-tel.com/,$1M to $10M,4287812,USD,4287812,Early Stage Venture,1,Stormbreaker Ventures,Stormbreaker Ventures,1,1,"13,006"
Seed Round - Athenic AI,https://www.crunchbase.com/funding_round/askedith-seed--1d5c4f4e,Athenic AI,https://www.crunchbase.com/organization/askedith,Seed,4279997,USD,4279997,2023-08-07,Seed,,,,Yes,"Analytics, Artificial Intelligence (AI), Database",Athenic AI is a data analytics platform that helps resolve analytical business problems.,,"San Francisco, California, United States, North America",https://Athenic.com,,4279997,USD,4279997,Seed,1,,,,,"114,375"
Debt Financing - Chef Robotics,https://www.crunchbase.com/funding_round/chef-robotics-debt-financing--dce9cc1a,Chef Robotics,https://www.crunchbase.com/organization/chef-robotics,Debt Financing,4250000,USD,4250000,2023-09-26,,,,,No,"Artificial Intelligence (AI), Food and Beverage, Machine Learning, Robotics",Chef Robotics is a robotics and artificial intelligence company serving the food industry.,,"San Francisco, California, United States, North America",http://chefrobotics.ai,$1M to $10M,22500000,USD,22500000,Seed,6,,Silicon Valley Bank,,1,"31,080"
Venture Round - Aiera,https://www.crunchbase.com/funding_round/aiera-inc-series-unknown--9ebdc1f9,Aiera,https://www.crunchbase.com/organization/aiera-inc,Venture - Series Unknown,4249915,USD,4249915,2023-06-23,,,,,Yes,"Artificial Intelligence (AI), Big Data, FinTech, Machine Learning",Aiera is an event intelligence and insights platform that leverages adaptive deep learning for fundamental investors.,,"New York, New York, United States, North America",https://www.aiera.com,$1M to $10M,14749915,USD,14749915,,3,,,,,"349,135"
Seed Round - MantiSpectra,https://www.crunchbase.com/funding_round/mantispectra-seed--08eb436f,MantiSpectra,https://www.crunchbase.com/organization/mantispectra,Seed,4000000,EUR,4236570,2023-09-25,Seed,,,,Yes,"AgTech, Artificial Intelligence (AI), Manufacturing",MantiSpectra mission is to make spectral analysis accessible to the general public.,,"Eindhoven, Noord-Brabant, The Netherlands, Europe",https://www.mantispectra.com,$1M to $10M,4000000,EUR,4236570,Seed,1,"Innovation Industries, PhotonVentures","Innovation Industries, PhotonVentures",2,2,"37,736"
Seed Round - Wand App,https://www.crunchbase.com/funding_round/wand-app-seed--e7e18399,Wand App,https://www.crunchbase.com/organization/wand-app,Seed,4200000,USD,4200000,2023-08-23,Seed,,,,Yes,Artificial Intelligence (AI),"Wand is a co-creative, AI-driven tool that allows artists the manual control and customization they need to realise their ideas.",,"New York, New York, United States, North America",https://www.wand.app/,,4200000,USD,4200000,Seed,2,O'Shaughnessy Ventures,"Amy Wu, BDMI, Betaworks, Charge Ventures, Eden Chen, Long Journey Ventures, Notation Capital, O'Shaughnessy Ventures, Steve Martocci, Twelve Below",1,10,"56,772"
Venture Round - Embedl AB,https://www.crunchbase.com/funding_round/embedl-series-unknown--f08e4684,Embedl AB,https://www.crunchbase.com/organization/embedl,Venture - Series Unknown,45000000,SEK,4171332,2023-06-20,,,,,Yes,"Artificial Intelligence (AI), Embedded Systems, Machine Learning, Software",Efficient Deep Learning for Embedded Systems,,"Gothenburg, Vastra Gotaland, Sweden, Europe",https://embedl.com,$1M to $10M,92500000,SEK,8906768,,5,Spintop Ventures,"Almi Invest, Butterfly Ventures, Chalmers Ventures AB, European Innovation Council, Spintop Ventures, Stockholm Business Angels, STOAF",2,6,"96,635"
Series B - Allganize,https://www.crunchbase.com/funding_round/allganize-series-b--4dd2169e,Allganize,https://www.crunchbase.com/organization/allganize,Series B,5400000000,KRW,4158398,2023-11-06,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Enterprise, Enterprise Software, Machine Learning",Allganize provides Natural Language Understanding API and conversational AI for enterprises.,,"Tokyo, Tokyo, Japan, Asia",https://www.allganize.ai/,$1M to $10M,27763751,USD,27763751,Early Stage Venture,6,"InterVest Co., Murex Partners","Atinum Partners, FuturePlay, Global Brain Corporation, InterVest Co., KB Investment, LG Technology Ventures, Murex Partners, SK Telecom, Stone Bridge Ventures",2,9,"13,906"
Seed Round - Frontnow,https://www.crunchbase.com/funding_round/frontnow-seed--baa0b201,Frontnow,https://www.crunchbase.com/organization/frontnow,Seed,3800000,EUR,4152098,2024-03-12,Seed,,,,Yes,"Artificial Intelligence (AI), B2B, Enterprise Software, Generative AI, Retail Technology, SaaS",Enterprise-Grade AI Supercharging Customer Experience,,"Berlin, Berlin, Germany, Europe",https://frontnow.com,Less than $1M,6500000,EUR,7092341,Seed,3,Peak,"identity.vc, Peak, PROfounders Capital",2,3,"15,248"
Seed Round - SensusQ,https://www.crunchbase.com/funding_round/sensus-septima-seed--9c409840,SensusQ,https://www.crunchbase.com/organization/sensus-septima,Seed,3800000,EUR,4132195,2024-06-05,Seed,,,,Yes,"Artificial Intelligence (AI), Information Technology, Software",Domain-independent decision making software delivering foresight and time cost savings in all environments.,,"Tallinn, Harjumaa, Estonia, Europe",https://www.sensusq.com,Less than $1M,5350000,EUR,5788488,Seed,6,New North Ventures,New North Ventures,1,1,"5,856"
Seed Round - HelloBoss,https://www.crunchbase.com/funding_round/helloboss-seed--f4b4a1a0,HelloBoss,https://www.crunchbase.com/organization/helloboss,Seed,600000000,JPY,4129416,2023-12-12,Seed,,,,Yes,"Apps, Artificial Intelligence (AI), Human Resources, Recruiting, Social Recruiting",HelloBoss is an AI-based recruitment platform that promotes the mobility of human resources services for job seekers through an application.,,"Minato, Chiba, Japan, Asia",https://helloboss.com,,600000000,JPY,4129416,Seed,1,Yunqi Partners,"GOLDEN EGG Ventures, Yunqi Partners",4,2,"23,642"
"Seed Round - Doowii, Inc",https://www.crunchbase.com/funding_round/doowii-inc-seed--fa3c2ab9,"Doowii, Inc",https://www.crunchbase.com/organization/doowii-inc,Seed,4100000,USD,4100000,2024-06-06,Seed,,,,Yes,"Artificial Intelligence (AI), Children, EdTech, Education","A predictive, generative-AI data platform that delivers meaningful insights to educators by re-imagining analytics for K-12 education.",,"Boulder, Colorado, United States, North America",https://www.doowii.io/,,4275000,USD,4275000,Seed,2,"Better Ventures, GSV Ventures","Avesta Fund, Better Ventures, Common Sense Growth, GSV Ventures, Imagine Ventures, Reach Capital, Strada Education Network",,7,"4,311"
Seed Round - CerebraAI,https://www.crunchbase.com/funding_round/cerebra-ai-ltd-seed--57f8531a,CerebraAI,https://www.crunchbase.com/organization/cerebra-ai-ltd,Seed,4100000,USD,4100000,2023-10-12,Seed,12000000,USD,12000000,Yes,"Artificial Intelligence (AI), Generative AI, Machine Learning, Medical, Medical Device, Software",Cerebra AI helps in enhancing CT machine efficiency and maximize outcomes for neuroradiology and stroke patients.,,"Almaty, Almaty City, Kazakhstan, Asia",https://www.cerebraai.ai/,$1M to $10M,7040000,USD,7040000,Seed,9,"Big Sky Capital, Timur Turlov","AloqaVentures, Big Sky Capital, MOST Ventures, Timur Turlov, UMAY Angels Club, UZCARD Ventures",,6,"8,610"
