Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Darwinbox,https://www.crunchbase.com/funding_round/darwinbox-seed--e74bf21c,Darwinbox,https://www.crunchbase.com/organization/darwinbox,Seed,547000,USD,547000,2016-07-01,Seed,,,,Yes,Darwinbox is an end-to-end enterprise HR software that enables enterprises to automate the entire employee lifecycle in one HR platform.,,"Artificial Intelligence (AI), Enterprise Software, Human Resources, Machine Learning, SaaS","Hyderabad, Andhra Pradesh, India, Asia",https://darwinbox.com,$100M to $500M,115915502,USD,115915502,Late Stage Venture,10,Endiya Partners,"3one4 Capital, Endiya Partners, StartupXseed Ventures, Tracxn labs",4,3,"496,962"
Seed Round - Unnax,https://www.crunchbase.com/funding_round/unnax-payment-systems-slu-seed--b5481044,Unnax,https://www.crunchbase.com/organization/unnax-payment-systems-slu,Seed,500000,EUR,521881,2016-12-22,Seed,,,,Yes,"Unnax offers bank aggregation, payments, onboarding, and e-money services through a single API.",,"Financial Services, FinTech, Identity Management, Intelligent Systems, Payments","Barcelona, Catalonia, Spain, Europe",http://www.unnax.com,$1M to $10M,9000000,EUR,10918726,M&A,3,,,,,"595,809"
Series A - Faception,https://www.crunchbase.com/funding_round/faception-series-a--a1e36be9,Faception,https://www.crunchbase.com/organization/faception,Series A,500000,USD,500000,2016-07-15,Early Stage Venture,,,,Yes,Faception is a facial personality profiling company.,,"Analytics, Computer Vision, Machine Learning, Personalization, Software","Tel Aviv, Tel Aviv, Israel, Asia",http://www.faception.com/,,625000,USD,625000,Early Stage Venture,2,,FoundersX Ventures,1,,"658,275"
Seed Round - Verv,https://www.crunchbase.com/funding_round/vevr-seed--365b1428,Verv,https://www.crunchbase.com/organization/vevr,Seed,750000,GBP,1066460,2016-01-21,Seed,,,,Yes,"High definition fault detection technology for the next generation of smarter, longer lasting and more sustainable appliances",,"Analytics, Artificial Intelligence (AI), Big Data, Electronics, Internet of Things, Machine Learning, Predictive Analytics, Smart Home, Software","London, England, United Kingdom, Europe",https://verv.energy/,$1M to $10M,16451688,USD,16451688,,12,Ignite Social Enterprise,Ignite Social Enterprise,1,,"644,054"
Seed Round - ThisWay,https://www.crunchbase.com/funding_round/thisway-global-seed--7a11fe22,ThisWay,https://www.crunchbase.com/organization/thisway-global,Seed,649992,USD,649992,2016-03-01,Seed,,,,Yes,ThisWay offers an unbiased candidate matching engine to identify top qualified candidates for every job.,"Women Founded, Women Led","Artificial Intelligence (AI), Blockchain, Human Resources, Machine Learning, Recruiting, Software","Austin, Texas, United States, North America",http://www.thiswayglobal.com,Less than $1M,3872512,USD,3872512,,6,,,,,"644,270"
Grant - Yobe,https://www.crunchbase.com/funding_round/yobe-inc-grant--1df48177,Yobe,https://www.crunchbase.com/organization/yobe-inc,Grant,224588,USD,224588,2016-12-01,,,,,No,Yobe is a software company that develops artificial intelligence powered for the enhanced processing of communications signals.,"Black Founded, Black Led","Artificial Intelligence (AI), Audio, Biometrics, Identity Management, Machine Learning","Boston, Massachusetts, United States, North America",https://yobeinc.com,Less than $1M,5674588,USD,5674588,,4,National Science Foundation,National Science Foundation,1,,"644,349"
Seed Round - Inpher.io,https://www.crunchbase.com/funding_round/inpher-io-seed--32785101,Inpher.io,https://www.crunchbase.com/organization/inpher-io,Seed,1000000,USD,1000000,2016-02-24,Seed,,,,Yes,Inpher.io is a secret computing technology for privacy-preserving machine learning and AI.,,"Artificial Intelligence (AI), Cyber Security, Machine Learning, Predictive Analytics","New York, New York, United States, North America",http://www.inpher.io,$1M to $10M,14000000,USD,14000000,,7,,"Alpana Ventures, Polytech Ventures",2,,"501,666"
Seed Round - CloudZero,https://www.crunchbase.com/funding_round/cloudzero-seed--1fff7ebf,CloudZero,https://www.crunchbase.com/organization/cloudzero,Seed,500000,USD,500000,2016-09-15,Seed,,,,Yes,"CloudZero is a SaaS platform that automates the collection, allocation, and analysis of cloud cost data to reveal opportunities for savings.",,"Cloud Computing, Cloud Management, Developer Tools, DevOps, Machine Learning, SaaS, Software","Boston, Massachusetts, United States, North America",http://www.cloudzero.com,Less than $1M,57125000,USD,57125000,Early Stage Venture,7,"Matrix, Underscore VC","Matrix, Underscore VC",2,2,"645,047"
Convertible Note - Vidrovr,https://www.crunchbase.com/funding_round/vidrovr-convertible-note--54ad9c5a,Vidrovr,https://www.crunchbase.com/organization/vidrovr,Convertible Note,150000,USD,150000,2016-07-01,,,,,No,"Vidrovr develops multimodal computer vision and machine learning systems to index, tag, and understand video. ",,"Machine Learning, Video, Web Design","New York, New York, United States, North America",http://vidrovr.com,$1M to $10M,5294910,USD,5294910,Seed,10,,"Dorm Room Fund, Publicis Groupe, Rough Draft Ventures",3,,"285,272"
Angel Round - Accern,https://www.crunchbase.com/funding_round/accern-angel--2518440e,Accern,https://www.crunchbase.com/organization/accern,Angel,185000,USD,185000,2016-09-01,Seed,,,,Yes,Enable superhuman efficiency across the global workforce with NLP,,"Artificial Intelligence (AI), Big Data, Generative AI, InsurTech, Machine Learning, Natural Language Processing, Text Analytics","New York, New York, United States, North America",https://accern.com,$1M to $10M,37755000,USD,37755000,Early Stage Venture,9,,,,,"483,854"
Seed Round - Transhuman,https://www.crunchbase.com/funding_round/social-health-innovations-seed--c4bd6c68,Transhuman,https://www.crunchbase.com/organization/social-health-innovations,Seed,327841,AUD,235444,2016-05-29,Seed,2000000,AUD,1436333,Yes,AI other technologies with a focus on cognitive and emotional communication for evolution of human language.,"Women Founded, Women Led","Artificial Intelligence (AI), Machine Learning, Mobile Apps","Dover, Delaware, United States, North America",https://transhumaninc.com/,$1M to $10M,2368816,USD,2368816,Early Stage Venture,4,,,,,"241,736"
Angel Round - eCozy,https://www.crunchbase.com/funding_round/ecozy-angel--344cbbae,eCozy,https://www.crunchbase.com/organization/ecozy,Angel,130000,EUR,141551,2016-11-10,Seed,2800000,EUR,3048780,Yes,Your frictionless smart heating experience.,,"Clean Energy, Hardware, Intelligent Systems, Internet of Things, Smart Building, Software","Munich, Bayern, Germany, Europe",https://ecozy.de,$1M to $10M,806345,USD,806345,Seed,6,,,,,"242,407"
Seed Round - AagZil,https://www.crunchbase.com/funding_round/aagzil-inc-seed--34b19d73,AagZil,https://www.crunchbase.com/organization/aagzil-inc,Seed,300000,USD,300000,2016-11-26,Seed,,,,Yes,AagZil is a data acquisition and analytics company that seamlessly integrates the entire Pharma value chain.,,"Analytics, Pharmaceutical, Predictive Analytics, Supply Chain Management","Fremont, California, United States, North America",http://www.AagZil.com,$1M to $10M,300000,USD,300000,Seed,1,,,,,"242,887"
Seed Round - KPI6,https://www.crunchbase.com/funding_round/kpi6-seed--6c9c797b,KPI6,https://www.crunchbase.com/organization/kpi6,Seed,479204,EUR,520330,2016-01-01,Seed,1600000,EUR,1737316,Yes,Transform the way companies launch market research by providing a tool that gives a 360-degree view of consumers’ digital life.,,"Brand Marketing, Business Intelligence, Market Research, Predictive Analytics, Reputation, Software","Rubiera, Emilia-Romagna, Italy, Europe",https://kpi6.com,$1M to $10M,2374204,EUR,2643003,,7,,LVenture Group,1,,"316,877"
Seed Round - Saleswhale,https://www.crunchbase.com/funding_round/saleswhale-seed--6a9b3873,Saleswhale,https://www.crunchbase.com/organization/saleswhale,Seed,120000,USD,120000,2016-08-22,Seed,,,,Yes,Saleswhale develops an AI-driven conversational marketing platform.,,"Artificial Intelligence (AI), Assistive Technology, Marketing Automation, SaaS, Sales Automation","Singapore, Central Region, Singapore, Asia",http://saleswhale.com,$1M to $10M,6620000,USD,6620000,M&A,4,Y Combinator,Y Combinator,1,,"421,854"
Seed Round - Delve Security,https://www.crunchbase.com/funding_round/delve-security-seed--265d1431,Delve Security,https://www.crunchbase.com/organization/delve-security,Seed,1800000,CAD,1355118,2016-12-06,Seed,,,,Yes,"Delve Security develops and provides a complete, automated, AI-Driven vulnerability management solution.",,"Artificial Intelligence (AI), Collaboration, Cyber Security, Data Center Automation, Machine Learning, Productivity Tools, Security, Software","Montréal, Quebec, Canada, North America",https://delvesecurity.com/,$1M to $10M,1800000,CAD,1355118,M&A,3,,"BDC Venture Capital, Real Ventures",2,1,"608,942"
Pre Seed Round - Onteon Tech,https://www.crunchbase.com/funding_round/onteon-pre-seed--351283e8,Onteon Tech,https://www.crunchbase.com/organization/onteon,Pre-Seed,125000,EUR,131420,2016-12-14,Seed,,,,Yes,"Onteon Tech is a deep tech company focused on development and sales of its own products and technologies: Onteon, Hetman, Artifex Middleware",,"Application Performance Management, Apps, DevOps, Information Technology, Internet of Things, Productivity Tools, Robotic Process Automation (RPA), Software, Software Engineering, Web Apps","Kraków, Malopolskie, Poland, Europe",http://www.onteon.tech,Less than $1M,650000,EUR,749574,Seed,3,Krzysztof Polak,Krzysztof Polak,1,,"422,179"
Product Crowdfunding - Glance Tech,https://www.crunchbase.com/funding_round/glance-clock-product-crowdfunding--45376d81,Glance Tech,https://www.crunchbase.com/organization/glance-clock,Product Crowdfunding,460000,USD,460000,2016-09-15,,,,,No,Glance Tech develop consumer devices with a glanceable interface that are connected to our AI-powered cloud platform.,,"Artificial Intelligence (AI), Hardware, Internet of Things, Software","Singapore, Central Region, Singapore, Asia",http://glanceclock.com,$1M to $10M,969300,USD,969300,Seed,4,,,,,"609,185"
Convertible Note - Tamoco,https://www.crunchbase.com/funding_round/tamoco-convertible-note--c4587fbc,Tamoco,https://www.crunchbase.com/organization/tamoco,Convertible Note,600000,USD,600000,2016-05-01,,,,,No,"Tamoco combines accuracy, consent and scale to form the world's smartest geospatial data network.",,"Analytics, B2B, Big Data, Data Center, Geospatial, Location Based Services, Machine Learning, Mobile, Privacy, Software","London, England, United Kingdom, Europe",http://www.tamoco.com,$1M to $10M,6300000,USD,6300000,M&A,4,,"Andrew Xeni, First Eastern Investment Group, Rianta Capital, Rune Bromer, Tom Singh",5,,"422,272"
Seed Round - Novofina,https://www.crunchbase.com/funding_round/novofina-seed--fdfe9278,Novofina,https://www.crunchbase.com/organization/novofina,Seed,1000000,EUR,1083046,2016-01-31,Seed,,,,Yes,Algorithm-based Wealth Management FinTech/WealthTech — New Finance,,"Artificial Intelligence (AI), Finance, Financial Services, FinTech, Wealth Management","Mosta, NA - Malta, Malta, Europe",http://www.novofina.com,$1M to $10M,1600000,EUR,1903162,Seed,2,,,,,"422,406"
Seed Round - Ation Labs Corp.,https://www.crunchbase.com/funding_round/ation-labs-corp-seed--37f6f001,Ation Labs Corp.,https://www.crunchbase.com/organization/ation-labs-corp,Seed,400000,USD,400000,2016-12-10,Seed,,,,Yes,Tech Innovative Product Company,,"Artificial Intelligence (AI), Product Research, Robotics","Los Angeles, California, United States, North America",http://www.ationlabs.com,,400000,USD,400000,Seed,1,,,,,"254,893"
Angel Round - Blue Matador,https://www.crunchbase.com/funding_round/blue-matador-inc-angel--199001dc,Blue Matador,https://www.crunchbase.com/organization/blue-matador-inc,Angel,300000,USD,300000,2016-10-21,Seed,,,,Yes,"Automated Monitoring for AWS, Kubernetes, and more",,"Analytics, B2B, Cloud Computing, Cloud Infrastructure, Enterprise Software, IT Infrastructure, Machine Learning","South Jordan, Utah, United States, North America",https://www.bluematador.com,$1M to $10M,3150000,USD,3150000,Seed,5,,,,,"254,918"
Seed Round - Limitless,https://www.crunchbase.com/funding_round/limitless-2-seed--10a90406,Limitless,https://www.crunchbase.com/organization/limitless-2,Seed,800000,GBP,998627,2016-11-25,Seed,,,,Yes,The Limitless GigCX platform enables businesses to connect customers with qualified experts to solve customer service enquiries on-demand.,,"Apps, Artificial Intelligence (AI), Customer Service, Internet","London, England, United Kingdom, Europe",http://www.limitlesstech.com,$100M to $500M,20511694,USD,20511694,Early Stage Venture,4,Unilever Ventures,Unilever Ventures,1,1,"543,939"
Angel Round - Vakong,https://www.crunchbase.com/funding_round/vakong-angel--71733451,Vakong,https://www.crunchbase.com/organization/vakong,Angel,3000000,CNY,452150,2016-08-03,Seed,,,,Yes,Vakong is a security equipment service provider based in Guangdong Province.,,"Intelligent Systems, Security","Longgang, Guangdong, China, Asia",https://www.vakong.com/,,3000000,CNY,452150,Seed,1,Qianying Ziben,Qianying Ziben,1,,"255,375"
Seed Round - AERVIO,https://www.crunchbase.com/funding_round/aervio-seed--058426a5,AERVIO,https://www.crunchbase.com/organization/aervio,Seed,150000,EUR,170848,2016-04-04,Seed,,,,Yes,Aervio is a travel management platform for booking process that integrates AI.,,"Artificial Intelligence (AI), Billing, Intelligent Systems, Meeting Software, Natural Language Processing, Online Portals, Recreation, Rental, Software, Travel","Barcelona, Catalonia, Spain, Europe",http://www.aervio.com/,Less than $1M,1700000,EUR,1958663,Seed,6,,,,,"544,835"
Corporate Round - Mobilus,https://www.crunchbase.com/funding_round/mobilus-corporation-corporate-round--6db3a25a,Mobilus,https://www.crunchbase.com/organization/mobilus-corporation,Corporate Round,30625000,JPY,271313,2016-02-22,,,,,Yes,Mobilus provides communication platforms and develops communication solutions that utilize mobile and artificial intelligence.,,"Artificial Intelligence (AI), Content, CRM, Embedded Software, Enterprise Software, SNS, Software, Task Management","Tokyo, Tokyo, Japan, Asia",http://mobilus.co.jp/,$10M to $50M,1265185700,JPY,11546235,,5,OKWave,OKWave,1,,"155,662"
Venture Round - Loyalty Builders,https://www.crunchbase.com/funding_round/loyalty-builders-series-unknown--ccd80403,Loyalty Builders,https://www.crunchbase.com/organization/loyalty-builders,Venture - Series Unknown,702000,USD,702000,2016-04-18,,,,,Yes,Loyalty Builders offers analytics process and web-based tool that empowers marketers to target individual customers.,,"Advertising, Analytics, Marketing, Predictive Analytics","Portsmouth, New Hampshire, United States, North America",http://www.loyaltybuilders.com/,$1M to $10M,2527462,USD,2527462,,2,,,,,"341,201"
Grant - Authenteq - an FNZ company,https://www.crunchbase.com/funding_round/authenteq-grant--5abe5542,Authenteq - an FNZ company,https://www.crunchbase.com/organization/authenteq,Grant,370000,USD,370000,2016-05-25,,45000000,ISK,359859,No,"Authenteq is the world’s first fully automated KYC identity verification platform. Verify identities instantly, onboard users in 35 seconds.",,"Asset Management, Banking, Blockchain, Compliance, Cryptocurrency, FinTech, Insurance, Machine Learning, Software, Wealth Management","Reykjavík, Gullbringusysla, Iceland, Europe",https://onboarding.fnz.com/solutions/id-verification,$1M to $10M,8169231,USD,8169231,M&A,9,Technology Development Fund,Technology Development Fund,1,,"201,156"
Pre Seed Round - Cardiomo,https://www.crunchbase.com/funding_round/cardiomo-care-pre-seed--fa6c26bd,Cardiomo,https://www.crunchbase.com/organization/cardiomo-care,Pre-Seed,130000,USD,130000,2016-08-09,Seed,1900000,USD,1900000,Yes,"AI-based Remote Patient Monitoring solution to deliver real-time, actionable insights to enable early detection of heart diseases.","Women Founded, Women Led","Artificial Intelligence (AI), Health Care, Machine Learning, Medical Device, Wearables","Amsterdam, Noord-Holland, The Netherlands, Europe",http://cardiomo.com/,$1M to $10M,976836,USD,976836,Seed,10,Starta Accelerator,"Starta Accelerator, Starta VC",2,,"342,398"
Angel Round - iDataPower,https://www.crunchbase.com/funding_round/idatapower-angel--35a5686e,iDataPower,https://www.crunchbase.com/organization/idatapower,Angel,2000000,CNY,297375,2016-10-13,Seed,,,,Yes,iDataPower focuses on healthcare data mining and human intelligence research work.,,"Analytics, Artificial Intelligence (AI), Data Mining, Health Care, Software","Beijing, Beijing, China, Asia",http://www.idatapower.com/,$1M to $10M,2000000,CNY,297375,Seed,1,,Shangshi Fund,1,,"560,925"
Seed Round - Foxintelligence,https://www.crunchbase.com/funding_round/foxintelligence-seed--75974ea0,Foxintelligence,https://www.crunchbase.com/organization/foxintelligence,Seed,1000000,EUR,1063321,2016-11-21,Seed,,,,Yes,Foxintelligence provides reliable insights available for e-commerce.,,"Artificial Intelligence (AI), Big Data, Business Intelligence, E-Commerce, Market Research, Software","Paris, Ile-de-France, France, Europe",https://www.foxintelligence.io,$10M to $50M,19406286,USD,19406286,M&A,4,Global Founders Capital,"Daphni, Global Founders Capital, IronCapital, Kima Ventures, Le Studio VC, Partech",6,2,"561,134"
Convertible Note - firstAI,https://www.crunchbase.com/funding_round/syndicated-loan-direct-convertible-note--6b21e890,firstAI,https://www.crunchbase.com/organization/syndicated-loan-direct,Convertible Note,1435000,USD,1435000,2016-07-29,,,,,No,firstAI extracts data from complex unstructured contracts in leveraged finance and CMBS,Women Founded,"Analytics, Artificial Intelligence (AI), Finance, FinTech, Natural Language Processing","New York, New York, United States, North America",http://www.firstai.co,$1M to $10M,3535000,USD,3535000,Seed,3,,"Frank Sica, ValueStream Ventures",2,,"364,173"
Pre Seed Round - Be Sure Healthcare,https://www.crunchbase.com/funding_round/be-sure-healthcare-pre-seed--537bd5f4,Be Sure Healthcare,https://www.crunchbase.com/organization/be-sure-healthcare,Pre-Seed,140000,EUR,152147,2016-03-02,Seed,,,,Yes,BeSure Online: AI-based digital health platform for cardiovascular disease prevention; Precise COVID19: remote #COVID19 patients monitoring,,"Artificial Intelligence (AI), Health Care, Information Services, Information Technology, Machine Learning, Medical Device, Predictive Analytics, Wearables","The Hague, Zuid-Holland, The Netherlands, Europe",https://besure.online/,,320000,EUR,366221,Seed,5,,,,,"151,848"
Seed Round - Fyt,https://www.crunchbase.com/funding_round/fyt-2-seed--34a9b402,Fyt,https://www.crunchbase.com/organization/fyt-2,Seed,250000,USD,250000,2016-01-01,Seed,,,,Yes,Machine Learning + Food = Healthy People,,"Food and Beverage, Health Care, Machine Learning",,http://fyt.io/,,250000,USD,250000,Seed,1,,,,,"194,391"
Angel Round - Banma Kuaiguo,https://www.crunchbase.com/funding_round/banma-kuaiguo-angel--1ec0c2ca,Banma Kuaiguo,https://www.crunchbase.com/organization/banma-kuaiguo,Angel,3000000,CNY,435691,2016-12-01,Seed,,,,Yes,Banma Kuaiguo is a developer of a self-service intelligent settlement system.,,"Hardware, Intelligent Systems, Retail","Haidian, Beijing, China, Asia",http://www.kuaiguo360.com/,,3000000,CNY,435691,Seed,1,Xunjia Investment Management,Xunjia Investment Management,1,,"194,604"
Seed Round - LeftBrain Technology,https://www.crunchbase.com/funding_round/leftbrain-0737-seed--d6c6f9a0,LeftBrain Technology,https://www.crunchbase.com/organization/leftbrain-0737,Seed,200000,USD,200000,2016-04-01,Seed,1466666,USD,1466666,Yes,LeftBrain Technology is a marketing automation company specialized in providing 100% automation with machine learning,,"E-Commerce, Machine Learning, Marketing Automation, Software","London, England, United Kingdom, Europe",https://leftbraintechnology.com,Less than $1M,265424,USD,265424,Seed,2,,,,,"195,359"
Angel Round - Dermandar,https://www.crunchbase.com/funding_round/dermandar-angel--8d849c15,Dermandar,https://www.crunchbase.com/organization/dermandar,Angel,375000,USD,375000,2016-02-03,Seed,6000000,USD,6000000,Yes,"Company Specialized in Image Processing and Artificial Intelligence, Leader of Image Stitching",,"Artificial Intelligence (AI), Mobile, Photo Sharing, Real Estate, Robotics, Software, Virtual Reality","Lebanon, New Hampshire, United States, North America",https://corp.dermandar.com,$1M to $10M,1185000,USD,1185000,Seed,4,,"Daniel Neuwirth, Jan Erik Solem, Pierre Elzouki",3,,"170,823"
Seed Round - Halla,https://www.crunchbase.com/funding_round/halla-seed--87fb3333,Halla,https://www.crunchbase.com/organization/halla,Seed,275000,USD,275000,2016-09-01,Seed,,,,Yes,Halla is an A.I. company that designs and develops real-time personalization solutions for grocers.,,"Artificial Intelligence (AI), Delivery, E-Commerce, Grocery, Software","Los Angeles, California, United States, North America",https://www.halla.io,$1M to $10M,9500000,USD,9500000,M&A,10,,,,,"171,578"
Seed Round - RealAssets,https://www.crunchbase.com/funding_round/realassets-seed--9c749a39,RealAssets,https://www.crunchbase.com/organization/realassets,Seed,250000,USD,250000,2016-08-01,Seed,,,,Yes,RealAssets is a FinTech-driven investment multi-manager and real assets funding platform.,,"Artificial Intelligence (AI), Cloud Data Services, FinTech, Real Estate","New York, New York, United States, North America",http://realassets.com,$1M to $10M,700000,USD,700000,Seed,3,,,,,"171,644"
Seed Round - NotifAi,https://www.crunchbase.com/funding_round/notifai-seed--28e0f7b1,NotifAi,https://www.crunchbase.com/organization/notifai,Seed,200000,USD,200000,2016-01-07,Seed,,,,Yes,NotifAi develops cloud monitoring technology for the protection of assets.,,"Analytics, Artificial Intelligence (AI), Enterprise, InsurTech, Internet of Things, Machine Learning, Real Time, Sensor, Smart Home","Aliso Viejo, California, United States, North America",http://www.notifai.io,$1M to $10M,1800000,USD,1800000,Early Stage Venture,3,,,,,"171,804"
Seed Round - Advantage Club,https://www.crunchbase.com/funding_round/advantage-club-seed--882fb0e2,Advantage Club,https://www.crunchbase.com/organization/advantage-club,Seed,392813,USD,392813,2016-02-19,Seed,,,,Yes,Advantage Club provides an AI-driven platform intended for driving employee engagement.,,"Artificial Intelligence (AI), Employee Benefits, Employment, Human Resources","Gurgaon, Haryana, India, Asia",https://secure.workadvantage.in/home,$1M to $10M,6692813,USD,6692813,Seed,5,Mumbai Angels,"Mumbai Angels, Purvi Capital",2,,"172,730"
Seed Round - Bambu,https://www.crunchbase.com/funding_round/bambu-seed--1707f522,Bambu,https://www.crunchbase.com/organization/bambu,Seed,400000,USD,400000,2016-08-01,Seed,,,,Yes,Bambu is a leading global provider of digital wealth technology for financial and technology industries.,,"Artificial Intelligence (AI), Financial Services, FinTech, Information Services, Software, Wealth Management, Web Development","Singapore, Central Region, Singapore, Asia",https://bambu.co/,$1M to $10M,13400000,USD,13400000,Early Stage Venture,4,,"BANSEA, Level39",2,,"439,425"
Pre Seed Round - Uru,https://www.crunchbase.com/funding_round/uru-pre-seed--2aa87c0d,Uru,https://www.crunchbase.com/organization/uru,Pre-Seed,800000,USD,800000,2016-12-30,Seed,,,,Yes,"Using computer vision and other AI to help brands understand and leverage all the visual content being created today, in real time.",Hispanic / Latine Founded,"Artificial Intelligence (AI), Augmented Reality, Computer Vision, Enterprise Software, Machine Learning, Marketing, Marketing Automation, Natural Language Processing, Video","New York, New York, United States, North America",https://uruvideo.com,$1M to $10M,955000,USD,955000,M&A,3,Notation Capital,"Alex Chung, Betaworks, Chris Cunningham, Christian Noske, Eric Franchi, Notation Capital, PJC, Presence Capital, Rough Draft Ventures, Thatcher Bell",10,1,"173,114"
Grant - Bird.i,https://www.crunchbase.com/funding_round/bird-i-grant--b5ed0de8,Bird.i,https://www.crunchbase.com/organization/bird-i,Grant,240000,GBP,349067,2016-05-19,,,,,No,"Bird.i provides access to the latest, up to date satellite imagery, helping you obtain valuable insights & make better business decisions.",,"Analytics, Artificial Intelligence (AI), Big Data, Geospatial, Software","Glasgow, Glasgow City, United Kingdom, Europe",http://www.hibirdi.com,$1M to $10M,3609668,USD,3609668,M&A,5,,"ESA Business Applications, Innovate UK, Scottish Enterprise",3,,"210,512"
Seed Round - Jam,https://www.crunchbase.com/funding_round/jam-3-seed--26012488,Jam,https://www.crunchbase.com/organization/jam-3,Seed,1000000,EUR,1086875,2016-01-21,Seed,,,,Yes,Jam is a creator of SMS texting response service based on AI.,,"Artificial Intelligence (AI), Education, Messaging","Paris, Ile-de-France, France, Europe",https://www.hellojam.fr,$10M to $50M,2330000,EUR,2580142,M&A,4,,Isai,1,2,"210,742"
Series A - ClearFit,https://www.crunchbase.com/funding_round/clearfit-series-a--9e310ea5,ClearFit,https://www.crunchbase.com/organization/clearfit,Series A,1200000,USD,1200000,2016-10-16,Early Stage Venture,600000,USD,600000,Yes,Clearfit’s is a patented predictive analytics platform.,,"Predictive Analytics, Recruiting","Toronto, Ontario, Canada, North America",http://clearfit.com,$1M to $10M,10290090,USD,10290090,Early Stage Venture,4,,,,,"211,152"
Angel Round - PipelineAI,https://www.crunchbase.com/funding_round/pipelineio-angel--3a4e53f9,PipelineAI,https://www.crunchbase.com/organization/pipelineio,Angel,1200000,USD,1200000,2016-07-01,Seed,,,,Yes,Real-Time Enterprise AI Platform,,"Artificial Intelligence (AI), Big Data, Data Visualization, Enterprise Software, GPU, Machine Learning, Real Time","San Francisco, California, United States, North America",https://www.datascienceonaws.com,Less than $1M,1200000,USD,1200000,Seed,1,,Chris Fregly,1,,"227,682"
Convertible Note - Wallflower Labs,https://www.crunchbase.com/funding_round/wallflower-convertible-note--51a1872d,Wallflower Labs,https://www.crunchbase.com/organization/wallflower,Convertible Note,875042,USD,875042,2016-08-30,,,,,No,"Wearable AI voice assistant and SaaS platform that improves productivity, quality, and safety for enterprise employees.",,"Artificial Intelligence (AI), Hardware, Machine Learning, Natural Language Processing, SaaS, Speech Recognition, Wearables","Winchester, Massachusetts, United States, North America",http://www.wallflowerlabs.com,Less than $1M,3898002,USD,3898002,Seed,7,,,,,"212,397"
Angel Round - LÜLA,https://www.crunchbase.com/funding_round/lüla-angel--9f8a516d,LÜLA,https://www.crunchbase.com/organization/lüla,Angel,2500000,ZAR,181568,2016-08-04,Seed,,,,Yes,Connecting commuters to private shuttles on their commute to work - freeing up time and saving money,,"Big Data, Information Technology, Mobile Apps, Mobile Payments, Predictive Analytics, Public Transportation, Ride Sharing, Ticketing, Transportation","Johannesburg, NA - South Africa, South Africa, Africa",https://www.lulaloop.co.za/,Less than $1M,782478,USD,782478,,6,,,,,"320,955"
Angel Round - NextVPU,https://www.crunchbase.com/funding_round/nextvpu-angel--59219d2d,NextVPU,https://www.crunchbase.com/organization/nextvpu,Angel,8000000,CNY,1198759,2016-09-01,Seed,,,,Yes,NextVPU offers embedded AI solutions for most of the smart devices and applications.,,"Artificial Intelligence (AI), Semiconductor","Shanghai, Shanghai, China, Asia",http://nextvpu.com/,,808000000,CNY,114247530,Late Stage Venture,7,Frees Fund,Frees Fund,1,,"625,996"
Series A - Dayday,https://www.crunchbase.com/funding_round/dayday-series-a--f06bdeda,Dayday,https://www.crunchbase.com/organization/dayday,Series A,3000000,CNY,435691,2016-12-01,Early Stage Venture,,,,Yes,Dayday is an AI-based fun social platform.,,"Artificial Intelligence (AI), Machine Learning, Social Media","Suzhou, Jiangsu, China, Asia",http://www.daydayupup.com,,7000000,CNY,1086598,Early Stage Venture,3,,"Cambrian Venture Capital, Guangyuan Guquan Touzi, Haifeng Partners, Oqu Wenhua",4,,"213,703"
Grant - Smartive,https://www.crunchbase.com/funding_round/smartive-grant--db011bc9,Smartive,https://www.crunchbase.com/organization/smartive,Grant,878129,EUR,982205,2016-06-01,,,,,No,Smartive develops intelligent platforms to improve the operation an efficiency of the energy market.,,"Artificial Intelligence (AI), Cloud Computing, Energy, Information Technology","Barcelona, Catalonia, Spain, Europe",http://smartive.eu,$1M to $10M,1007369,EUR,1131258,Seed,3,EASME - EU Executive Agency for SMEs,EASME - EU Executive Agency for SMEs,1,,"628,993"
Seed Round - Douugh,https://www.crunchbase.com/funding_round/douugh-seed--96fad8f7,Douugh,https://www.crunchbase.com/organization/douugh,Seed,1150000,USD,1150000,2016-04-05,Seed,,,,Yes,"Douugh is a smart bank account, helping people live financially healthier.",,"Artificial Intelligence (AI), Banking, Financial Services, FinTech, Mobile Apps, Wellness","Sydney, New South Wales, Australia, Oceania",http://www.douugh.com,$1M to $10M,22500000,USD,22500000,M&A,5,,,,,"335,657"
