"id";"value";"share";"ctry"
"Hilti Aktiengesellschaft";1;0,04;"LI"
"Ptc Inc";1;0,04;"US"
"Movida Production";1;0,04;"FR"
"Lowe's Companies Inc";1;0,04;"US"
"Suzhou Gstarsoft Co Ltd";1;0,04;"CN"
"Siemens Schweiz Ag";1;0,04;"CH"
"Wuhan University Of Technology";1;0,04;"CN"
"Nain Inc";1;0,04;"JP"
"Zazzle Inc";1;0,04;"US"
"Universiti Tenaga Nasional (Uniten)";1;0,04;"MY"
"Thk Co Ltd";1;0,04;"JP"
"Bergogni Food Machinery Srls";1;0,04;"IT"
"Osaap America Llc";1;0,04;"US"
"Hover Inc";1;0,04;"US"
"Ajinomoto Engineering Corporation";1;0,04;"JP"
"Beamup Ltd";1;0,04;"IL"
"Lantos Technologies Inc";1;0,04;"US"
"Armstrong World Industries Inc";1;0,04;"US"
"Hewlet-Packard Development Company Lp";1;0,04;"US"
"Lark Industries Inc";1;0,04;"US"
"British Telecommunications Public Limited Company";1;0,04;"UK"
"Geopogo";1;0,04;"US"
"Riken";1;0,04;"JP"
"Unity Building Technologies Inc";1;0,04;"US"
"Home Outside Inc";1;0,04;"US"
"Paltek Corporation";1;0,04;"JP"
"Topcon Corporation";1;0,04;"JP"
"Bendix Spicer Foundation Brake Llc";1;0,04;"US"
"Airbus Sas";1;0,04;"FR"
"Compredict Gmbh";1;0,04;"DE"
"Audi Ag";1;0,04;"DE"
"Airbus Opã©Rations Sas";1;0,04;"FR"
"China Academy Of Space Technology";1;0,04;"CN"
"Inpro Innovationsgesellschaft Fã¼R Fortgeschrittene Produktionssysteme In Der Fahrzeugindustrie Mbh";1;0,04;"DE"
"Agt International Gmbh";1;0,04;"CH"
"Dana Italia Srl";1;0,04;"IT"
"Uesse Srl";1;0,04;"IT"
"Istanbul Teknik Universitesi";1;0,04;"TR"
"Nikishin Gmbh";1;0,04;"DE"
"Toyota Motor Europe";1;0,04;"BE"
"Kuraray Co Ltd";1;0,04;"JP"
"University Of Utah Research Foundation";1;0,04;"US"
"Board Of Regents University Of Texas System";1;0,04;"US"
"C&D Zodiac Inc";1;0,04;"US"
"Modelway Srl";1;0,04;"IT"
"Top Seven Gmbh & Co Kg";1;0,04;"DE"
"Airbus Canada Limited Partnership";1;0,04;"CA"
"Continental Teves Ag & Co Ohg";1;0,04;"DE"
"Bundesrepublik Deutschland Vertreten Durch Den Bundesminister Fã¼R Wirtschaft Und Energie Dieser Vertreten Durch Den Prã¤Siden";1;0,04;"DE"
"Ecole Polytechnique Fã©Dã©Rale De Lausanne (Epfl)";1;0,04;"CH"
"Suzhou Shushe Technology Co Ltd";1;0,04;"CN"
"Guizhou Areox Technologies Co Ltd";1;0,04;"CN"
"Beijing Electric Vehicle Co Ltd";1;0,04;"CN"
"Bundesamt Fã¼R Zivilluftfahrt";1;0,04;"CH"
"Beijing Baidu Netcom Science And Technology Co Ltd";1;0,04;"CN"
"Oscaro";1;0,04;"FR"
"Siemens Industry Software Computational Dynamics L";1;0,04;"UK"
"Nec Laboratories America Inc";1;0,04;"US"
"Toyota Motor Engineering & Manufacturing North America Inc";1;0,04;"US"
"China Automotive Technology And Research Center Co Ltd";1;0,04;"CN"
"Simworx Ltd";1;0,04;"UK"
"Metaverse Technologies Limited";1;0,04;"IE"
"Shanghai Slamtec Co Ltd";1;0,04;"CN"
"Cae Inc";1;0,04;"CA"
"Nio Co Ltd";1;0,04;"CN"
"Byton North America Corporation";1;0,04;"US"
"Shanghai Aircraft Design And Research Institute Of Commercial Aircraft Corporation Of China";1;0,04;"CN"
"Coreform Llc";1;0,04;"US"
"Aerion Corporation";1;0,04;"US"
"Airbus";1;0,04;"FR"
"Airbus Defence And Space Sas";1;0,04;"FR"
"Crrc Dalian Co Ltd";1;0,04;"CN"
"Siemens Industry Software And Services Bv";1;0,04;"NL"
"Chongqing Chuangsu Industrial Co Ltd";1;0,04;"CN"
"Hiroshima University";1;0,04;"JP"
"Tsuneishi Shipbuilding Co Ltd";1;0,04;"JP"
"Dksoft Co Ltd";1;0,04;"KR"
"Trustees Of Tufts College";1;0,04;"US"
"Wang Zhonglai";1;0,04;"CN"
"Li Yun";1;0,04;"CN"
"Yu Hongnian";1;0,04;"CN"
"Dongguan University Of Technology";1;0,04;"CN"
"Chen Yi";1;0,04;"CN"
"Hu Xiaorong";1;0,04;"CN"
"Sikorsky Aircraft Corporation";1;0,04;"US"
"Cjc Holdings Llc";1;0,04;"US"
"China Academy Of Aerospace Aerodynamics";1;0,04;"CN"
"Safran Seats Usa Llc";1;0,04;"US"
"Mitsubishi Shipbuilding Co Ltd";1;0,04;"JP"
"Drive Go Karting Pty Ltd";1;0,04;"AU"
"Dubai Aviation Engineering Projects";1;0,04;"AE"
"Ningbo Geely Automobile Research&Development Co";1;0,04;"CN"
"Ningbo Geely Automobile Research & Development Co Ltd";1;0,04;"CN"
"Commissariat Ã  L'ã©Nergie Atomique Et Aux Ã©Nergies Alternatives";1;0,04;"FR"
"Ferrari Spa";1;0,04;"IT"
"Beijing Didi Infinity Technology And Development Co Ltd";1;0,04;"CN"
"Renault Sas";1;0,04;"FR"
"Nissan North America Inc";1;0,04;"US"
"Korea Astronomy And Space Science Institute";1;0,04;"KR"
"Aimotive Kft";1;0,04;"HU"
"Motional Ad Llc";1;0,04;"US"
"Syscend Inc";1;0,04;"US"
"University Of Kansas";1;0,04;"US"
"Astropreneurs Hub Pte Ltd";1;0,04;"SG"
"Singh Parikshat";1;0,04;"UK"
"Volkswagen Ag";1;0,04;"DE"
"Volkswagen Group Of America Inc";1;0,04;"US"
"Hanil Engineering Co Ltd";1;0,04;"KR"
"Chang An University";1;0,04;"CN"
"Lumileds Holding Bv";1;0,04;"NL"
"Lloyd S Register Group Limited";1;0,04;"UK"
"Nanjing Tianhang Institute Of Intelligent Equipmen";1;0,04;"CN"
"Loon Llc";1;0,04;"US"
"Stanbul Okan Ãœn Vers Tes";1;0,04;"TR"
"Alipay (Hangzhou) Information Technology Co Ltd";1;0,04;"CN"
"Foretellix Ltd";1;0,04;"IL"
"University Of Leeds";1;0,04;"UK"
"Bridgestone Americas Tire Operations Llc";1;0,04;"US"
"Akselos Sa";1;0,04;"CH"
"Xitadel Cae Technologies India Pvt Ltd";1;0,04;"IN"
"Nanjing Naveco Automobile Co Ltd";1;0,04;"CN"
"Cummins Inc";1;0,04;"US"
"Toads Co Ltd";1;0,04;"KR"
"Crrc Tangshan Co Ltd";1;0,04;"CN"
"Landspace Science&Technology Co Ltd";1;0,04;"CN"
"Imperial Innovations Limited";1;0,04;"UK"
"Rebeat Innovation Gmbh";1;0,04;"AT"
"Amgen Inc";1;0,04;"US"
"Kenwood Limited";1;0,04;"UK"
"Iav Gmbh Ingenieurgesellschaft Auto Und Verkehr";1;0,04;"DE"
"Inigence Gmbh";1;0,04;"DE"
"Seurat Technologies Inc";1;0,04;"US"
"Renishaw Plc";1;0,04;"UK"
"Mahfouz Mohamed R";1;0,04;"US"
"Harbin Institute Of Technology";1;0,04;"CN"
"Qingdao Haier Smart Technology R&D Co Ltd";1;0,04;"CN"
"Cornell University";1;0,04;"US"
"Cedic Co Ltd";1;0,04;"KR"
"Rixen Wolfgang Klaus";1;0,04;"DE"
"Pies Gerrit";1;0,04;"DE"
"Technion Research & Development Foundation Ltd";1;0,04;"IL"
"Thales Alenia Space Italia Spa Con Unico Socio";1;0,04;"IT"
"Arcelormittal";1;0,04;"LU"
"University Of Bath";1;0,04;"UK"
"Stcunm";1;0,04;"US"
"Mitsubishi Heavy Industries Compressor Corporation";1;0,04;"JP"
"Telefield Medical Imaging Limited";1;0,04;"HK"
"Technion Research & Development Foundation Limited";1;0,04;"IL"
"Ecole Normale Supã©Rieure De Cachan";1;0,04;"FR"
"Beijing Goldwind Science & Creation Windpower Equipment Co Ltd";1;0,04;"CN"
"Moon In Dug";1;0,04;"KR"
"Beijing Institute Of Technology";1;0,04;"CN"
"Faiveley Transport Italia Spa";1;0,04;"IT"
"Paramatters Inc";1;0,04;"US"
"Thyssenkrupp Elevator Innovation And Operations Ag";1;0,04;"DE"
"South University Of Science And Technology Of China";1;0,04;"CN"
"Vrije Universiteit Brussel";1;0,04;"BE"
"Tianjin Architecture Design Institute";1;0,04;"CN"
