"tech";"nuts2";"nuts2_name";"count";"rca";"rel";"comp";"parent";"value";"id";"color"
"5G";"UKD4";"Lancashire";13;"0,6";"27,06";"68,51";"Digital transition";13;"5G";"blue"
"5G";"SE22";"Sydsverige";911;"5,67";"83,39";"68,51";"Digital transition";911;"5G";"blue"
"5G";"UKL1";"West Wales and The Valleys";2;"0,14";"12,11";"68,51";"Digital transition";2;"5G";"blue"
"5G";"CZ01";"Praha";3;"0,2";"48,52";"68,51";"Digital transition";3;"5G";"blue"
"5G";"CZ07";"Střední Morava";0;"0";"2,75";"68,51";"Digital transition";0;"5G";"blue"
"5G";"FI20";"Åland";0;"0";"52,98";"68,51";"Digital transition";0;"5G";"blue"
"5G";"EL43";"Kriti";0;"0";"5,55";"68,51";"Digital transition";0;"5G";"blue"
"5G";"ES62";"Región de Murcia";4;"0,56";"4,16";"68,51";"Digital transition";4;"5G";"blue"
"5G";"CH04";"Zürich";39;"0,26";"31,21";"68,51";"Digital transition";39;"5G";"blue"
"5G";"FR82";"Provence-Alpes-Côte d'Azur";49;"0,56";"66,5";"68,51";"Digital transition";49;"5G";"blue"
"5G";"HU23";"Dél-Dunántúl";2;"0,86";"50,05";"68,51";"Digital transition";2;"5G";"blue"
"5G";"ITH2";"Provincia Autonoma di Trento";3;"0,32";"14,34";"68,51";"Digital transition";3;"5G";"blue"
"5G";"NO07";"Nord-Norge";0;"0";"5,4";"68,51";"Digital transition";0;"5G";"blue"
"5G";"DEA4";"Detmold";66;"0,79";"7,19";"68,51";"Digital transition";66;"5G";"blue"
"5G";"NO05";"Vestlandet";2;"0,08";"7,09";"68,51";"Digital transition";2;"5G";"blue"
"5G";"DE71";"Darmstadt";342;"1,33";"18,92";"68,51";"Digital transition";342;"5G";"blue"
