Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,CB Rank (Funding Round),Organization Industries,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,Diversity Spotlight
Series A - TEHTRIS,https://www.crunchbase.com/funding_round/tehtris-series-a--d95937b2,TEHTRIS,https://www.crunchbase.com/organization/tehtris,Series A,20000000,EUR,23608486,2020-11-12,"111,364","Cloud Security, Consulting, Cyber Security, Intrusion Detection, Network Security, Penetration Testing",Early Stage Venture,,,,Yes,TEHTRIS is a cybersecurity leader,"Pessac, Aquitaine, France, Europe",https://tehtris.com/,$50M to $100M,64000000,EUR,66310349,Early Stage Venture,2,Ace Capital Partners,Ace Capital Partners,,1,
Venture Round - Ascendance,https://www.crunchbase.com/funding_round/ascendance-flight-technologies-series-unknown--da24d3be,Ascendance,https://www.crunchbase.com/organization/ascendance-flight-technologies,Venture - Series Unknown,21000000,EUR,22761588,2023-03-28,"618,941","Aerospace, Air Transportation, CleanTech, Drones, Hardware, Transportation",,,,,Yes,A sustainable aviation startup developing hybrid-electric solutions to decarbonise aviation.,"Toulouse, Midi-Pyrenees, France, Europe",https://www.ascendance-ft.com,$1M to $10M,51000000,EUR,55944186,,9,Bpifrance,"Bpifrance, Celeste Management, Habert Dassault Finance, IRDI, M Capital Partners",,5,
Series C - Azur Drones,https://www.crunchbase.com/funding_round/azur-drones-series-c--3043af1f,Azur Drones,https://www.crunchbase.com/organization/azur-drones,Series C,20000000,EUR,22298806,2022-01-28,"106,869","Aerospace, Consulting, Drone Management, Drones, Robotics",Late Stage Venture,,,,Yes,Azur Drones is a civilian drone in a box manufacturer specializing in surveillance and inspection of critical infrastructures,"Mérignac, Aquitaine, France, Europe",https://www.azurdrones.com,$10M to $50M,41500000,EUR,45509957,Late Stage Venture,4,,,,,
Debt Financing - Neat,https://www.crunchbase.com/funding_round/neat-f0bf-debt-financing--1912656d,Neat,https://www.crunchbase.com/organization/neat-f0bf,Debt Financing,20000000,EUR,22040656,2024-09-10,"51,930","Financial Services, Insurance",,,,,No,Neat is an InsurTech startup that provides retailers with embedded insurance solutions.,"Bordeaux, Aquitaine, France, Europe",https://www.neat.eu,,60000000,EUR,64962241,Early Stage Venture,3,,,,,
Series A - EyeLights,https://www.crunchbase.com/funding_round/eyelights-series-a--d3f9789e,EyeLights,https://www.crunchbase.com/organization/eyelights,Series A,20000000,EUR,21994796,2023-04-12,"641,863","Electronics, Information Services, Information Technology",Early Stage Venture,,,,Yes,EyeLights provides guidance solutions for motorcycles and driving aids.,"Labège, Midi-Pyrenees, France, Europe",https://www.eye-lights.com/,$1M to $10M,27841497,USD,27841497,Early Stage Venture,5,"Breega, Shift4Good","Aster, Bpifrance, Breega, European Innovation Council, FK Group, Shift4Good, Techstars",5,7,
Series A - Beyond Aero,https://www.crunchbase.com/funding_round/beyond-aero-series-a--3205757a,Beyond Aero,https://www.crunchbase.com/organization/beyond-aero,Series A,20000000,USD,20000000,2024-10-25,"6,488","Aerospace, Air Transportation, Manufacturing",Early Stage Venture,,,,Yes,Aviation will be electric. Unlocking full potential with hydrogen.,"Toulouse, Midi-Pyrenees, France, Europe",https://www.beyond-aero.com,,20000000,USD,20000000,Early Stage Venture,3,"Bpifrance, Giant Ventures","2100 Ventures, Amitis Capital, Arash Ferdowsi, Bpifrance, Giant Ventures, Initialized Capital, Nathan Blecharczyk",2,7,"Women Founded, Women Led"
Grant - Aura Aero,https://www.crunchbase.com/funding_round/aura-aero-grant--ac6d6848,Aura Aero,https://www.crunchbase.com/organization/aura-aero,Grant,17500000,EUR,19071907,2024-07-15,"31,612","Aerospace, Automotive, Industrial Automation",,,,,No,AURA AERO aims to serve mankind by designing and manufacturing aircraft that accelerate air transport decarbonization,"Cugnaux, Midi-Pyrenees, France, Europe",https://www.aura-aero.com,$10M to $50M,194291937,USD,194291937,Seed,7,EIC Accelerator,EIC Accelerator,,1,
Debt Financing - Flash Therapeutics,https://www.crunchbase.com/funding_round/flash-therapeutics-debt-financing--4f6487f2,Flash Therapeutics,https://www.crunchbase.com/organization/flash-therapeutics,Debt Financing,15000000,EUR,17644194,2021-08-07,"153,805","Biotechnology, Health Care, Medical",,,,,No,Flash Therapeutics is a new gene therapy company developing gene and cell-based therapies by leveraging its proprietary lentiviral platform.,"Toulouse, Midi-Pyrenees, France, Europe",http://www.flashtherapeutics.com,$500M to $1B,18300000,EUR,21543083,Private Equity,2,"Elaia, Techlife Capital","Elaia, Techlife Capital",,2,
Series A - Dioxycle,https://www.crunchbase.com/funding_round/dioxycle-series-a--073da9b1,Dioxycle,https://www.crunchbase.com/organization/dioxycle,Series A,17000000,USD,17000000,2023-07-26,"616,820","Environmental Engineering, Information Technology",Early Stage Venture,,,,Yes,Dioxycle is develop electrolyser solutions for carbon dioxide emissions.,"Bordeaux, Aquitaine, France, Europe",https://dioxycle.com/,$10M to $50M,17000000,USD,17000000,Early Stage Venture,3,"Breakthrough Energy Ventures, Lowercarbon Capital","Breakthrough Energy Ventures, Gigascale Capital, Lowercarbon Capital",3,3,
Debt Financing - Alteia,https://www.crunchbase.com/funding_round/alteia-debt-financing--5e8eff38,Alteia,https://www.crunchbase.com/organization/alteia,Debt Financing,15000000,EUR,16978582,2021-12-01,"216,261","Agriculture, Energy, Government, Infrastructure, Manufacturing, Power Grid, Sustainability, Transportation, Waste Management",,,,,No,"Alteia is a software company that develops data analytics and data integration software solutions, with a focus on vision-based data sources","Labège, Midi-Pyrenees, France, Europe",https://alteia.com,$1M to $10M,15000000,EUR,16978582,,2,European Investment Bank,European Investment Bank,1,1,
