"from","to","domain","full","binary","expected","untapped","links.rca","sum_from","sum_to","binary.pc","th.max","th.max.pc","RD","RD.added"
"Alsace (FR42)","Alsace (FR42)","Cybersecurity",10,1,0.08,-0.92,12.5,11,11,0.0221,11,0.0017,4.4,0
"Alsace (FR42)","Alsace (FR42)","FinTech",0,0,0.01,0.01,0,1,1,0,1,4e-04,6.21,0
"Alsace (FR42)","Alsace (FR42)","ICT",67,25,0.66,-24.34,37.88,126,126,0.0601,126,0.0016,11.04,0
"Alsace (FR42)","Alsace (FR42)","Life & Health Sciences",701,150,2.56,-147.44,58.59,510,510,0.3253,510,0.0056,61.13,0
"Alsace (FR42)","Alsace (FR42)","Nanotechnology",12,10,0.36,-9.64,27.78,41,41,0.8368,41,0.03,48.48,0
"Alsace (FR42)","Alsace (FR42)","Social Sciences & Humanities",14,3,0.05,-2.95,60,5,5,0.7194,5,0.0131,10.01,0
"Alsace (FR42)","Alsace (FR42)","Sustainability & Circularity",56,25,0.63,-24.37,39.68,114,114,0.1518,114,0.0038,58.46,0
"Alsace (FR42)","Apulia (ITF4)","Sustainability & Circularity",1,1,0.38,-0.62,2.63,114,23,0.0061,68.5,0.0023,58.46,19.26
"Alsace (FR42)","Aquitaine (FR61)","ICT",1,1,0.67,-0.33,1.49,126,129,0.0024,127.5,0.0016,11.04,17.39
"Alsace (FR42)","Aquitaine (FR61)","Life & Health Sciences",20,8,2.39,-5.61,3.35,510,442,0.0174,476,0.0052,61.13,12.95
"Alsace (FR42)","Aquitaine (FR61)","Nanotechnology",6,1,0.24,-0.76,4.17,41,14,0.0837,27.5,0.0201,48.48,33.7
"Alsace (FR42)","Aragon (ES24)","ICT",9,1,0.64,-0.36,1.56,126,117,0.0024,121.5,0.0015,11.04,0.19
"Alsace (FR42)","Auvergne (FR72)","Life & Health Sciences",2,1,1.72,0.72,0.58,510,176,0.0022,343,0.0037,61.13,9.24
"Alsace (FR42)","Berlin (DE30)","Artificial intelligence",1,1,0.66,-0.34,1.52,17,167,0.0206,92,0.0136,9.49,76.77
"Alsace (FR42)","Berlin (DE30)","ICT",3,2,3.04,1.04,0.66,126,1035,0.0048,580.5,0.0073,11.04,73.02
"Alsace (FR42)","Berlin (DE30)","Life & Health Sciences",2,1,4.63,3.63,0.22,510,1333,0.0022,921.5,0.01,61.13,26.1
"Alsace (FR42)","Braunschweig (DE91)","Life & Health Sciences",1,1,2.59,1.59,0.39,510,522,0.0022,516,0.0056,61.13,14.06
"Alsace (FR42)","Brittany (FR52)","Life & Health Sciences",12,5,2.06,-2.94,2.43,510,312,0.0108,411,0.0045,61.13,9.63
"Alsace (FR42)","Brussels Capital Region (BE1)","Cybersecurity",2,2,0.13,-1.87,15.38,11,27,0.0442,19,0.003,4.4,43.74
"Alsace (FR42)","Brussels Capital Region (BE1)","ICT",11,11,0.83,-10.17,13.25,126,192,0.0265,159,0.002,11.04,34.95
"Alsace (FR42)","Brussels Capital Region (BE1)","Life & Health Sciences",8,4,2.21,-1.79,1.81,510,372,0.0087,441,0.0048,61.13,5.86
"Alsace (FR42)","Burgundy (FR26)","Life & Health Sciences",8,4,1.62,-2.38,2.47,510,134,0.0087,322,0.0035,61.13,24.45
"Alsace (FR42)","Campania (ITF3)","Life & Health Sciences",2,1,1.85,0.85,0.54,510,227,0.0022,368.5,0.004,61.13,22.04
"Alsace (FR42)","Capital (DK) (DK01)","Life & Health Sciences",11,4,4.83,0.83,0.83,510,1413,0.0087,961.5,0.0105,61.13,22.97
"Alsace (FR42)","Carinthia (AT21)","Life & Health Sciences",1,1,1.31,0.31,0.76,510,11,0.0022,260.5,0.0028,61.13,9.9
"Alsace (FR42)","Carinthia (AT21)","Nanotechnology",1,1,0.2,-0.8,5,41,5,0.0837,23,0.0169,48.48,13.99
"Alsace (FR42)","Castile and León (ES41)","Life & Health Sciences",3,3,1.46,-1.54,2.05,510,70,0.0065,290,0.0032,61.13,27.09
"Alsace (FR42)","Catalonia (ES51)","Nanotechnology",2,1,0.25,-0.75,4,41,16,0.0837,28.5,0.0209,48.48,24.08
"Alsace (FR42)","Central Hungary (HU10)","Life & Health Sciences",3,1,1.87,0.87,0.53,510,234,0.0022,372,0.004,61.13,8.08
"Alsace (FR42)","Central Portugal (PT16)","Nanotechnology",4,2,0.21,-1.79,9.52,41,7,0.1674,24,0.0176,48.48,9.02
"Alsace (FR42)","Central Switzerland (CH06)","Life & Health Sciences",6,4,2.13,-1.87,1.88,510,337,0.0087,423.5,0.0046,61.13,26.77
"Alsace (FR42)","Central Switzerland (CH06)","Nanotechnology",5,3,0.22,-2.78,13.64,41,9,0.251,25,0.0183,48.48,8.88
"Alsace (FR42)","Central Switzerland (CH06)","Sustainability & Circularity",2,1,0.48,-0.52,2.08,114,59,0.0061,86.5,0.0029,58.46,19.83
"Alsace (FR42)","Central Transdanubia (HU21)","Life & Health Sciences",1,1,1.42,0.42,0.7,510,57,0.0022,283.5,0.0031,61.13,6
"Alsace (FR42)","Centre-Val de Loire (FR24)","Life & Health Sciences",6,4,2.11,-1.89,1.9,510,332,0.0087,421,0.0046,61.13,8.25
