"id","id2","x","y","color","parent","size"
"Provence-Alpes-Côte d'Azur",144,5.9554,-43.9287,"blue","FR",1
"Corse",145,9.0527,-42.0608,"blue","FR",1
"Jadranska Hrvatska",146,15.6594,-44.3849,"yellowgreen","HR",1
"Közép-Magyarország",147,19.4133,-47.3623,"gold","HU",1
"Közép-Dunántúl",148,18.0743,-47.3474,"gold","HU",1
"Nyugat-Dunántúl",149,16.992,-47.0106,"gold","HU",1
"Dél-Dunántúl",150,17.9151,-46.3722,"gold","HU",1
"Észak-Magyarország",151,20.4751,-47.9901,"gold","HU",1
"Észak-Alföld",152,21.2297,-47.6004,"gold","HU",1
"Dél-Alföld",153,20.186,-46.4749,"gold","HU",1
"Border, Midland and Western",154,-8.1469,-53.7,"magenta","IE",1
"Southern and Eastern",155,-8.1554,-52.4287,"magenta","IE",1
"Piemonte",156,7.928,-44.8473,"yellow","IT",1
"Valle d'Aosta/Vallée d'Aoste",157,7.3712,-45.7108,"yellow","IT",1
"Liguria",158,8.7702,-44.4583,"yellow","IT",1
"Lombardia",159,9.9668,-45.7457,"yellow","IT",1
"Abruzzo",160,13.914,-42.2608,"yellow","IT",1
"Molise",161,14.5438,-41.6018,"yellow","IT",1
"Campania",162,14.8147,-41.0468,"yellow","IT",1
"Puglia",163,16.6197,-40.9844,"yellow","IT",1
"Basilicata",164,16.0835,-40.4109,"yellow","IT",1
"Calabria",165,16.4389,-39.0222,"yellow","IT",1
"Sicilia",166,14.0051,-37.573,"yellow","IT",1
"Sardegna",167,8.99,-40.0339,"yellow","IT",1
"Provincia Autonoma di Bolzano/Bozen",168,11.4292,-46.6503,"yellow","IT",1
"Provincia Autonoma di Trento",169,11.0057,-46.1018,"yellow","IT",1
"Veneto",170,11.8602,-45.5456,"yellow","IT",1
"Friuli-Venezia Giulia",171,13.1083,-46.0739,"yellow","IT",1
"Emilia-Romagna",172,10.9913,-44.5397,"yellow","IT",1
"Toscana",173,11.1352,-43.3446,"yellow","IT",1
"Umbria",174,12.5817,-42.9091,"yellow","IT",1
"Marche",175,13.061,-43.3584,"yellow","IT",1
"Lazio",176,12.7478,-41.9739,"yellow","IT",1
"Liechtenstein",177,9.5536,-47.1374,"darkgold","LI",1
"Lietuva",178,23.8014,-55.2142,"ivory","LT",1
"Luxembourg",179,6.0924,-49.7768,"lightcoral","LU",1
"Latvija",180,24.8865,-57.146,"khaki","LV",1
"Malta",181,14.4457,-35.8837,"greenyellow","MT",1
"Groningen",182,6.6911,-53.2903,"brown","NL",1
"Friesland (NL)",183,5.7878,-53.0825,"brown","NL",1
"Drenthe",184,6.5964,-52.918,"brown","NL",1
"Overijssel",185,6.4319,-52.4151,"brown","NL",1
"Gelderland",186,5.8932,-52.1263,"brown","NL",1
"Zeeland",187,3.8523,-51.5002,"brown","NL",1
"Noord-Brabant",188,5.123,-51.5503,"brown","NL",1
"Limburg (NL)",189,5.9361,-50.8704,"brown","NL",1
"Oslo og Akershus",190,11.1393,-60.1521,"beige","NO",1
"Hedmark og Oppland",191,10.1358,-61.6038,"beige","NO",1
"Sør-Østlandet",192,9.6541,-59.405,"beige","NO",1
"Agder og Rogaland",193,7.4,-58.6227,"beige","NO",1
"Vestlandet",194,6.6753,-61.5878,"beige","NO",1
"Trøndelag",195,11.3995,-63.1338,"beige","NO",1
"Nord-Norge",196,21.5731,-69.589,"beige","NO",1
"Łódzkie",197,19.3326,-51.6146,"lightpink","PL",1
"Mazowieckie",198,21.1818,-52.3229,"lightpink","PL",1
"Małopolskie",199,20.2138,-49.896,"lightpink","PL",1
"Śląskie",200,18.998,-50.2643,"lightpink","PL",1
"Lubelskie",201,22.5217,-51.2948,"lightpink","PL",1
"Podkarpackie",202,22.2519,-49.8975,"lightpink","PL",1
"Świętokrzyskie",203,20.7609,-50.6816,"lightpink","PL",1
"Podlaskie",204,22.8556,-53.3584,"lightpink","PL",1
"Wielkopolskie",205,17.4,-52.1669,"lightpink","PL",1
"Zachodniopomorskie",206,15.5624,-53.5968,"lightpink","PL",1
"Lubuskie",207,15.5014,-52.2524,"lightpink","PL",1
