"id","parent","value","color","share"
"Algol Chemicals Oy (FI)","Recycling technologies",1,"darkgreen",0.01
"Evonik Operations Gmbh (DE)","Water related adaptation technologies",1,"indigo",0.01
"Sony Corporation (JP)","Augmented reality",5,"navyblue",0.04
"The University Of Tokyo (JP)","Advanced Sustainable Materials",4,"orange",0.03
"Plants Laboratory Inc (JP)","Advanced Sustainable Materials",1,"orange",0.01
"Enplas Corporation (JP)","Water related adaptation technologies",15,"indigo",0.11
"Hiroshima University (JP)","Biotechnology",10,"lightorange",0.08
"Kewpie Corporation (JP)","Biotechnology",2,"lightorange",0.02
"Sony Corporation (JP)","Water related adaptation technologies",2,"indigo",0.02
"Hayik Isaak (IL)","Waste management",1,"blue",0.01
"Kuraray Co Ltd (JP)","Air & Water pollution reduction",1,"grey",0.01
"Newbegin Edward (US)","Water related adaptation technologies",1,"indigo",0.01
"Neozyme Inernational Inc (US)","Biotechnology",3,"lightorange",0.02
"Renew Health Limited (IE)","Air & Water pollution reduction",1,"grey",0.01
"Renew Health Limited (IE)","Recycling technologies",1,"darkgreen",0.01
"Emulate Inc (US)","Biotechnology",1,"lightorange",0.01
"Trianni Inc (US)","Biotechnology",6,"lightorange",0.05
"Gallegos Joseph Dominic (US)","Water related adaptation technologies",1,"indigo",0.01
"Crystal Bioscience Inc (US)","Biotechnology",8,"lightorange",0.06
"Kemira Oyj (FI)","Air & Water pollution reduction",2,"grey",0.02
"Kemira Oyj (FI)","Batteries",1,"red",0.01
"Kemira Oyj (FI)","Hydrogen",1,"lime",0.01
"Primodan A/S (DK)","Advanced Sustainable Materials",1,"orange",0.01
"Regionalni Centrum Pokrocilych Technologii A Materialu Univerzita Palackeho V Olomouci (CZ)","Air & Water pollution reduction",1,"grey",0.01
"Regionalni Centrum Pokrocilych Technologii A Materialu Univerzita Palackeho V Olomouci (CZ)","Nanotechnology",1,"darkred",0.01
"Universit„© D'aix Marseille (FR)","Biotechnology",2,"lightorange",0.02
"Cell Care Therapeutics Inc (US)","Biotechnology",1,"lightorange",0.01
"Thermacell Repellents Inc (US)","Autonomous vehicles",1,"cyan",0.01
"The Hospital For Sick Children (CA)","Biotechnology",1,"lightorange",0.01
"Hidrosym Sa (CL)","Air & Water pollution reduction",1,"grey",0.01
"Tsinghua University (CN)","Biotechnology",5,"lightorange",0.04
"Infinitus (China) Company Ltd (CN)","Biotechnology",1,"lightorange",0.01
"The Health Corporation Of The Galilee Medical Center (IL)","Biotechnology",1,"lightorange",0.01
"Kubota Corporation (JP)","Autonomous vehicles",64,"cyan",0.48
"Biobalance Co Ltd (JP)","Advanced Sustainable Materials",2,"orange",0.02
"Biobalance Co Ltd (JP)","Biotechnology",2,"lightorange",0.02
"Active Minerals International Llc (US)","Waste management",1,"blue",0.01
"Obschestvo S Ogranichennoi Otvetstvennostju 'Bisolbi Plyus' (RU)","Advanced Sustainable Materials",1,"orange",0.01
"Obschestvo S Ogranichennoi Otvetstvennostju 'Bisolbi Plyus' (RU)","Biotechnology",1,"lightorange",0.01
"Tyree Lucas (US)","Waste management",2,"blue",0.02
"Keil Innovations Llc (US)","Waste management",1,"blue",0.01
"Ecolab Usa Inc (US)","Recycling technologies",1,"darkgreen",0.01
"Jichi Medical University (JP)","Biotechnology",2,"lightorange",0.02
"Utsunomiya University (JP)","Biotechnology",1,"lightorange",0.01
"Ono Pharmaceutical Co Ltd (JP)","Biotechnology",1,"lightorange",0.01
"Universit„§T Rostock (DE)","Biotechnology",1,"lightorange",0.01
"Apitope International Nv (BE)","Biotechnology",1,"lightorange",0.01
"Yeda Research And Development Co Ltd (IL)","Air & Water pollution reduction",1,"grey",0.01
"Yissum Research And Development Company Of The Hebrew University Of Jerusalem Ltd (IL)","Air & Water pollution reduction",1,"grey",0.01
"Dr Klaus Schepers Patentverwaltung (DE)","Air & Water pollution reduction",1,"grey",0.01
"Yang Dingxiang (CN)","Waste management",1,"blue",0.01
"Ooo 'Promyshlennye Innovatsii' (RU)","Waste management",1,"blue",0.01
"Ooo 'Promyshlennye Innovatsii' (RU)","Advanced Sustainable Materials",1,"orange",0.01
"Ooo 'Promyshlennye Innovatsii' (RU)","Biotechnology",1,"lightorange",0.01
"Kohjin Life Sciences Co Ltd (JP)","Biotechnology",6,"lightorange",0.05
"Nagasaki University (JP)","Biotechnology",2,"lightorange",0.02
"University Of Florida Research Foundation Inc (US)","Biotechnology",5,"lightorange",0.04
"Ecolab Usa Inc (US)","Biotechnology",3,"lightorange",0.02
"Revivicor Inc (US)","Biotechnology",1,"lightorange",0.01
"Cool Planet Energy Systems Inc (US)","Waste management",3,"blue",0.02
"Cool Planet Energy Systems Inc (US)","Biofuels",1,"brown",0.01
"La Jolla Institute For Allergy And Immunology (US)","Biotechnology",1,"lightorange",0.01
"Huizhou Wai Chi Electronics Co Ltd (CN)","Quantum computers",1,"silver",0.01
"Universidad Tecnol„≥Gica De Panam„° (PA)","Autonomous vehicles",1,"cyan",0.01
"Dongguk University Industry-Academic Cooperation Foundation (KR)","Biotechnology",2,"lightorange",0.02
"Astellas Pharma Inc (JP)","Biotechnology",1,"lightorange",0.01
"Kyoto University (JP)","Biotechnology",23,"lightorange",0.17
"Locus Solutions Llc (US)","Waste management",1,"blue",0.01
"Locus Solutions Llc (US)","Recycling technologies",1,"darkgreen",0.01
"Locus Solutions Llc (US)","Advanced Sustainable Materials",1,"orange",0.01
"Locus Solutions Llc (US)","Biotechnology",1,"lightorange",0.01
"Ipalk Sas (FR)","Biotechnology",1,"lightorange",0.01
"Parkure Ltd (UK)","Biotechnology",1,"lightorange",0.01
"Merck Patent Gmbh (DE)","Biotechnology",1,"lightorange",0.01
"The Trustees Of The University Of Pennsylvania (US)","Biotechnology",22,"lightorange",0.17
"Tessenderlo Group Nv (BE)","Nanotechnology",1,"darkred",0.01
"Universit„© De Nantes (FR)","Advanced Sustainable Materials",1,"orange",0.01
"Centre National De La Recherche Scientifique (FR)","Advanced Sustainable Materials",2,"orange",0.02
"Universit„© De Nantes (FR)","Biotechnology",1,"lightorange",0.01
"Allflex Europe Sas (FR)","Biotechnology",1,"lightorange",0.01
"The Governors Of The University Of Alberta (CA)","Biotechnology",6,"lightorange",0.05
"Nordic Koivu Oy (FI)","Biotechnology",1,"lightorange",0.01
"Stadia Turf Technology Pte Ltd (SG)","Advanced Sustainable Materials",1,"orange",0.01
"Sony Corporation (JP)","Internet of things",2,"turquoise",0.02
"Tokyo Institute Of Technology (JP)","Biotechnology",2,"lightorange",0.02
"Lifeis Inc (JP)","Biotechnology",1,"lightorange",0.01
"Industry-Academic Cooperation Foundation Chosun University (KR)","Biotechnology",4,"lightorange",0.03
"Softbank Corp (JP)","Augmented reality",1,"navyblue",0.01
"Carbon Sink Inc (US)","Air & Water pollution reduction",2,"grey",0.02
"Carbon Sink Inc (US)","Greenhouse gas capture",2,"darkyellow",0.02
"Carbon Sink Inc (US)","Recycling technologies",1,"darkgreen",0.01
"Carbon Sink Inc (US)","Biotechnology",1,"lightorange",0.01
"Mi Ll C (US)","Biotechnology",1,"lightorange",0.01
"The United States Government As Represented By The Department Of Veterans Affairs (US)","Biotechnology",1,"lightorange",0.01
