"id";"value";"share";"ctry"
"Industry-Academic Cooperation Foundation Yonsei U";9;0,03;"KR"
"Toyota Research Institute Inc";9;0,03;"US"
"Beijing Jingdong Shangke Information Technology Co";9;0,03;"CN"
"Ge Gaoli";9;0,03;"CN"
"The Board Of Trustees Of The Leland Stanford Junio";9;0,03;"US"
"Beijing Dajia Internet Information Technology Co";9;0,03;"CN"
"Cnh Industrial America Llc";9;0,03;"US"
"Trophy";8;0,03;"FR"
"Perkinelmer Health Sciences Inc";8;0,03;"US"
"Katholieke Universiteit Leuven";8;0,03;"BE"
"Orcam Technologies Ltd";8;0,03;"IL"
"Commissariat √† L'„âNergie Atomique Et Aux √âNergies Alternatives";8;0,03;"FR"
"Dolby Laboratories Licensing Corporation";8;0,03;"US"
"Emory University";8;0,03;"US"
"Chengdu Idealsee Technology Co Ltd";8;0,03;"CN"
"Nextvr Inc";8;0,03;"US"
"United Parcel Service Of America Inc";8;0,03;"US"
"Canfield Scientific Incorporated";8;0,03;"US"
"Novadaq Technologies Ulc";8;0,03;"CA"
"Case Western Reserve University";8;0,03;"US"
"Gentex Corporation";8;0,03;"US"
"Unilever Plc";8;0,03;"UK"
"Unilever Nv";8;0,03;"NL"
"Imperial College Innovations Limited";8;0,03;"UK"
"Basf Se";8;0,03;"DE"
"L'oreal";8;0,03;"FR"
"The Regents Of The University Of Michigan";8;0,03;"US"
"Israel Aerospace Industries Ltd";8;0,03;"IL"
"Shenzhen Institute Of Advanced Technology Chinese Academy Of Sciences";8;0,03;"CN"
"Devar Entertainment Limited";8;0,03;"CY"
"Vtouch Co Ltd";8;0,03;"KR"
"Iview Displays (Shenzhen) Company Ltd";8;0,03;"CN"
"Heptagon Micro Optics Pte Ltd";8;0,03;"SG"
"Kyocera Document Solutions Inc";8;0,03;"JP"
"Molecular Devices Llc";8;0,03;"US"
"Leica Biosystems Imaging Inc";8;0,03;"US"
"Rutgers The State University Of New Jersey";8;0,03;"US"
"University Of Louisville Research Foundation Inc";8;0,03;"US"
"Arterys Inc";8;0,03;"US"
"Beckman Coulter Inc";8;0,03;"US"
"Pictometry International Corp";8;0,03;"US"
"Kheiron Medical Technologies Ltd";8;0,03;"UK"
"Agco International Gmbh";8;0,03;"CH"
"Huizhou University";8;0,03;"CN"
"Navix International Limited";8;0,03;"VG"
"Lockheed Martin Corporation";8;0,03;"US"
"Movidius Ltd";8;0,03;"NL"
"Toshiba Digital Solutions Corporation";8;0,03;"JP"
"Sigtuple Technologies Private Limited";8;0,03;"IN"
"Movidius Ltd";8;0,03;"IE"
"Sonoscape Medical Corp";8;0,03;"CN"
"Verathon Inc";8;0,03;"US"
"Oracle International Corporation";8;0,03;"US"
"Visa International Service Association";8;0,03;"US"
"Vuno Inc";8;0,03;"KR"
"Beijing Voyager Technology Co Ltd";8;0,03;"CN"
"Shandong University Of Science And Technology";8;0,03;"CN"
"University Of Ulsan Foundation For Industry Cooper";8;0,03;"KR"
"Dmai Inc";8;0,03;"US"
"Shanghai United Imaging Intelligence Co Ltd";8;0,03;"CN"
"Paigeai Inc";8;0,03;"US"
"Svxr Inc";8;0,03;"US"
"Shenzhen Haoshi Intelligent Technology Co Ltd";8;0,03;"CN"
"Immersion Corporation";8;0,03;"US"
"Orange";8;0,03;"FR"
"Imec Vzw";7;0,02;"BE"
"Novartis Ag";7;0,02;"CH"
"Institut National De La Sant„© Et De La Recherche M„©Dicale";7;0,02;"FR"
"Vision Rt Limited";7;0,02;"UK"
"Universit„© D'aix Marseille";7;0,02;"FR"
"Oregon Health & Science University";7;0,02;"US"
"Agfa Healthcare";7;0,02;"BE"
"Compagnie G„©N„©Rale Des Etablissements Michelin";7;0,02;"FR"
"Politecnico Di Torino";7;0,02;"IT"
"Psa Automobiles Sa";7;0,02;"FR"
"California Institute Of Technology";7;0,02;"US"
"Yxlon International Gmbh";7;0,02;"DE"
"Varian Medical Systems International Ag";7;0,02;"CH"
"Fingerprint Cards Ab";7;0,02;"SE"
"Worcester Polytechnic Institute";7;0,02;"US"
"Nihon Medi-Physics Co Ltd";7;0,02;"JP"
"Agfa Healthcare";7;0,02;"AT"
"Raysearch Laboratories Ab";7;0,02;"SE"
"Shenzhen China Star Optoelectronics Technology Co Ltd";7;0,02;"CN"
"Dentlytec Gpl Ltd";7;0,02;"IL"
"Northwestern University";7;0,02;"US"
"Battelle Memorial Institute";7;0,02;"US"
"Pinhole (Beijing) Technology Co Ltd";7;0,02;"CN"
"Tohoku University";7;0,02;"JP"
"Ohio State Innovation Foundation";7;0,02;"US"
"The Climate Corporation";7;0,02;"US"
"Northeastern University";7;0,02;"US"
"Gauss Surgical Inc";7;0,02;"US"
"Golfzon Co Ltd";7;0,02;"KR"
"The Brigham And Women's Hospital Inc";7;0,02;"US"
"Keio University";7;0,02;"JP"
"Kabushiki Kaisha Dds";7;0,02;"JP"
"Duke University";7;0,02;"US"
"Nec Platforms Ltd";7;0,02;"JP"
"Yamaha Corporation";7;0,02;"JP"
"Sensormatic Electronics Llc";7;0,02;"US"
"Ishida Co Ltd";7;0,02;"JP"
"Optos Plc";7;0,02;"UK"
"Cognex Corporation";7;0,02;"US"
"China Unionpay Co Ltd";7;0,02;"CN"
"Yanmar Power Technology Co Ltd";7;0,02;"JP"
"Eizo Corporation";7;0,02;"JP"
"Shenzhen A&E Intelligent Technology Institute Co Ltd";7;0,02;"CN"
"Nextvpu (Shanghai) Co Ltd";7;0,02;"CN"
"Niramai Health Analytix Pvt Ltd";7;0,02;"IN"
"Blue Vision Labs Uk Limited";7;0,02;"UK"
"Beijing Boe Display Technology Co Ltd";7;0,02;"CN"
"Canon Medical Systems Corporation";7;0,02;"JP"
"Simbe Robotics Inc";7;0,02;"US"
"Deepmind Technologies Limited";7;0,02;"UK"
"Ns Solutions Corporation";7;0,02;"JP"
"Cornell University";7;0,02;"US"
"Dai Nippon Printing Co Ltd";7;0,02;"JP"
"Boston Dynamics Inc";7;0,02;"US"
"Mako Surgical Corp";7;0,02;"US"
"Promaton Holding Bv";7;0,02;"NL"
"Fraunhofer-Gesellschaft Zur F„ñRderung Der Angewand";7;0,02;"DE"
"Tusimple Inc";7;0,02;"US"
"Arashi Vision Inc";7;0,02;"CN"
"Ankobot (Shanghai) Smart Technologies Co Ltd";7;0,02;"CN"
"Ati Technologies Ulc";7;0,02;"CA"
"Shenzhen Malong Technology Co Ltd";7;0,02;"CN"
"Aiviewlife Co Ltd";7;0,02;"JP"
"Xr Health Il Ltd";7;0,02;"IL"
"Shanghai Truthvision Information Technology Co L";7;0,02;"CN"
"Kecom (Beijing) Technology Co Ltd";7;0,02;"CN"
"Paypal Inc";7;0,02;"US"
"Commonwealth Scientific And Industrial Research Or";7;0,02;"AU"
"Gree Electric Appliances Inc Of Zhuhai";7;0,02;"CN"
"Nissan North America Inc";7;0,02;"US"
"Genentech Inc";7;0,02;"US"
"Suning Cloud Computing Co Limited";7;0,02;"CN"
"Northeastern University";7;0,02;"CN"
"Gracenote Inc";7;0,02;"US"
