"id";"value";"share";"ctry"
"Guang Dong Hanergy Thin-Film Solar Co Ltd";4;0,03;"CN"
"Shanghai Bright Power Semiconductor Co Ltd";4;0,03;"CN"
"Magna International Inc";4;0,03;"CA"
"Vestas Offshore Wind A/S";4;0,03;"DK"
"Diamond Electric Mfgco Ltd";4;0,03;"JP"
"Wuhan China Star Optoelectronics Semiconductor Dis";4;0,03;"CN"
"Ccs Inc";4;0,03;"JP"
"Jmatek (Zhongshan) Ltd";4;0,03;"CN"
"Sl-Technik Gmbh";4;0,03;"AT"
"Shenzhen Huntkey Electric Co Ltd";4;0,03;"CN"
"Jupiter Bach A/S";4;0,03;"DK"
"Apator Miitors Aps";3;0,02;"DK"
"Ecole Polytechnique F„©D„©Rale De Lausanne (Epfl)";3;0,02;"CH"
"Icesun Vacuum Glass Ltd";3;0,02;"CA"
"Trumpf Medizin Systeme Gmbh + Co Kg";3;0,02;"DE"
"Fahrenheit Gmbh";3;0,02;"DE"
"Bose Corporation";3;0,02;"US"
"Orange";3;0,02;"FR"
"University Of Maribor";3;0,02;"SI"
"Tridonic Jennersdorf Gmbh";3;0,02;"AT"
"Belimo Holding Ag";3;0,02;"CH"
"Wilo Se";3;0,02;"DE"
"Upside Energy Ltd";3;0,02;"UK"
"Thomson Licensing";3;0,02;"FR"
"Hitachi Maxell Ltd";3;0,02;"JP"
"Xslent Energy Technologies Llc";3;0,02;"US"
"Rompower Energy Systems Inc";3;0,02;"US"
"Dudas Mirko";3;0,02;"DE"
"Centre National De La Recherche Scientifique (Cnrs)";3;0,02;"FR"
"Hau King Kuen";3;0,02;"HK"
"Carillion Energy Services Limited";3;0,02;"UK"
"Haier Asia Co Ltd";3;0,02;"JP"
"Jabil Inc";3;0,02;"US"
"Heraeus Noblelight America Llc";3;0,02;"US"
"Koolbridge Solar Inc";3;0,02;"US"
"Chaoyang Semiconductor Jiangyin Technology Co Ltd";3;0,02;"CN"
"Bg Negev Technologies & Applications Ltd At Ben-Gurion University";3;0,02;"IL"
"Au Optronics Corporation";3;0,02;"TW"
"Sungrow Power Supply Co Ltd";3;0,02;"CN"
"Closed-Up Joint-Stock Company Drive";3;0,02;"RU"
"Oxicool Inc";3;0,02;"US"
"Chembio Shelter Inc";3;0,02;"US"
"Lg Display Co Ltd";3;0,02;"KR"
"Citizen Electronics Co Ltd";3;0,02;"JP"
"Cardinal Cg Company";3;0,02;"US"
"Menerga Gmbh";3;0,02;"DE"
"Shenzhen Collesun Lighting Co Ltd";3;0,02;"CN"
"Xu Michael Jun";3;0,02;"CN"
"Qingdao Haier Smart Technology R&D Co Ltd";3;0,02;"CN"
"Kingspan Holdings (Irl) Limited";3;0,02;"IE"
"Linak A/S";3;0,02;"DK"
"Schmidhauser Ag";3;0,02;"CH"
"Vivint Inc";3;0,02;"US"
"Intex Holdings Pty Ltd";3;0,02;"AU"
"Advanced Charging Technologies Llc";3;0,02;"US"
"Ebm-Papst Mulfingen Gmbh&Co Kg";3;0,02;"DE"
"Neturen Co Ltd";3;0,02;"JP"
"Shenzhen Eastfield Lighting Co Ltd";3;0,02;"CN"
"Zinniatek Limited";3;0,02;"NZ"
"Safran Electrical & Power";3;0,02;"FR"
"Kenall Manufacturing Company";3;0,02;"US"
"Ceske Vysoke Uceni Technicke V Praze";3;0,02;"CZ"
"Leviton Manufacturing Company Inc";3;0,02;"US"
"Osaka Gas Co Ltd";3;0,02;"JP"
"Balmuda Inc";3;0,02;"JP"
"Foshan Shunde Midea Electrical Heating Appliances Manufacturing Co Ltd";3;0,02;"CN"
"Thermax Limited";3;0,02;"IN"
"Xsol Co Ltd";3;0,02;"JP"
"Schmitz Oliver";3;0,02;"DE"
"Seeley International Pty Ltd";3;0,02;"AU"
"Altergy Systems";3;0,02;"US"
"Peeeks Bv";3;0,02;"NL"
"Mks Instruments Inc";3;0,02;"US"
"Finsix Corporation";3;0,02;"US"
"Maps Inc";3;0,02;"KR"
"Yanmar Power Technology Co Ltd";3;0,02;"JP"
"Politecnico Di Torino";3;0,02;"IT"
"Avl List Gmbh";3;0,02;"AT"
"Nec Lighting Ltd";3;0,02;"JP"
"Mavel Edt Spa";3;0,02;"IT"
"Lion Semiconductor Inc";3;0,02;"US"
"The Procter & Gamble Company";3;0,02;"US"
"Technische Universit„§T M„ºNchen";3;0,02;"DE"
"Basic Holdings";3;0,02;"IE"
"Holcim Technology Ltd";3;0,02;"CH"
"Continental Automotive Gmbh";3;0,02;"DE"
"Corning Incorporated";3;0,02;"US"
"Ge Energy Power Conversion Technology Limited";3;0,02;"UK"
"Valeo Equipements Electriques Moteur";3;0,02;"FR"
"Powertree Services Inc";3;0,02;"US"
"Beghelli Spa";3;0,02;"IT"
"Olympus Corporation";3;0,02;"JP"
"Shinwa Controls Co Ltd";3;0,02;"JP"
"Novinium Inc";3;0,02;"US"
"Liebherr-Hausger„§Te Lienz Gmbh";3;0,02;"AT"
"Suez Groupe";3;0,02;"FR"
"Kashong Llc";3;0,02;"US"
"Daimler Ag";3;0,02;"DE"
"Rinnai Corporation";3;0,02;"JP"
"Te Connectivity Corporation";3;0,02;"US"
"Sermeta";3;0,02;"FR"
"Su Wen'zang";3;0,02;"CN"
"Matsuo Construction Co Ltd";3;0,02;"JP"
"Sanken Electric Co Ltd";3;0,02;"JP"
"Rheinenergie Ag";3;0,02;"DE"
"Nextracker Inc";3;0,02;"US"
